id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_AB","","T1_BasicMechanics","real_life","1-1-1 0:0:0.0","2025-2-18 11:9:38.499","(0.0;0.0;0.0)","(17.080835;-27.566427;0.0)","0.324294"
1,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:9:38.513","2025-2-18 11:10:1.18","(17.080835;-27.566427;0.0)","(-69.365639;1.701355;0.0)","0.912666"
2,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:1.44","2025-2-18 11:10:8.779","(-69.365639;1.701355;0.0)","(-37.126465;-59.964848;0.0)","0.695851"
3,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:8.793","2025-2-18 11:10:29.707","(-37.126465;-59.964848;0.0)","(-45.874432;-67.346001;0.0)","0.114459"
4,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:29.724","2025-2-18 11:10:31.317","(-45.874432;-67.346001;0.0)","(7.259947;-30.634176;0.0)","0.645834"
5,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:31.334","2025-2-18 11:10:38.617","(7.259947;-30.634176;0.0)","(-6.465946;-35.747295;0.0)","0.146473"
6,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:38.631","2025-2-18 11:10:41.285","(-6.465946;-35.747295;0.0)","(-34.151241;-73.320396;0.0)","0.466713"
7,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:10:41.300","2025-2-18 11:11:3.504","(-34.151241;-73.320396;0.0)","(-19.654568;-63.562637;0.0)","0.174748"
8,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:11:3.523","2025-2-18 11:11:5.39","(-19.654568;-63.562637;0.0)","(-12.409336;-71.174492;0.0)","0.105087"
9,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:11:5.54","2025-2-18 11:11:11.205","(-12.409336;-71.174492;0.0)","(-6.043093;-61.387489;0.0)","0.116754"
10,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:11:11.222","2025-2-18 11:11:15.898","(-6.043093;-61.387489;0.0)","(-18.675829;-60.575356;0.0)","0.126588"
11,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:11:15.919","2025-2-18 11:11:17.932","(-18.675829;-60.575356;0.0)","(-5.495323;-65.742378;0.0)","0.141571"
12,"FDI_AB","","T1_BasicMechanics","real_life","2025-2-18 11:11:17.954","2025-2-18 11:11:21.555","(-5.495323;-65.742378;0.0)","(-16.531078;-64.458496;0.0)","0.111102"
