id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AB","","S1_BasicMechanics","00001","Completed","2025-2-18 11:38:47.152"
1,"FDI_AB","","S1_BasicMechanics","S1001","Started","2025-2-18 11:39:10.745"
2,"FDI_AB","","S1_BasicMechanics","S1001","Completed","2025-2-18 11:39:44.645"
3,"FDI_AB","","S1_BasicMechanics","S1002","Started","2025-2-18 11:39:44.664"
4,"FDI_AB","","S1_BasicMechanics","S1002","Completed","2025-2-18 11:40:31.711"
5,"FDI_AB","","S1_BasicMechanics","S1003","Started","2025-2-18 11:40:31.729"
6,"FDI_AB","","S1_BasicMechanics","S1003","Completed","2025-2-18 11:45:17.125"
7,"FDI_AB","","S1_BasicMechanics","S1004","Started","2025-2-18 11:45:17.146"
8,"FDI_AB","","S1_BasicMechanics","S1004","Completed","2025-2-18 11:45:52.656"
9,"FDI_AB","","S1_BasicMechanics","S1005","Started","2025-2-18 11:45:52.678"
10,"FDI_AB","","S1_BasicMechanics","S1005","Completed","2025-2-18 11:46:26.222"
11,"FDI_AB","","S1_BasicMechanics","00002","Completed","2025-2-18 11:46:26.244"
