id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AB","","T2_BasicEmergency","[0.190051;0.178425;0.178361;0.178068;0.177738;0.17803;0.177976;0.178654;0.179071;0.178814;]","[0.0;0.000042;0.000089;0.000117;0.000145;0.000172;0.000198;0.000226;0.000255;0.000283;]","[(-3040.0;12260.0);(-3160.617432;12328.65625);(-3161.369141;12328.298828);(-3164.585938;12329.568359);(-3167.787598;12336.828125);(-3164.305908;12338.996094);(-3165.32373;12333.641602);(-3158.001221;12329.068359);(-3153.155273;12331.09668);(-3156.142822;12329.853516);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AB","","T2_BasicEmergency","[0.178234;0.178189;0.178377;0.17833;0.178221;0.178182;0.178205;0.178217;0.178228;0.178217;]","[0.000312;0.000339;0.000368;0.000399;0.000429;0.000457;0.000487;0.000514;0.000542;0.000572;]","[(-3162.791748;12328.432617);(-3162.903564;12333.810547);(-3160.420654;12338.50293);(-3161.187988;12335.328125);(-3162.716064;12331.514648);(-3163.223633;12330.589844);(-3162.951416;12330.679688);(-3162.797607;12331.041016);(-3162.628906;12331.581055);(-3162.760498;12331.460938);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AB","","T2_BasicEmergency","[0.178176;0.178162;0.178193;0.178189;0.178179;0.178179;0.178171;0.178155;0.178146;0.178136;]","[0.000603;0.00063;0.000659;0.000688;0.000718;0.000748;0.000776;0.000803;0.000831;0.000861;]","[(-3163.214111;12331.615234);(-3163.374512;12331.612305);(-3163.021729;12331.608398);(-3163.053711;12331.839844);(-3163.160645;12331.871094);(-3163.150879;12332.056641);(-3163.24292;12332.018555);(-3163.427246;12331.895508);(-3163.52832;12331.90918);(-3163.635498;12332.097656);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AB","","T2_BasicEmergency","[0.178116;0.178121;0.178168;0.178167;0.17819;0.178196;0.178179;0.178133;0.178122;0.178121;]","[0.00089;0.00092;0.00095;0.000978;0.001005;0.001033;0.00106;0.001091;0.001118;0.001149;]","[(-3163.855957;12332.058594);(-3163.796875;12332.09082);(-3163.271729;12332.041016);(-3163.278076;12332.125977);(-3163.028564;12331.9375);(-3162.955566;12332.018555);(-3163.147949;12332.060547);(-3163.664795;12332.120117);(-3163.778076;12332.174805);(-3163.786377;12332.292969);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AB","","T2_BasicEmergency","[0.17814;0.178157;0.178177;0.178179;0.178162;0.178177;0.178174;0.178165;0.178156;0.178144;]","[0.001178;0.001207;0.001234;0.001262;0.00129;0.00132;0.001347;0.001375;0.001403;0.001433;]","[(-3163.565918;12332.298828);(-3163.376709;12332.244141);(-3163.162354;12332.133789);(-3163.132568;12332.270508);(-3163.314697;12332.331055);(-3163.143799;12332.429688);(-3163.154053;12332.65625);(-3163.27002;12332.548828);(-3163.380615;12332.438477);(-3163.515869;12332.405273);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AB","","T2_BasicEmergency","[0.178137;0.178144;0.178174;0.177834;0.177498;0.177604;0.17836;0.178248;0.17841;0.889537;]","[0.001461;0.00149;0.001518;0.001546;0.001574;0.001601;0.00163;0.00166;0.001687;0.001781;]","[(-3163.593018;12332.435547);(-3163.520752;12332.37207);(-3163.244385;12331.573242);(-3167.535645;12325.683594);(-3171.287109;12326.626953);(-3170.020996;12327.477539);(-3161.307617;12329.200195);(-3162.436035;12331.047852);(-3160.776855;12328.866211);(-950.15564;12090.258789);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AB","","T2_BasicEmergency","[0.889585;0.886998;0.886136;0.885662;0.886489;0.886668;0.881498;0.88227;0.886414;0.88532;]","[0.001921;0.002061;0.002196;0.002346;0.002484;0.002621;0.002759;0.002909;0.003058;0.003195;]","[(-950.047791;12092.020508);(-952.580872;12094.658203);(-953.529297;12092.640625);(-954.129395;12089.183594);(-953.22113;12091.166016);(-953.072266;12090.176758);(-958.372986;12089.724609);(-957.548035;12090.710938);(-953.287659;12091.459961);(-954.448486;12090.082031);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AB","","T2_BasicEmergency","[0.884681;0.882766;0.882068;0.881849;0.883208;0.883775;0.884738;0.883883;0.884844;0.885592;]","[0.003333;0.00348;0.003617;0.003759;0.003895;0.004033;0.004171;0.00432;0.00447;0.004608;]","[(-954.984619;12093.499023);(-956.851624;12096.069336);(-957.510681;12097.592773);(-957.667297;12099.398438);(-956.324463;12098.051758);(-955.79895;12096.602539);(-955.001892;12091.302734);(-955.963867;12088.65332);(-954.950989;12089.581055);(-953.983765;12095.461914);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AB","","T2_BasicEmergency","[0.878966;0.87597;0.872472;0.866703;0.862464;0.858905;0.857679;0.865702;0.872845;0.876217;]","[0.00475;0.004891;0.00503;0.005172;0.005311;0.005445;0.005578;0.005711;0.005846;0.006;]","[(-960.662231;12098.636719);(-963.858704;12096.012695);(-967.547729;12094.581055);(-973.894348;12085.451172);(-978.555481;12079.171875);(-982.307678;12080.451172);(-983.563599;12082.37793);(-974.999878;12083.787109);(-967.518738;12083.494141);(-964.02179;12083.245117);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AB","","T2_BasicEmergency","[0.875296;0.87478;0.874362;0.874313;0.874156;0.874425;0.875306;0.67953;0.679343;0.679871;]","[0.006154;0.006289;0.006425;0.006559;0.006694;0.006843;0.006979;0.007108;0.007223;0.007328;]","[(-965.027222;12081.498047);(-965.587036;12080.640625);(-966.020264;12080.678711);(-966.081482;12080.313477);(-966.245667;12080.280273);(-965.942261;12081.137695);(-964.974182;12082.981445);(-1193.442993;12296.801758);(-1193.716187;12296.908203);(-1192.978516;12296.363281);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
