id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_AC","","S1_BasicMechanics","real_life","1-1-1 0:0:0.0","2025-2-18 12:32:3.754","(0.0;0.0;0.0)","(157.387085;-91.112785;0.0)","1.818577"
1,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:3.778","2025-2-18 12:32:4.536","(157.387085;-91.112785;0.0)","(157.797516;-78.139938;0.0)","0.129793"
2,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:4.558","2025-2-18 12:32:9.719","(157.797516;-78.139938;0.0)","(154.699036;-87.947861;0.0)","0.102857"
3,"FDI_AC","","S1_BasicMechanics","virtual_reality","2025-2-18 12:32:11.513","2025-2-18 12:32:12.345","(12241.658203;-2959.100098;5.0)","(12633.487305;-3015.07251;5.0)","3.958066"
4,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:9.740","2025-2-18 12:32:13.419","(0.0;0.0;0.0)","(-7.503448;-6.935501;0.0)","0.102178"
5,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:13.439","2025-2-18 12:32:15.32","(-7.503448;-6.935501;0.0)","(-41.338356;-11.441483;0.0)","0.341336"
6,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:15.50","2025-2-18 12:32:15.583","(-41.338356;-11.441483;0.0)","(-55.734032;-14.687805;0.0)","0.147572"
7,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:15.601","2025-2-18 12:32:16.688","(-55.734032;-14.687805;0.0)","(-40.293793;-7.245468;0.0)","0.171403"
8,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:16.706","2025-2-18 12:32:17.238","(-40.293793;-7.245468;0.0)","(-10.789932;9.056969;0.0)","0.337083"
9,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:17.253","2025-2-18 12:32:17.762","(-10.789932;9.056969;0.0)","(-0.078064;-1.394417;0.0)","0.149658"
10,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:17.778","2025-2-18 12:32:18.846","(-0.078064;-1.394417;0.0)","(-13.442749;2.442116;0.0)","0.139045"
11,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:18.861","2025-2-18 12:32:20.898","(-13.442749;2.442116;0.0)","(-34.044655;-12.164421;0.0)","0.252545"
12,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:20.914","2025-2-18 12:32:21.425","(-34.044655;-12.164421;0.0)","(-56.782928;-21.12146;0.0)","0.244389"
13,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:21.439","2025-2-18 12:32:23.27","(-56.782928;-21.12146;0.0)","(-36.220139;-0.788689;0.0)","0.28918"
14,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:23.42","2025-2-18 12:32:23.582","(-36.220139;-0.788689;0.0)","(-12.826553;15.075294;0.0)","0.282653"
15,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:23.597","2025-2-18 12:32:24.138","(-12.826553;15.075294;0.0)","(-4.03978;21.16264;0.0)","0.106894"
16,"FDI_AC","","S1_BasicMechanics","real_life","2025-2-18 12:32:24.153","2025-2-18 12:32:25.689","(-4.03978;21.16264;0.0)","(-5.234085;9.227272;0.0)","0.11995"
