id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AC","","T2_BasicEmergency","[0.190051;0.175518;0.176622;0.177276;0.176571;0.176559;0.177084;0.177594;0.177479;0.177297;]","[0.0;0.000025;0.000053;0.000081;0.00011;0.000138;0.000167;0.000194;0.000223;0.00025;]","[(-3040.0;12260.0);(-3191.800293;12355.635742);(-3178.462891;12362.879883);(-3170.608154;12367.359375);(-3179.286377;12360.12793);(-3180.263916;12349.642578);(-3174.654785;12344.472656);(-3167.985107;12355.211914);(-3169.266113;12355.508789);(-3171.80127;12349.862305);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AC","","T2_BasicEmergency","[0.177066;0.176894;0.176923;0.176916;0.177012;0.177054;0.177106;0.177103;0.177201;0.177282;]","[0.000279;0.000307;0.000334;0.000362;0.000389;0.000417;0.000444;0.000472;0.000502;0.000529;]","[(-3174.623779;12347.439453);(-3176.681152;12346.378906);(-3176.342285;12346.47168);(-3176.401855;12346.669922);(-3175.244385;12347.412109);(-3174.683105;12348.515625);(-3174.144287;12347.783203);(-3174.216797;12347.355469);(-3173.077393;12347.533203);(-3172.158936;12347.43457);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AC","","T2_BasicEmergency","[0.177332;0.17729;0.177195;0.177056;0.17693;0.176879;0.176929;0.177076;0.177213;0.177258;]","[0.000558;0.000585;0.000614;0.000644;0.000672;0.000701;0.00073;0.000759;0.000787;0.000814;]","[(-3171.554932;12347.8125);(-3172.087646;12347.260742);(-3173.192871;12346.996094);(-3174.766602;12347.056641);(-3176.155029;12347.811523);(-3176.672852;12348.634766);(-3176.065674;12349.042969);(-3174.399414;12348.882812);(-3172.921143;12347.737305);(-3172.45166;12347.208984);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AC","","T2_BasicEmergency","[0.177254;0.177224;0.177226;0.177198;0.177158;0.177011;0.176984;0.177041;0.177086;0.177098;]","[0.000841;0.000868;0.000898;0.000926;0.000953;0.000982;0.00101;0.001038;0.001066;0.001094;]","[(-3172.510986;12347.067383);(-3172.838623;12347.223633);(-3172.822021;12347.173828);(-3173.134033;12347.219727);(-3173.57959;12347.414062);(-3175.239502;12347.714844);(-3175.541016;12347.748047);(-3174.863037;12348.067383);(-3174.359131;12348.010742);(-3174.234375;12347.739258);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AC","","T2_BasicEmergency","[0.177141;0.177178;0.177169;0.17716;0.176673;0.176674;0.177093;0.1768;0.17661;0.890072;]","[0.001121;0.001148;0.001176;0.001206;0.001233;0.00126;0.001286;0.001314;0.001344;0.001433;]","[(-3173.769531;12347.435547);(-3173.354248;12347.37207);(-3173.436523;12347.591797);(-3173.541992;12347.595703);(-3179.679688;12340.448242);(-3179.565918;12341.672852);(-3174.147217;12349.633789);(-3177.349121;12351.542969);(-3179.453613;12352.393555);(-949.617065;12090.178711);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AC","","T2_BasicEmergency","[0.891274;0.893653;0.894555;0.889784;0.889266;0.889656;0.890418;0.891236;0.891895;0.88692;]","[0.001579;0.001717;0.001856;0.002007;0.002145;0.002283;0.002435;0.002573;0.002725;0.002876;]","[(-948.386108;12090.644531);(-946.027344;12089.458984);(-945.216553;12086.480469);(-950.045593;12085.90918);(-950.581543;12085.561523);(-950.205444;12084.936523);(-949.483643;12083.289062);(-948.659119;12083.217773);(-947.935547;12085.170898);(-952.979492;12085.047852);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AC","","T2_BasicEmergency","[0.883029;0.887066;0.8942;0.892773;0.890535;0.889212;0.890361;0.890769;0.891505;0.891249;]","[0.003024;0.003161;0.003313;0.003453;0.003604;0.003753;0.003892;0.004029;0.00417;0.004309;]","[(-956.876038;12087.475586);(-952.847473;12084.49707);(-945.622803;12084.891602);(-947.145569;12081.980469);(-949.630737;12073.429688);(-951.039001;12070.459961);(-949.869995;12070.725586);(-949.435852;12071.648438);(-948.695557;12071.546875);(-948.960327;12071.262695);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AC","","T2_BasicEmergency","[0.889136;0.888873;0.887822;0.8891;0.890373;0.892349;0.893854;0.899624;0.901614;0.892229;]","[0.004451;0.004597;0.004735;0.004874;0.005023;0.005165;0.005307;0.005448;0.005601;0.005741;]","[(-951.075195;12072.223633);(-951.350464;12071.857422);(-952.283447;12077.243164);(-951.075317;12073.758789);(-949.814087;12072.595703);(-947.833374;12072.0);(-946.316833;12072.079102);(-940.248657;12083.151367);(-938.077759;12089.257812);(-947.494934;12088.432617);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AC","","T2_BasicEmergency","[0.888802;0.889743;0.880266;0.872953;0.874551;0.87444;0.87014;0.87417;0.877814;0.878494;]","[0.005879;0.006019;0.006159;0.006305;0.006446;0.006582;0.006722;0.006859;0.007001;0.007144;]","[(-950.963806;12088.360352);(-949.96875;12089.616211);(-959.812988;12084.21582);(-967.269104;12087.954102);(-965.353027;12095.416016);(-965.304932;12099.792969);(-969.683105;12102.579102);(-965.695251;12096.888672);(-962.047729;12093.271484);(-961.344666;12093.28418);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AC","","T2_BasicEmergency","[0.879366;0.878618;0.877296;0.876705;0.876203;0.565455;0.565624;0.567665;0.570524;0.572038;]","[0.007284;0.007438;0.00758;0.007717;0.007861;0.007979;0.008071;0.008164;0.008256;0.008352;]","[(-960.398499;12094.59375);(-961.141479;12095.399414);(-962.529114;12094.791992);(-963.185486;12093.527344);(-963.748413;12092.307617);(-1375.615479;12417.641602);(-1375.303589;12417.46582);(-1372.242432;12411.323242);(-1366.55127;12411.032227);(-1362.394287;12417.574219);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
