id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AD","","T1_BasicMechanics","00001","Completed","2025-2-18 13:2:36.897"
1,"FDI_AD","","T1_BasicMechanics","T1001","Started","2025-2-18 13:3:12.177"
2,"FDI_AD","","T1_BasicMechanics","T1001","Completed","2025-2-18 13:11:48.953"
3,"FDI_AD","","T1_BasicMechanics","T1002","Started","2025-2-18 13:11:49.3"
4,"FDI_AD","","T1_BasicMechanics","T1002","Completed","2025-2-18 13:14:28.777"
5,"FDI_AD","","T1_BasicMechanics","T1003","Started","2025-2-18 13:14:28.811"
6,"FDI_AD","","T1_BasicMechanics","T1003","Completed","2025-2-18 13:15:30.715"
7,"FDI_AD","","T1_BasicMechanics","T1004","Started","2025-2-18 13:15:30.762"
8,"FDI_AD","","T1_BasicMechanics","T1004","Completed","2025-2-18 13:17:8.542"
9,"FDI_AD","","T1_BasicMechanics","T1005","Started","2025-2-18 13:17:8.575"
10,"FDI_AD","","T1_BasicMechanics","T1005","Completed","2025-2-18 13:18:1.8"
11,"FDI_AD","","T1_BasicMechanics","00002","Completed","2025-2-18 13:18:27.293"
