id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_AD","","S1_BasicMechanics","real_life","1-1-1 0:0:0.0","2025-2-18 13:18:28.589","(0.0;0.0;0.0)","(111.394623;-89.919167;0.0)","1.43158"
1,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:28.605","2025-2-18 13:18:30.490","(111.394623;-89.919167;0.0)","(102.10537;-99.152374;0.0)","0.130974"
2,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:30.505","2025-2-18 13:18:32.540","(102.10537;-99.152374;0.0)","(109.514999;-88.072319;0.0)","0.133293"
3,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:32.564","2025-2-18 13:18:35.136","(109.514999;-88.072319;0.0)","(101.232658;-97.782806;0.0)","0.127629"
4,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:18:34.256","2025-2-18 13:18:35.594","(12295.213867;-2945.845947;5.0)","(12435.212891;-3070.973145;5.0)","1.877671"
5,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:35.162","2025-2-18 13:18:40.400","(0.0;0.0;0.0)","(9.809029;4.080719;0.0)","0.10624"
6,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:40.425","2025-2-18 13:18:46.692","(9.809029;4.080719;0.0)","(4.082504;13.246307;0.0)","0.108075"
7,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:46.716","2025-2-18 13:18:48.275","(4.082504;13.246307;0.0)","(3.347328;-2.458649;0.0)","0.157222"
8,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:48.300","2025-2-18 13:18:48.788","(3.347328;-2.458649;0.0)","(0.84893;9.654877;0.0)","0.123685"
9,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:48.812","2025-2-18 13:18:57.117","(0.84893;9.654877;0.0)","(1.687958;-0.468147;0.0)","0.101577"
10,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:57.135","2025-2-18 13:18:57.629","(1.687958;-0.468147;0.0)","(1.372932;10.021606;0.0)","0.104945"
11,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:19:4.727","2025-2-18 13:19:5.492","(12437.288086;-3078.083008;5.0)","(12650.885742;-3230.764648;5.0)","2.625564"
12,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:19:6.307","2025-2-18 13:19:7.99","(12649.398438;-3231.658203;5.0)","(12775.329102;-3499.17627;5.0)","2.956762"
13,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:18:57.644","2025-2-18 13:19:8.147","(0.0;0.0;0.0)","(-1.769821;-12.280602;0.0)","0.124075"
14,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:8.162","2025-2-18 13:19:8.696","(-1.769821;-12.280602;0.0)","(8.551796;-8.978897;0.0)","0.108368"
15,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:8.711","2025-2-18 13:19:11.409","(8.551796;-8.978897;0.0)","(-1.789024;5.803856;0.0)","0.180406"
16,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:11.431","2025-2-18 13:19:11.957","(-1.789024;5.803856;0.0)","(9.83847;12.215904;0.0)","0.132783"
17,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:11.978","2025-2-18 13:19:12.952","(9.83847;12.215904;0.0)","(18.958801;4.430664;0.0)","0.119913"
18,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:12.974","2025-2-18 13:19:13.459","(18.958801;4.430664;0.0)","(19.725594;17.307602;0.0)","0.128997"
19,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:13.489","2025-2-18 13:19:14.487","(19.725594;17.307602;0.0)","(19.055206;32.721493;0.0)","0.154285"
20,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:19:15.354","2025-2-18 13:19:16.382","(12753.331055;-3525.190186;5.0)","(12570.0;-3535.004395;5.0)","1.83594"
21,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:14.510","2025-2-18 13:19:17.617","(0.0;0.0;0.0)","(-11.933784;12.548248;0.0)","0.173169"
22,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:17.646","2025-2-18 13:19:18.153","(-11.933784;12.548248;0.0)","(-29.477661;23.219006;0.0)","0.205342"
23,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:18.181","2025-2-18 13:19:19.198","(-29.477661;23.219006;0.0)","(-35.579781;10.133278;0.0)","0.144386"
24,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:19.224","2025-2-18 13:19:19.703","(-35.579781;10.133278;0.0)","(-54.439377;11.835869;0.0)","0.189363"
25,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:19.726","2025-2-18 13:19:36.867","(-54.439377;11.835869;0.0)","(-67.313606;1.960159;0.0)","0.162258"
26,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:36.882","2025-2-18 13:19:39.524","(-67.313606;1.960159;0.0)","(-77.23848;-6.170288;0.0)","0.128299"
27,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:39.541","2025-2-18 13:19:51.69","(-77.23848;-6.170288;0.0)","(-63.689121;0.478592;0.0)","0.150928"
28,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:51.93","2025-2-18 13:19:51.591","(-63.689121;0.478592;0.0)","(-75.954941;2.450203;0.0)","0.124233"
29,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:51.615","2025-2-18 13:19:56.921","(-75.954941;2.450203;0.0)","(-80.879402;15.014957;0.0)","0.134953"
30,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:56.942","2025-2-18 13:19:57.457","(-80.879402;15.014957;0.0)","(-87.611115;6.118874;0.0)","0.11156"
31,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:57.477","2025-2-18 13:19:58.535","(-87.611115;6.118874;0.0)","(-80.170753;14.635105;0.0)","0.113086"
32,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:58.555","2025-2-18 13:19:59.89","(-80.170753;14.635105;0.0)","(-104.884315;-5.284767;0.0)","0.317421"
33,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:20:0.710","2025-2-18 13:20:1.553","(12674.674805;-3528.950195;5.0)","(12868.980469;-3556.08667;5.0)","1.961919"
34,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:19:59.109","2025-2-18 13:20:3.338","(0.0;0.0;0.0)","(16.107109;-8.644203;0.0)","0.182801"
35,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:3.354","2025-2-18 13:20:3.848","(16.107109;-8.644203;0.0)","(44.869598;-13.490555;0.0)","0.291679"
36,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:3.863","2025-2-18 13:20:5.412","(44.869598;-13.490555;0.0)","(12.518017;-1.580093;0.0)","0.344744"
37,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:5.427","2025-2-18 13:20:5.973","(12.518017;-1.580093;0.0)","(-10.035098;7.935684;0.0)","0.244784"
38,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:20:7.136","2025-2-18 13:20:7.504","(12876.978516;-3561.637451;5.0)","(13038.34668;-3582.204102;5.0)","1.626738"
39,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:5.987","2025-2-18 13:20:9.225","(0.0;0.0;0.0)","(-20.462826;28.749657;0.0)","0.352884"
40,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:9.240","2025-2-18 13:20:10.861","(-20.462826;28.749657;0.0)","(-16.932056;18.705982;0.0)","0.106462"
41,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:10.877","2025-2-18 13:20:15.110","(-16.932056;18.705982;0.0)","(-6.215166;17.110165;0.0)","0.108351"
42,"FDI_AD","","S1_BasicMechanics","virtual_reality","2025-2-18 13:20:10.946","2025-2-18 13:20:15.945","(13055.279297;-3600.910156;5.0)","(13137.157227;-3653.807129;5.0)","0.974792"
43,"FDI_AD","","S1_BasicMechanics","real_life","2025-2-18 13:20:15.133","2025-2-18 13:20:16.702","(0.0;0.0;0.0)","(2.18283;-11.585361;0.0)","0.117892"
