id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AD","","T2_BasicEmergency","[0.190051;0.181684;0.181613;0.181784;0.182608;0.183273;0.182144;0.182642;0.183121;0.184035;]","[0.0;0.000027;0.000059;0.000086;0.000114;0.000141;0.00017;0.000199;0.000227;0.000256;]","[(-3040.0;12260.0);(-3123.607422;12337.49707);(-3124.586914;12334.880859);(-3123.610596;12322.87793);(-3114.772949;12320.393555);(-3107.286621;12323.673828);(-3119.503662;12324.96875);(-3113.53125;12331.951172);(-3109.29541;12318.799805);(-3099.422363;12318.560547);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AD","","T2_BasicEmergency","[0.185167;0.18453;0.184013;0.185012;0.185061;0.184473;0.184446;0.184739;0.184871;0.185069;]","[0.000284;0.000314;0.000344;0.000373;0.000403;0.000431;0.00046;0.000489;0.000519;0.000548;]","[(-3086.935303;12323.081055);(-3093.044189;12332.478516);(-3098.562744;12333.155273);(-3089.076416;12316.462891);(-3089.591309;12301.851562);(-3096.284668;12296.047852);(-3095.758301;12307.931641);(-3092.378174;12311.165039);(-3090.109619;12322.896484);(-3087.747314;12326.116211);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AD","","T2_BasicEmergency","[0.184972;0.185616;0.185364;0.185104;0.184682;0.184536;0.184444;0.18425;0.184715;0.185097;]","[0.000576;0.000606;0.000636;0.000666;0.000696;0.000726;0.000755;0.000784;0.000812;0.00084;]","[(-3089.319092;12319.038086);(-3083.003174;12311.227539);(-3085.673828;12311.418945);(-3088.226074;12314.674805);(-3092.267578;12321.232422);(-3094.415039;12313.179688);(-3095.382812;12313.505859);(-3097.301514;12315.874023);(-3092.2146;12317.051758);(-3088.24292;12315.455078);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AD","","T2_BasicEmergency","[0.185217;0.185127;0.184989;0.184957;0.184834;0.184936;0.185115;0.185382;0.185492;0.185593;]","[0.00087;0.000899;0.000929;0.000957;0.000986;0.001014;0.001044;0.001074;0.001103;0.001131;]","[(-3086.995361;12314.932617);(-3087.960205;12314.947266);(-3089.477783;12314.274414);(-3089.72583;12315.592773);(-3090.98584;12316.363281);(-3089.894043;12316.417969);(-3088.067383;12315.242188);(-3085.439453;12312.037109);(-3084.302002;12311.592773);(-3083.246338;12311.326172);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AD","","T2_BasicEmergency","[0.185171;0.18511;0.18515;0.185352;0.185046;0.185052;0.185052;0.185113;0.18534;0.185865;]","[0.00116;0.001191;0.001221;0.00125;0.001278;0.001307;0.001337;0.001368;0.001398;0.001428;]","[(-3087.582764;12313.555664);(-3088.154053;12314.749023);(-3087.872803;12312.745117);(-3085.732666;12312.469727);(-3088.875488;12314.273438);(-3088.804688;12314.255859);(-3088.876465;12313.356445);(-3088.184082;12313.920898);(-3085.676025;12315.055664);(-3079.745117;12319.644531);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AD","","T2_BasicEmergency","[0.185644;0.185321;0.185336;0.185241;0.889786;0.88712;0.884454;0.884862;0.885116;0.883933;]","[0.001457;0.001486;0.001516;0.001546;0.001655;0.001793;0.001931;0.002073;0.002219;0.002364;]","[(-3081.987793;12321.095703);(-3086.87915;12300.920898);(-3087.202148;12293.710938);(-3088.800293;12284.826172);(-949.795776;12093.396484);(-951.703979;12113.023438);(-954.201355;12117.724609);(-954.237732;12107.851562);(-954.016357;12106.956055);(-955.054077;12110.880859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AD","","T2_BasicEmergency","[0.880046;0.880883;0.876777;0.88399;0.885805;0.885175;0.884834;0.884836;0.884756;0.884644;]","[0.002508;0.002642;0.002775;0.002913;0.00306;0.003205;0.003339;0.003481;0.003625;0.003769;]","[(-959.161987;12108.201172);(-958.318298;12107.782227);(-962.659668;12105.3125);(-955.178223;12106.703125);(-953.20636;12109.410156);(-953.885498;12108.600586);(-954.228333;12108.71582);(-954.249268;12108.197266);(-954.334351;12108.115234);(-954.497559;12106.985352);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AD","","T2_BasicEmergency","[0.884634;0.884021;0.883481;0.883727;0.8767;0.868543;0.867909;0.885006;0.884269;0.870557;]","[0.003909;0.004047;0.004184;0.004323;0.004464;0.004604;0.004747;0.004887;0.00503;0.005166;]","[(-954.531494;12106.40918);(-955.146545;12106.699219);(-955.659546;12107.609375);(-955.378235;12108.308594);(-962.813232;12103.523438);(-971.07312;12109.413086);(-971.727722;12109.663086);(-954.378662;12100.864258);(-954.469971;12116.068359);(-968.545898;12118.404297);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AD","","T2_BasicEmergency","[0.875632;0.871056;0.892065;0.890926;0.888988;0.885345;0.883087;0.881138;0.871228;0.872746;]","[0.005306;0.00544;0.005579;0.00572;0.005864;0.006007;0.00615;0.006288;0.006432;0.006571;]","[(-963.647827;12109.951172);(-968.256348;12113.481445);(-946.794495;12110.795898);(-948.554871;12095.832031);(-950.608643;12093.279297);(-954.387512;12091.150391);(-956.70343;12090.927734);(-958.417358;12098.862305);(-968.507141;12103.521484);(-966.947205;12102.883789);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AD","","T2_BasicEmergency","[0.870177;0.869438;0.870001;0.870457;0.87009;0.869556;0.870175;0.870759;0.871391;0.871736;]","[0.006708;0.00685;0.006982;0.007123;0.007257;0.007393;0.007528;0.007662;0.007797;0.007935;]","[(-969.624329;12103.084961);(-970.352356;12104.235352);(-969.774048;12103.941406);(-969.369629;12102.108398);(-969.788696;12101.227539);(-970.371033;12100.647461);(-969.725586;12100.555664);(-969.128784;12100.179688);(-968.510498;12099.094727);(-968.254883;12096.267578);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_AD","","T2_BasicEmergency","[0.871369;0.870306;0.870491;0.871853;0.871539;0.873944;0.871829;0.870776;0.871851;0.880212;]","[0.008077;0.008218;0.008352;0.008496;0.008635;0.008778;0.008924;0.009073;0.009224;0.009364;]","[(-968.684448;12094.989258);(-969.85199;12093.405273);(-969.731445;12091.28125);(-968.228882;12093.584961);(-968.646057;12090.949219);(-966.303284;12085.858398);(-968.288513;12092.588867);(-969.376526;12092.938477);(-968.011719;12099.561523);(-959.091797;12105.818359);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_AD","","T2_BasicEmergency","[0.860715;0.854391;0.859784;0.845529;0.833712;0.814896;0.799736;0.783225;0.774712;0.765361;]","[0.009504;0.009644;0.009781;0.009912;0.010042;0.01017;0.010296;0.010415;0.010536;0.010657;]","[(-979.633423;12102.632812);(-986.563538;12098.443359);(-979.542847;12126.108398);(-993.969116;12143.266602);(-1007.325745;12138.50293);(-1029.759277;12118.666016);(-1047.292114;12123.672852);(-1066.915039;12130.015625);(-1077.946289;12119.888672);(-1089.806396;12117.856445);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_AD","","T2_BasicEmergency","[0.752075;0.750847;0.750349;0.750773;0.751212;0.751165;0.752039;0.606006;0.496722;0.49981;]","[0.010772;0.010889;0.01101;0.011131;0.011247;0.011362;0.011479;0.011581;0.011669;0.011749;]","[(-1106.490967;12126.558594);(-1108.148193;12125.466797);(-1108.92334;12122.894531);(-1108.343872;12123.413086);(-1107.764526;12123.518555);(-1107.878906;12122.420898);(-1106.787964;12121.366211);(-1330.935913;12105.053711);(-1558.972412;12111.913086);(-1551.475952;12112.90918);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
13,"FDI_AD","","T2_BasicEmergency","[0.504996;0.506002;0.510652;0.511952;0.515812;0.516942;0.515313;0.514049;0.559945;0.563344;]","[0.011829;0.011908;0.011985;0.012066;0.012145;0.012225;0.012306;0.012389;0.01247;0.012555;]","[(-1538.931152;12117.599609);(-1536.447021;12120.443359);(-1525.771851;12114.103516);(-1522.65332;12116.832031);(-1512.983643;12135.549805);(-1510.177368;12140.317383);(-1513.983643;12138.789062);(-1516.995483;12136.574219);(-1393.798096;12375.291016);(-1385.665771;12382.931641);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
14,"FDI_AD","","T2_BasicEmergency","[0.566176;0.565043;0.565604;0.572191;0.568381;0.566172;0.564855;0.564352;0.564586;0.571911;]","[0.012642;0.012729;0.012814;0.012903;0.012994;0.013085;0.013173;0.013262;0.013353;0.013443;]","[(-1379.468994;12385.814453);(-1383.535278;12374.498047);(-1382.89563;12371.272461);(-1369.07251;12375.355469);(-1378.579346;12362.863281);(-1381.787109;12371.021484);(-1383.853638;12374.891602);(-1384.922241;12374.578125);(-1384.812012;12372.211914);(-1371.002197;12366.408203);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
15,"FDI_AD","","T2_BasicEmergency","[0.572065;0.570575;0.569906;0.564656;0.564836;0.56543;0.565572;0.565723;0.565873;0.566311;]","[0.013531;0.013623;0.013715;0.013806;0.013897;0.013986;0.014073;0.014172;0.01427;0.014367;]","[(-1370.803589;12365.699219);(-1373.811035;12365.413086);(-1375.18689;12365.132812);(-1384.896484;12370.717773);(-1384.259521;12372.513672);(-1383.092651;12372.277344);(-1382.820801;12372.181641);(-1382.585571;12371.725586);(-1382.287476;12371.699219);(-1381.269653;12372.571289);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
16,"FDI_AD","","T2_BasicEmergency","[0.566339;0.566047;0.565546;0.565247;0.565198;0.565211;0.565555;0.565788;0.565692;0.565607;]","[0.014455;0.014548;0.014633;0.014722;0.014814;0.014902;0.015001;0.015099;0.015191;0.015283;]","[(-1381.215942;12372.550781);(-1381.832031;12372.382812);(-1382.92981;12371.811523);(-1383.530518;12371.833984);(-1383.624023;12371.87207);(-1383.644775;12371.566406);(-1382.973145;12371.40625);(-1382.560913;12371.030273);(-1383.210571;12368.038086);(-1383.412964;12367.830078);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
17,"FDI_AD","","T2_BasicEmergency","[0.565464;0.565449;0.566353;0.567966;0.567892;0.570462;0.571653;0.570099;0.570059;0.571673;]","[0.01537;0.01546;0.015553;0.015641;0.015727;0.01582;0.015913;0.016002;0.016092;0.016186;]","[(-1383.688599;12367.917969);(-1383.701538;12368.027344);(-1382.569702;12363.43457);(-1379.553833;12361.898438);(-1379.64917;12362.264648);(-1376.816284;12346.433594);(-1376.059082;12334.888672);(-1378.980957;12336.113281);(-1379.418579;12333.490234);(-1376.406982;12332.048828);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
18,"FDI_AD","","T2_BasicEmergency","[0.572063;0.518541;0.512061;0.502589;0.492948;0.488785;0.490018;0.500125;0.502951;0.502944;]","[0.016275;0.01636;0.016444;0.016524;0.016602;0.016683;0.016763;0.016844;0.016922;0.017001;]","[(-1375.451782;12333.380859);(-1505.503052;12160.378906);(-1520.268066;12162.831055);(-1542.002319;12172.683594);(-1564.583618;12185.339844);(-1574.112061;12196.982422);(-1570.77124;12200.90625);(-1546.409302;12195.995117);(-1541.729126;12162.408203);(-1542.184448;12154.240234);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
19,"FDI_AD","","T2_BasicEmergency","[0.503574;0.503424;0.504345;0.504143;0.505416;0.507735;0.512892;0.513645;0.511835;0.508851;]","[0.017084;0.017162;0.017242;0.017327;0.017409;0.017489;0.017571;0.017653;0.017734;0.017812;]","[(-1540.702148;12153.897461);(-1540.790039;12158.994141);(-1539.029907;12150.766602);(-1539.727661;12146.363281);(-1536.375366;12153.009766);(-1529.898193;12171.148438);(-1517.052002;12184.116211);(-1514.289185;12199.052734);(-1516.636108;12223.228516);(-1522.985107;12230.789062);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
20,"FDI_AD","","T2_BasicEmergency","[0.510563;0.515896;0.521411;0.518081;0.514456;0.514093;0.513369;0.512954;0.512692;0.512963;]","[0.017891;0.017969;0.018054;0.018136;0.018219;0.018303;0.018384;0.018468;0.018551;0.018635;]","[(-1519.091553;12229.405273);(-1507.397949;12221.300781);(-1496.619507;12197.708008);(-1505.121094;12184.047852);(-1513.658691;12180.644531);(-1514.821777;12175.467773);(-1516.056763;12182.417969);(-1517.10376;12181.103516);(-1517.744019;12180.574219);(-1517.16394;12179.817383);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
21,"FDI_AD","","T2_BasicEmergency","[0.513293;0.513531;0.51373;0.514149;0.515306;0.514251;0.513766;0.513404;0.693424;0.689226;]","[0.018714;0.018797;0.018876;0.018955;0.019037;0.019122;0.019208;0.019287;0.019391;0.019515;]","[(-1516.413696;12179.585938);(-1515.682251;12182.427734);(-1515.250244;12181.999023);(-1514.373535;12180.574219);(-1511.979614;12176.220703);(-1514.258789;12178.663086);(-1515.311401;12179.707031);(-1516.359497;12176.341797);(-1189.958984;12047.734375);(-1196.230469;12036.388672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
22,"FDI_AD","","T2_BasicEmergency","[0.687851;0.689746;0.684915;0.67748;0.677079;0.677382;0.692251;0.69157;0.688081;0.687055;]","[0.019624;0.019737;0.019845;0.019953;0.02006;0.020168;0.020281;0.020391;0.0205;0.020612;]","[(-1198.282593;12032.478516);(-1195.439087;12040.916016);(-1202.59082;12047.96875);(-1213.885864;12038.269531);(-1214.503662;12036.754883);(-1214.034058;12038.729492);(-1191.756226;12035.695312);(-1192.750244;12038.849609);(-1197.857178;12048.62793);(-1199.367065;12050.545898);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
23,"FDI_AD","","T2_BasicEmergency","[0.684106;0.682542;0.681299;0.682952;0.948695;0.949723;0.951188;1.370927;1.371019;1.370433;]","[0.020722;0.020833;0.020942;0.021049;0.021161;0.02131;0.021459;0.021647;0.021891;0.022109;]","[(-1203.675903;12059.216797);(-1205.998657;12061.21582);(-1207.821899;12064.404297);(-1205.396484;12060.140625);(-887.014893;12187.043945);(-886.064636;12187.068359);(-884.824341;12185.873047);(-579.482666;12278.100586);(-579.551086;12277.422852);(-580.23584;12275.273438);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
24,"FDI_AD","","T2_BasicEmergency","[1.368893;2.382109;2.380813;2.380534;4.192245;4.197793;4.184951;4.163055;4.161689;4.196915;]","[0.022324;0.022628;0.022982;0.023331;0.023953;0.024593;0.025238;0.025891;0.026534;0.027174;]","[(-581.123474;12274.925781);(-219.914719;12288.199219);(-220.405655;12287.44043);(-220.493362;12287.350586);(57.087936;12274.079102);(55.240784;12266.076172);(50.965347;12255.891602);(45.895523;12245.699219);(49.323837;12258.594727);(53.740997;12261.277344);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
25,"FDI_AD","","T2_BasicEmergency","[4.231427;4.208446;4.169697;4.154631;4.132124;2.891676;2.904279;2.984845;2.989691;3.013295;]","[0.027812;0.028466;0.0291;0.029734;0.030353;0.030945;0.031424;0.031883;0.032338;0.032797;]","[(56.738144;12259.445312);(50.429565;12245.22168);(46.817307;12246.572266);(45.593796;12247.822266);(43.301239;12248.02832);(-148.480408;11999.46875);(-146.279678;11998.512695);(-132.965591;12007.152344);(-132.172073;12007.323242);(-128.508255;12018.3125);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
26,"FDI_AD","","T2_BasicEmergency","[3.031922;3.052397;3.052719;3.055537;3.054996;3.05176;3.053466;3.076815;3.075088;3.049407;]","[0.033262;0.033734;0.034203;0.034664;0.035129;0.035601;0.036056;0.03652;0.036988;0.037448;]","[(-125.494705;12018.121094);(-122.135681;12012.725586);(-122.111847;12014.342773);(-121.691681;12016.223633);(-121.767227;12015.500977);(-122.274689;12014.983398);(-121.956055;12012.205078);(-118.104111;12005.149414);(-118.263977;12001.110352);(-122.438614;12004.772461);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
27,"FDI_AD","","T2_BasicEmergency","[3.039975;3.047841;3.073315;3.103341;3.268571;3.411395;3.546794;3.597006;3.678015;3.766635;]","[0.037901;0.038371;0.038851;0.039327;0.0398;0.040315;0.040832;0.041366;0.041923;0.04249;]","[(-124.158279;12014.992188);(-122.980408;12021.722656);(-118.967896;12026.504883);(-114.243668;12037.734375);(-89.539047;12039.099609);(-69.610962;12042.918945);(-51.387703;12062.506836);(-44.432121;12076.791016);(-34.752525;12071.71875);(-24.703558;12060.990234);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
28,"FDI_AD","","T2_BasicEmergency","[3.771477;3.766554;3.637914;3.641417;3.625626;4.490327;4.514142;4.45449;4.424727;4.395169;]","[0.043084;0.043666;0.044226;0.044778;0.045331;0.045951;0.046647;0.047323;0.047996;0.048674;]","[(-23.99555;12064.856445);(-24.539507;12065.552734);(-39.871613;12066.124023);(-39.491585;12064.900391);(-41.469646;12063.867188);(49.942547;12079.932617);(51.955791;12078.166016);(47.051956;12085.045898);(44.504757;12087.367188);(41.74194;12086.733398);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
29,"FDI_AD","","T2_BasicEmergency","[4.387603;4.378425;4.34089;4.303416;4.29036;4.313195;4.322041;4.29643;4.292336;4.304379;]","[0.049345;0.050026;0.050663;0.051324;0.051992;0.05263;0.053271;0.053931;0.054585;0.055228;]","[(40.952702;12085.447266);(39.932621;12082.930664);(36.406277;12082.680664);(32.615398;12078.801758);(30.91116;12070.414062);(33.028736;12069.202148);(33.902721;12069.932617);(31.435276;12069.259766);(31.075932;12069.919922);(32.236568;12070.151367);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
