id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AD","","S2_BasicEmergency","0","[0.000073;0.004389;0.004478;0.004546;0.004554;0.004532;0.004528;0.004542;0.006257;0.006261;]","[0.0;0.000001;0.000001;0.000002;0.000003;0.000003;0.000004;0.000005;0.000005;0.000006;]","[(0.0;0.0);(11660.847656;-17889.720703);(11694.179688;-17900.423828);(11733.082031;-17871.910156);(11732.073242;-17872.714844);(11726.84082;-17866.570312);(11724.261719;-17874.701172);(11726.227539;-17878.697266);(12094.87793;-18150.810547);(12096.40332;-18149.400391);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AD","","S2_BasicEmergency","0","[0.009301;0.009298;0.009292;0.01539;0.015417;0.015406;0.015403;0.015423;0.015381;0.015157;]","[0.000007;0.000009;0.00001;0.000012;0.000014;0.000017;0.000019;0.000021;0.000023;0.000025;]","[(12482.607422;-18425.835938);(12482.616211;-18424.716797);(12482.583984;-18423.037109);(12928.783203;-18589.572266);(12927.290039;-18596.660156);(12922.977539;-18604.306641);(12923.691406;-18602.523438);(12925.549805;-18601.126953);(12922.765625;-18599.529297);(12913.149414;-18592.953125);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AD","","S2_BasicEmergency","0","[0.015173;0.015218;0.01527;0.015271;0.015274;0.015273;0.01528;0.015282;0.015282;0.015282;]","[0.000028;0.00003;0.000032;0.000034;0.000037;0.000039;0.000041;0.000043;0.000045;0.000048;]","[(12913.338867;-18596.017578);(12916.426758;-18594.542969);(12920.538086;-18591.810547);(12920.68457;-18591.669922);(12920.865234;-18591.59375);(12920.963867;-18591.363281);(12921.450195;-18591.257812);(12921.451172;-18591.384766);(12921.357422;-18591.587891);(12921.31543;-18591.574219);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AD","","S2_BasicEmergency","0","[0.015277;0.015272;0.015306;0.015319;0.01533;0.015328;0.015311;0.015294;0.015294;0.015307;]","[0.00005;0.000052;0.000054;0.000057;0.000059;0.000061;0.000063;0.000066;0.000068;0.00007;]","[(12920.999023;-18591.652344);(12920.972656;-18591.226562);(12923.5625;-18590.044922);(12924.876953;-18588.837891);(12924.898438;-18589.951172);(12924.357422;-18590.923828);(12922.616211;-18592.21875);(12920.839844;-18593.998047);(12921.152344;-18593.613281);(12921.65332;-18594.185547);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AD","","S2_BasicEmergency","0","[0.015293;0.015267;0.015222;0.015208;0.015204;0.015191;0.015178;0.015172;0.015172;0.015176;]","[0.000072;0.000074;0.000077;0.000079;0.000081;0.000083;0.000085;0.000088;0.00009;0.000092;]","[(12920.412109;-18594.894531);(12919.478516;-18593.433594);(12917.87793;-18590.886719);(12917.049805;-18590.914062);(12917.196289;-18590.355469);(12916.858398;-18589.410156);(12916.761719;-18587.847656);(12916.722656;-18587.253906);(12916.775391;-18587.191406);(12916.912109;-18587.251953);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AD","","S2_BasicEmergency","0","[0.015186;0.015196;0.01524;0.01525;0.015251;0.015232;0.015211;0.015164;0.015159;0.015174;]","[0.000094;0.000097;0.000099;0.000101;0.000103;0.000105;0.000108;0.00011;0.000112;0.000114;]","[(12917.69043;-18587.105469);(12918.522461;-18586.625);(12922.626953;-18583.203125);(12924.625;-18580.238281);(12925.15625;-18578.978516);(12922.233398;-18582.6875);(12920.407227;-18583.246094);(12916.954102;-18585.09375);(12916.744141;-18585.509766);(12917.473633;-18586.234375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AD","","S2_BasicEmergency","0","[0.015175;0.015193;0.01517;0.015208;0.015248;0.015253;0.015323;0.015376;0.01511;0.014986;]","[0.000116;0.000118;0.000121;0.000123;0.000125;0.000127;0.000129;0.000132;0.000134;0.000136;]","[(12917.066406;-18586.873047);(12917.522461;-18587.732422);(12914.682617;-18590.994141);(12916.758789;-18592.564453);(12918.246094;-18594.171875);(12918.15918;-18594.751953);(12924.59668;-18593.412109);(12927.822266;-18588.84375);(12904.134766;-18602.197266);(12900.895508;-18597.974609);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AD","","S2_BasicEmergency","0","[0.015003;0.014971;0.014981;0.009377;0.009383;0.009384;0.009387;0.009381;0.009488;0.009552;]","[0.000138;0.000141;0.000143;0.000145;0.000146;0.000148;0.000149;0.00015;0.000152;0.000153;]","[(12900.563477;-18599.878906);(12899.010742;-18599.449219);(12900.242188;-18598.388672);(12462.873047;-18496.710938);(12463.316406;-18496.941406);(12463.484375;-18496.884766);(12463.84375;-18496.914062);(12463.259766;-18496.582031);(12478.470703;-18494.064453);(12489.926758;-18480.714844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AD","","S2_BasicEmergency","0","[0.009536;0.009521;0.009521;0.015077;0.01508;0.015083;0.015085;0.015088;0.015089;0.015079;]","[0.000155;0.000156;0.000157;0.00016;0.000162;0.000164;0.000166;0.000168;0.00017;0.000173;]","[(12489.928711;-18475.261719);(12489.804688;-18472.207031);(12489.263672;-18473.615234);(12934.49707;-18536.525391);(12934.639648;-18536.736328);(12934.635742;-18537.005859);(12934.663086;-18537.214844);(12934.887695;-18537.181641);(12934.935547;-18537.339844);(12925.319336;-18553.142578);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AD","","S2_BasicEmergency","0","[0.014756;0.014731;0.014761;0.014753;0.014745;0.01475;0.009018;0.009022;0.00903;0.009032;]","[0.000175;0.000177;0.000179;0.000181;0.000183;0.000186;0.000188;0.000189;0.00019;0.000192;]","[(12902.416992;-18558.542969);(12902.927734;-18558.470703);(12904.055664;-18558.910156);(12903.744141;-18558.542969);(12903.714844;-18557.572266);(12904.414062;-18556.904297);(12433.890625;-18455.876953);(12434.271484;-18456.357422);(12435.115234;-18456.791016);(12435.43457;-18456.515625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
