id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AE","","T2_BasicEmergency","[0.190051;0.18965;0.190132;0.190378;0.190227;0.191223;0.191084;0.191189;0.191169;0.190065;]","[0.0;0.000026;0.000058;0.000087;0.000117;0.000148;0.000179;0.000209;0.00024;0.000268;]","[(-3040.0;12260.0);(-3046.545654;12213.869141);(-3041.591797;12213.867188);(-3038.848633;12218.642578);(-3040.503418;12216.445312);(-3030.711182;12208.433594);(-3031.958008;12212.026367);(-3030.780518;12214.25);(-3030.616943;12221.929688);(-3041.804443;12223.814453);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AE","","T2_BasicEmergency","[0.191815;0.192921;0.192769;0.192648;0.192155;0.192368;0.192282;0.192276;0.192171;0.192225;]","[0.000296;0.000325;0.000355;0.000384;0.000416;0.000447;0.000477;0.000508;0.000539;0.000571;]","[(-3024.267578;12217.651367);(-3012.860107;12222.946289);(-3014.229004;12226.052734);(-3015.174072;12231.223633);(-3020.702148;12220.137695);(-3017.963867;12231.914062);(-3018.612061;12236.02832);(-3018.752197;12234.487305);(-3019.835205;12234.033203);(-3019.349121;12232.931641);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AE","","T2_BasicEmergency","[0.191841;0.191424;0.192708;0.191611;0.191432;0.192772;0.19252;0.192357;0.192344;0.192333;]","[0.000601;0.00063;0.00066;0.000689;0.000717;0.000746;0.000775;0.000805;0.000835;0.000864;]","[(-3023.252686;12232.481445);(-3027.487061;12232.480469);(-3014.22998;12237.737305);(-3025.316895;12237.510742);(-3027.167236;12237.004883);(-3013.822021;12233.272461);(-3016.215332;12235.94043);(-3017.890137;12235.304688);(-3018.123535;12233.458008);(-3018.270752;12232.702148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AE","","T2_BasicEmergency","[0.192162;0.192033;0.192032;0.191966;0.192097;0.192224;0.192033;0.191357;0.190841;0.190898;]","[0.000894;0.000925;0.000955;0.000986;0.001017;0.001048;0.001078;0.001107;0.001136;0.001164;]","[(-3020.001465;12232.568359);(-3021.355957;12231.575195);(-3021.351074;12232.040039);(-3021.986328;12232.617188);(-3020.630859;12233.130859);(-3019.402832;12232.036133);(-3021.605713;12226.90625);(-3028.334473;12229.255859);(-3033.067139;12239.128906);(-3032.697998;12235.061523);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AE","","T2_BasicEmergency","[0.192335;0.192346;0.192315;0.192192;0.271224;0.27158;0.27118;0.270918;0.271886;0.271745;]","[0.001194;0.001224;0.001253;0.001284;0.001317;0.001362;0.001405;0.001448;0.001489;0.001532;]","[(-3017.603027;12244.769531);(-3017.833252;12238.500977);(-3018.253662;12236.410156);(-3019.461914;12237.071289);(-2400.071289;12307.742188);(-2397.946533;12307.432617);(-2400.250488;12308.708008);(-2401.714844;12310.111328);(-2396.51709;12302.626953);(-2397.248779;12303.984375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AE","","T2_BasicEmergency","[0.27435;0.274911;0.274585;0.274791;0.273921;0.272823;0.272291;0.272697;0.272198;0.272606;]","[0.001578;0.001621;0.001664;0.001708;0.001751;0.001795;0.001838;0.00188;0.001923;0.001966;]","[(-2383.539062;12281.178711);(-2379.668457;12288.083008);(-2381.321045;12291.555664);(-2379.957031;12293.326172);(-2384.687256;12298.541992);(-2391.695068;12292.956055);(-2395.57251;12284.239258);(-2393.302246;12282.169922);(-2396.046143;12285.336914);(-2394.04248;12279.662109);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AE","","T2_BasicEmergency","[0.272401;0.272472;0.271058;0.269304;0.268174;0.267095;0.265383;0.263416;0.262433;0.259015;]","[0.002008;0.002051;0.002092;0.002135;0.002178;0.002218;0.002259;0.0023;0.00234;0.00238;]","[(-2394.826416;12285.40625);(-2394.418701;12285.15918);(-2403.542725;12277.131836);(-2413.868896;12281.180664);(-2420.024414;12290.860352);(-2427.347168;12282.150391);(-2438.397705;12276.408203);(-2450.407227;12280.595703);(-2457.415771;12269.811523);(-2479.3396;12269.025391);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AE","","T2_BasicEmergency","[0.25546;0.255185;0.255375;0.255083;0.255826;0.255699;0.255884;0.255821;0.255871;0.255663;]","[0.002419;0.002458;0.002499;0.002539;0.002579;0.002619;0.002659;0.002699;0.00274;0.002782;]","[(-2501.876221;12278.262695);(-2504.167969;12271.6875);(-2502.835449;12272.844727);(-2504.800293;12272.257812);(-2499.73999;12274.505859);(-2500.687744;12272.958984);(-2499.501465;12272.544922);(-2499.860352;12273.291016);(-2499.530762;12273.345703);(-2500.94043;12272.706055);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AE","","T2_BasicEmergency","[0.256071;0.256179;0.256148;0.256133;0.256177;0.256261;0.256096;0.256143;0.256219;0.256136;]","[0.002823;0.002861;0.002902;0.002942;0.002981;0.00302;0.003058;0.003096;0.003136;0.003175;]","[(-2498.214355;12273.295898);(-2497.447998;12274.073242);(-2497.746826;12272.767578);(-2497.803955;12273.356445);(-2497.538818;12272.988281);(-2496.986328;12273.079102);(-2498.031494;12273.583008);(-2497.665283;12274.335938);(-2497.190674;12274.032227);(-2497.783936;12273.40332);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AE","","T2_BasicEmergency","[0.256169;0.256218;0.25617;0.256149;0.256198;0.25613;0.25607;0.2561;0.256127;0.256337;]","[0.003214;0.003254;0.003293;0.003332;0.003371;0.003411;0.003451;0.003491;0.00353;0.00357;]","[(-2497.583008;12273.177734);(-2497.20752;12273.90332);(-2497.471191;12274.631836);(-2497.697998;12273.391602);(-2497.419678;12272.758789);(-2497.873291;12272.6875);(-2498.287354;12272.399414);(-2498.019531;12273.378906);(-2497.837891;12273.475586);(-2496.625244;12271.176758);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
