id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AF","","T2_BasicEmergency","00001","Completed","2025-2-20 10:32:25.131"
1,"FDI_AF","","T2_BasicEmergency","T2001","Started","2025-2-20 10:32:48.546"
2,"FDI_AF","","T2_BasicEmergency","T2001","Completed","2025-2-20 10:34:25.639"
3,"FDI_AF","","T2_BasicEmergency","T2002","Started","2025-2-20 10:34:25.702"
4,"FDI_AF","","T2_BasicEmergency","T2002","Completed","2025-2-20 10:35:56.131"
5,"FDI_AF","","T2_BasicEmergency","T2003","Started","2025-2-20 10:35:56.199"
6,"FDI_AF","","T2_BasicEmergency","T2003","Completed","2025-2-20 10:36:34.815"
7,"FDI_AF","","T2_BasicEmergency","T2004","Started","2025-2-20 10:36:34.880"
8,"FDI_AF","","T2_BasicEmergency","T2004","Completed","2025-2-20 10:37:2.948"
9,"FDI_AF","","T2_BasicEmergency","T2005","Started","2025-2-20 10:37:3.30"
10,"FDI_AF","","T2_BasicEmergency","T2005","Completed","2025-2-20 10:38:13.101"
11,"FDI_AF","","T2_BasicEmergency","00002","Completed","2025-2-20 10:38:44.568"
