id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AF","","S2_BasicEmergency","[0.005177;0.005091;0.005086;0.005074;0.00507;0.005086;0.005074;0.00507;0.00504;0.005087;]","[0.0;0.000001;0.000003;0.000004;0.000005;0.000006;0.000006;0.000007;0.000008;0.000009;]","[(11700.0;-18460.0);(11664.012695;-18501.421875);(11663.375977;-18501.429688);(11660.65625;-18498.693359);(11658.589844;-18502.515625);(11663.750977;-18501.273438);(11661.993164;-18494.267578);(11658.507812;-18502.419922);(11649.574219;-18502.619141);(11663.155273;-18503.84375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AF","","S2_BasicEmergency","[0.005106;0.006683;0.006671;0.006556;0.006556;0.006561;0.005773;0.005795;0.005842;0.0058;]","[0.00001;0.000011;0.000012;0.000013;0.000014;0.000015;0.000016;0.000017;0.000018;0.000018;]","[(11668.154297;-18506.476562);(12091.457031;-18375.099609);(12084.886719;-18386.310547);(12059.769531;-18390.638672);(12057.355469;-18397.423828);(12057.454102;-18400.068359);(11863.21582;-18450.386719);(11867.516602;-18454.0);(11877.259766;-18458.900391);(11868.84082;-18453.080078);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AF","","S2_BasicEmergency","[0.005747;0.005775;0.005784;0.00581;0.005833;0.005829;0.005829;0.006706;0.006708;0.00671;]","[0.000019;0.00002;0.000021;0.000022;0.000023;0.000024;0.000025;0.000026;0.000027;0.000028;]","[(11859.476562;-18441.755859);(11866.506836;-18441.675781);(11869.105469;-18440.306641);(11873.303711;-18446.767578);(11882.189453;-18437.205078);(11884.091797;-18428.046875);(11881.555664;-18435.640625);(12090.279297;-18390.513672);(12090.924805;-18390.052734);(12090.073242;-18393.216797);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AF","","S2_BasicEmergency","[0.006726;0.006733;0.006725;0.006713;0.006172;0.006172;0.006036;0.005902;0.005866;0.004931;]","[0.000029;0.00003;0.000031;0.000032;0.000033;0.000034;0.000035;0.000036;0.000037;0.000038;]","[(12089.713867;-18402.695312);(12091.099609;-18402.769531);(12085.240234;-18414.708984);(12079.845703;-18422.630859);(11892.473633;-18678.894531);(11893.098633;-18675.839844);(11862.27832;-18679.314453);(11831.732422;-18679.085938);(11825.245117;-18670.171875);(11589.959961;-18608.759766);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AF","","S2_BasicEmergency","[0.004917;0.004859;0.00489;0.004924;0.004938;0.004935;0.005939;0.005914;0.005867;0.005867;]","[0.000039;0.000039;0.00004;0.000041;0.000042;0.000043;0.000044;0.000045;0.000046;0.000047;]","[(11587.424805;-18600.916016);(11678.136719;-18241.060547);(11688.583984;-18239.464844);(11699.793945;-18238.804688);(11700.464844;-18248.982422);(11697.623047;-18253.861328);(11897.879883;-18466.636719);(11894.139648;-18459.976562);(11885.898438;-18450.865234);(11886.704102;-18448.423828);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AF","","S2_BasicEmergency","[0.00586;0.005867;0.005874;0.005876;0.005882;0.005882;0.005885;0.00589;0.005236;0.005232;]","[0.000048;0.000048;0.000049;0.00005;0.000051;0.000052;0.000053;0.000054;0.000055;0.000056;]","[(11883.606445;-18452.701172);(11884.025391;-18456.439453);(11886.553711;-18454.136719);(11886.982422;-18453.742188);(11887.943359;-18455.955078);(11887.195312;-18457.779297);(11887.508789;-18459.396484);(11888.069336;-18460.925781);(11926.135742;-17950.646484);(11926.150391;-17948.130859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AF","","S2_BasicEmergency","[0.005243;0.005261;0.00528;0.005244;0.005245;0.005253;0.005252;0.00524;0.00522;0.005202;]","[0.000057;0.000058;0.000058;0.000059;0.00006;0.000061;0.000062;0.000063;0.000063;0.000064;]","[(11932.976562;-17941.855469);(11935.248047;-17947.488281);(11937.011719;-17955.410156);(11930.854492;-17946.314453);(11930.948242;-17946.679688);(11932.152344;-17948.976562);(11931.464844;-17949.802734);(11928.9375;-17947.541016);(11924.401367;-17944.734375);(11919.961914;-17942.0625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AF","","S2_BasicEmergency","[0.005211;0.005239;0.0052;0.005214;0.005217;0.005231;0.005236;0.005255;0.005257;0.00525;]","[0.000065;0.000066;0.000067;0.000068;0.000068;0.000069;0.00007;0.000071;0.000072;0.000073;]","[(11918.410156;-17950.345703);(11922.907227;-17958.521484);(11919.200195;-17942.513672);(11924.853516;-17939.919922);(11923.517578;-17944.457031);(11925.765625;-17948.154297);(11927.09082;-17948.896484);(11931.098633;-17952.132812);(11931.383789;-17952.792969);(11929.866211;-17951.324219);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AF","","S2_BasicEmergency","[0.005233;0.005236;0.005233;0.005231;0.005231;0.005231;0.005232;0.005232;0.005235;0.005266;]","[0.000073;0.000074;0.000075;0.000076;0.000077;0.000078;0.000078;0.000079;0.00008;0.000081;]","[(11925.634766;-17949.425781);(11925.878906;-17950.783203);(11925.352539;-17950.064453);(11925.361328;-17949.009766);(11925.447266;-17948.875);(11925.338867;-17948.990234);(11925.368164;-17949.433594);(11925.282227;-17949.919922);(11926.070312;-17950.150391);(11931.71875;-17957.291016);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AF","","S2_BasicEmergency","[0.00524;0.005239;0.005236;0.005235;0.005235;0.005236;0.005236;0.005237;0.005236;0.00524;]","[0.000082;0.000083;0.000083;0.000084;0.000085;0.000086;0.000087;0.000088;0.000089;0.000089;]","[(11927.786133;-17949.513672);(11928.004883;-17948.988281);(11927.463867;-17948.003906);(11927.445312;-17947.712891);(11927.428711;-17947.511719);(11927.599609;-17947.457031);(11927.705078;-17947.296875);(11927.819336;-17947.988281);(11927.370117;-17948.314453);(11928.079102;-17948.917969);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
