id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(11.020428;0.822089;23.455269)","(-21.438879;54.35495;-63.006355)","2025-2-20 11:24:58.25"
1,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(12.285944;1.183523;25.995758)","(-34.804474;61.788799;-78.067642)","2025-2-20 11:24:59.26"
2,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(0.565248;6.4772;23.474266)","(-9.023145;38.587643;-143.88797)","2025-2-20 11:25:1.889"
3,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(0.086181;5.567234;23.856064)","(-17.519924;36.571407;-154.109665)","2025-2-20 11:25:2.78"
4,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(0.862162;11.604147;14.139847)","(-25.679012;31.264072;-133.349213)","2025-2-20 11:25:2.971"
5,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(2.253954;11.319889;17.201309)","(-21.712692;33.88224;-130.736832)","2025-2-20 11:25:3.175"
6,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(22.083933;1.132387;27.288788)","(-23.744083;58.548096;-30.622435)","2025-2-20 11:25:31.80"
7,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(21.441397;0.845947;30.437637)","(-44.044468;71.66346;-53.857418)","2025-2-20 11:25:31.895"
8,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(18.025408;1.858982;11.756569)","(-29.124565;25.263964;-50.189198)","2025-2-20 11:25:32.927"
9,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(23.040892;1.226501;8.859665)","(-32.400131;23.312403;-55.925507)","2025-2-20 11:25:33.318"
10,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(21.678131;2.531727;27.127785)","(-51.278065;-3.474937;-84.890091)","2025-2-20 11:25:34.19"
11,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(24.245464;5.856612;12.031494)","(-55.170265;-3.856862;-88.229248)","2025-2-20 11:25:34.798"
12,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(26.612465;1.88238;25.283928)","(-57.608009;-5.839406;-90.294991)","2025-2-20 11:25:35.89"
13,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(26.236946;4.580941;23.825829)","(-57.587875;-19.679029;-87.587761)","2025-2-20 11:25:35.750"
14,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(25.618469;4.993264;26.169174)","(-55.403141;-11.814914;-90.642159)","2025-2-20 11:25:35.930"
15,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","started","Right","(24.218475;5.400229;26.745399)","(-57.993206;-9.201787;-86.425133)","2025-2-20 11:25:36.336"
16,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(0.512833;23.235786;30.086929)","(-70.379913;78.864204;-156.146011)","2025-2-20 11:25:37.755"
17,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(0.516129;29.062933;39.704941)","(-108.14006;77.621437;154.183884)","2025-2-20 11:25:39.784"
18,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(3.564011;25.330248;18.128494)","(-43.059803;55.574608;-138.290863)","2025-2-20 11:25:40.779"
19,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(4.986851;24.041464;17.66452)","(-38.87793;54.565411;-133.802536)","2025-2-20 11:25:40.933"
20,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","completed","Right","(3.767938;5.965132;32.010025)","(-37.72942;42.066216;-148.409958)","2025-2-20 11:25:42.204"
21,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(3.767938;5.965132;32.010025)","(-37.72942;42.066216;-148.409958)","2025-2-20 11:25:42.270"
22,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(16.961754;8.255524;13.598282)","(-37.353176;58.439819;133.592316)","2025-2-20 11:25:43.176"
23,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(22.553473;0.456844;16.374092)","(-45.683899;58.023636;132.825653)","2025-2-20 11:25:43.637"
24,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(38.331223;27.020607;30.94046)","(-69.445374;-13.547794;-85.28524)","2025-2-20 11:25:45.333"
25,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","started","Right","(38.331223;27.020607;30.94046)","(-69.445374;-13.547794;-85.28524)","2025-2-20 11:25:45.354"
26,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(37.586258;4.056559;13.965027)","(-52.251205;41.099682;-64.877708)","2025-2-20 11:25:46.229"
27,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(34.891689;0.35745;10.333237)","(-48.613605;44.610661;-64.301033)","2025-2-20 11:25:46.679"
28,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(12.582397;4.006709;30.503891)","(-48.382984;37.07346;-92.827644)","2025-2-20 11:25:47.818"
29,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","completed","Right","(12.093231;4.99816;29.682671)","(-46.683281;34.761047;-94.942726)","2025-2-20 11:25:47.869"
30,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(31.297859;42.463501;31.77256)","(-78.813179;72.894661;-2.514111)","2025-2-20 11:25:48.794"
31,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(24.847736;41.719227;29.417519)","(-72.82106;82.810028;8.544825)","2025-2-20 11:25:49.18"
32,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(25.611244;37.983181;27.220467)","(-72.416412;72.893433;-1.653201)","2025-2-20 11:25:49.480"
33,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(22.450109;39.705963;22.149712)","(-24.115835;58.477589;62.813431)","2025-2-20 11:25:49.767"
34,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(5.616947;13.637669;27.229782)","(-38.851776;8.299537;-40.563702)","2025-2-20 11:25:50.851"
35,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","started","Right","(5.616947;13.637669;27.229782)","(-38.851776;8.299537;-40.563702)","2025-2-20 11:25:50.867"
36,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(2.235245;31.654234;33.432053)","(-51.507565;71.784378;-145.877686)","2025-2-20 11:25:51.765"
37,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(0.993885;32.652496;33.245361)","(-55.244675;74.690369;-146.282715)","2025-2-20 11:25:51.971"
38,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(0.175312;31.054464;31.908173)","(-42.674995;73.730011;-135.602615)","2025-2-20 11:25:52.313"
39,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(1.802498;27.56237;24.762352)","(-25.476501;61.611855;-115.597198)","2025-2-20 11:25:52.841"
40,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(7.187916;3.365128;25.883392)","(-27.344128;47.905563;-111.452446)","2025-2-20 11:25:53.837"
41,"FDI_AG","","S1_BasicMechanics","IA_Grab_Right","completed","Right","(7.719028;3.337668;27.267204)","(-31.633337;41.001591;-128.974442)","2025-2-20 11:25:53.886"
42,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(17.4848;42.33321;20.385986)","(-54.153259;48.245205;21.962557)","2025-2-20 11:25:54.918"
43,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(17.176655;41.448917;22.059135)","(-34.545704;61.843758;48.040897)","2025-2-20 11:25:55.84"
44,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","started","Right","(20.448275;37.234749;18.52594)","(-34.127033;55.038353;35.313797)","2025-2-20 11:25:55.465"
45,"FDI_AG","","S1_BasicMechanics","IA_Move_Right","completed","Right","(17.798492;32.602146;12.728493)","(-31.891018;42.019466;35.004318)","2025-2-20 11:25:55.844"
46,"FDI_AG","","S1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(16.105499;1.233231;30.659721)","(-24.281126;21.392532;-31.069792)","2025-2-20 11:25:56.761"
