id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AG","","T2_BasicEmergency","00001","Completed","2025-2-20 11:29:18.110"
1,"FDI_AG","","T2_BasicEmergency","T2001","Started","2025-2-20 11:29:41.456"
2,"FDI_AG","","T2_BasicEmergency","T2001","Completed","2025-2-20 11:36:5.438"
3,"FDI_AG","","T2_BasicEmergency","T2002","Started","2025-2-20 11:36:5.493"
4,"FDI_AG","","T2_BasicEmergency","T2002","Completed","2025-2-20 11:37:3.941"
5,"FDI_AG","","T2_BasicEmergency","T2003","Started","2025-2-20 11:37:4.3"
6,"FDI_AG","","T2_BasicEmergency","T2003","Completed","2025-2-20 11:37:31.306"
7,"FDI_AG","","T2_BasicEmergency","T2004","Started","2025-2-20 11:37:31.393"
8,"FDI_AG","","T2_BasicEmergency","T2004","Completed","2025-2-20 11:38:8.149"
9,"FDI_AG","","T2_BasicEmergency","T2005","Started","2025-2-20 11:38:8.216"
10,"FDI_AG","","T2_BasicEmergency","T2005","Completed","2025-2-20 11:38:55.300"
11,"FDI_AG","","T2_BasicEmergency","00002","Completed","2025-2-20 11:39:21.134"
