id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AG","","S2_BasicEmergency","[0.005177;0.00535;0.005345;0.005361;0.005365;0.005366;0.005361;0.005363;0.00536;0.005362;]","[0.0;0.000001;0.000003;0.000003;0.000004;0.000005;0.000006;0.000007;0.000008;0.000009;]","[(11700.0;-18460.0);(11751.662109;-18449.519531);(11750.459961;-18449.111328);(11753.893555;-18452.541016);(11754.061523;-18455.230469);(11754.305664;-18455.513672);(11753.099609;-18454.949219);(11754.168945;-18453.439453);(11753.614258;-18452.746094);(11753.902344;-18452.980469);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AG","","S2_BasicEmergency","[0.005365;0.005365;0.005368;0.005363;0.005362;0.005363;0.005363;0.005368;0.005357;0.005374;]","[0.000009;0.00001;0.000011;0.000012;0.000013;0.000014;0.000015;0.000015;0.000016;0.000017;]","[(11754.416016;-18454.474609);(11754.515625;-18454.335938);(11755.251953;-18454.027344);(11754.452148;-18452.824219);(11753.957031;-18453.521484);(11754.15918;-18453.527344);(11754.300781;-18453.03125);(11755.77832;-18452.623047);(11752.772461;-18452.207031);(11756.102539;-18456.515625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AG","","S2_BasicEmergency","[0.005366;0.005372;0.005369;0.005369;0.005362;0.005359;0.005356;0.005335;0.005324;0.005326;]","[0.000018;0.000019;0.00002;0.00002;0.000021;0.000022;0.000023;0.000024;0.000025;0.000026;]","[(11754.365234;-18455.285156);(11756.289062;-18454.556641);(11755.861328;-18452.802734);(11755.600586;-18453.626953);(11753.84375;-18453.083984);(11753.145508;-18453.302734);(11752.000977;-18453.734375);(11746.430664;-18453.726562);(11743.489258;-18453.648438);(11740.954102;-18463.066406);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AG","","S2_BasicEmergency","[0.005357;0.005362;0.005366;0.005367;0.005363;0.00536;0.005357;0.005356;0.005357;0.005359;]","[0.000026;0.000027;0.000028;0.000029;0.00003;0.000031;0.000031;0.000032;0.000033;0.000034;]","[(11751.380859;-18457.328125);(11752.71582;-18457.152344);(11754.09375;-18456.148438);(11754.303711;-18456.072266);(11753.482422;-18455.28125);(11753.325195;-18453.726562);(11752.822266;-18452.693359);(11752.469727;-18452.447266);(11752.726562;-18452.501953);(11753.205078;-18453.070312);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AG","","S2_BasicEmergency","[0.005362;0.005369;0.005375;0.005369;0.005368;0.005369;0.005367;0.005363;0.005363;0.005364;]","[0.000035;0.000036;0.000037;0.000037;0.000038;0.000039;0.00004;0.000041;0.000042;0.000043;]","[(11753.633789;-18454.208984);(11754.890625;-18456.099609);(11756.40332;-18457.144531);(11755.058594;-18455.5625);(11754.811523;-18455.414062);(11755.053711;-18455.486328);(11754.723633;-18455.289062);(11753.964844;-18454.052734);(11754.408203;-18452.40625);(11754.746094;-18452.283203);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AG","","S2_BasicEmergency","[0.005365;0.005367;0.005368;0.005368;0.005368;0.005364;0.005362;0.005364;0.005367;0.005373;]","[0.000044;0.000044;0.000045;0.000046;0.000047;0.000048;0.000049;0.00005;0.00005;0.000051;]","[(11755.052734;-18452.306641);(11755.258789;-18453.128906);(11755.285156;-18453.925781);(11755.210938;-18454.355469);(11755.180664;-18454.359375);(11754.589844;-18453.210938);(11754.134766;-18452.785156);(11754.352539;-18453.326172);(11755.012695;-18453.935547);(11756.913086;-18453.429688);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AG","","S2_BasicEmergency","[0.005363;0.005353;0.005347;0.005346;0.005347;0.005357;0.005361;0.005361;0.005355;0.005355;]","[0.000052;0.000053;0.000054;0.000055;0.000056;0.000056;0.000057;0.000058;0.000059;0.00006;]","[(11753.776367;-18454.923828);(11752.068359;-18451.345703);(11750.755859;-18449.855469);(11750.120117;-18451.419922);(11750.09082;-18452.595703);(11752.476562;-18453.271484);(11753.529297;-18453.542969);(11753.639648;-18453.375);(11751.978516;-18453.109375);(11751.835938;-18453.546875);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AG","","S2_BasicEmergency","[0.005354;0.005353;0.005352;0.005354;0.005357;0.00536;0.00536;0.005357;0.005353;0.005354;]","[0.000061;0.000062;0.000062;0.000063;0.000064;0.000065;0.000066;0.000067;0.000068;0.000068;]","[(11751.897461;-18452.703125);(11751.829102;-18451.869141);(11751.640625;-18451.71875);(11752.404297;-18451.423828);(11752.90918;-18451.962891);(11753.478516;-18452.867188);(11753.577148;-18452.767578);(11752.84082;-18452.619141);(11752.25;-18450.804688);(11752.525391;-18450.636719);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AG","","S2_BasicEmergency","[0.005354;0.005354;0.005353;0.005353;0.005354;0.005354;0.00536;0.005357;0.005354;0.005349;]","[0.000069;0.00007;0.000071;0.000072;0.000073;0.000074;0.000074;0.000075;0.000076;0.000077;]","[(11752.429688;-18451.396484);(11752.382812;-18451.550781);(11752.112305;-18451.078125);(11752.052734;-18451.507812);(11752.225586;-18451.457031);(11752.414062;-18451.160156);(11752.65625;-18455.349609);(11752.648438;-18453.349609);(11752.216797;-18451.417969);(11751.832031;-18448.841797);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AG","","S2_BasicEmergency","[0.005278;0.005306;0.005361;0.005373;0.005368;0.005355;0.005356;0.005362;0.005366;0.005371;]","[0.000078;0.000079;0.00008;0.00008;0.000081;0.000082;0.000083;0.000084;0.000085;0.000085;]","[(11735.212891;-18438.833984);(11744.212891;-18434.566406);(11754.206055;-18451.027344);(11755.984375;-18456.236328);(11755.006836;-18454.869141);(11752.484375;-18451.878906);(11752.43457;-18452.376953);(11753.791992;-18453.853516);(11754.640625;-18454.523438);(11755.572266;-18455.798828);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
