id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_AJ","","T1_BasicMechanics","real_life","1-1-1 0:0:0.0","2025-2-21 10:7:41.610","(0.0;0.0;0.0)","(16.214394;5.680238;0.0)","0.171806"
1,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:41.624","2025-2-21 10:7:42.928","(16.214394;5.680238;0.0)","(-2.399677;9.57954;0.0)","0.190181"
2,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:42.942","2025-2-21 10:7:46.504","(-2.399677;9.57954;0.0)","(9.666264;4.817537;0.0)","0.129716"
3,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:46.520","2025-2-21 10:7:47.10","(9.666264;4.817537;0.0)","(24.287563;16.996866;0.0)","0.190294"
4,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:47.26","2025-2-21 10:7:47.516","(24.287563;16.996866;0.0)","(38.860817;24.902042;0.0)","0.165793"
5,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:47.530","2025-2-21 10:7:48.28","(38.860817;24.902042;0.0)","(30.169846;37.568005;0.0)","0.15361"
6,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:48.43","2025-2-21 10:7:58.750","(30.169846;37.568005;0.0)","(37.687065;44.91222;0.0)","0.105093"
7,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:7:58.765","2025-2-21 10:8:1.364","(37.687065;44.91222;0.0)","(58.403633;64.240128;0.0)","0.283327"
8,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:8:1.378","2025-2-21 10:8:6.899","(58.403633;64.240128;0.0)","(66.125366;71.60038;0.0)","0.106676"
9,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:8:6.914","2025-2-21 10:8:19.682","(66.125366;71.60038;0.0)","(65.818733;88.54483;0.0)","0.169472"
10,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:8:19.696","2025-2-21 10:8:20.701","(65.818733;88.54483;0.0)","(65.703125;77.325989;0.0)","0.112194"
11,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:8:20.716","2025-2-21 10:9:12.586","(65.703125;77.325989;0.0)","(-2089.9104;170.362274;10.0)","21.576435"
12,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:12.601","2025-2-21 10:9:15.167","(-2089.9104;170.362274;10.0)","(-2085.405762;179.408585;10.0)","0.101058"
13,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:15.182","2025-2-21 10:9:15.686","(-2085.405762;179.408585;10.0)","(-2077.709473;193.10434;10.0)","0.157102"
14,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:15.704","2025-2-21 10:9:16.699","(-2077.709473;193.10434;10.0)","(-2079.454834;182.08136;10.0)","0.111603"
15,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:16.714","2025-2-21 10:9:17.213","(-2079.454834;182.08136;10.0)","(-2076.474609;169.044403;10.0)","0.133733"
16,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:17.228","2025-2-21 10:9:18.231","(-2076.474609;169.044403;10.0)","(-2082.429688;179.06311;10.0)","0.116549"
17,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:18.248","2025-2-21 10:9:19.261","(-2082.429688;179.06311;10.0)","(-2080.665039;142.599792;10.0)","0.36506"
18,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:19.276","2025-2-21 10:9:21.821","(-2080.665039;142.599792;10.0)","(-2087.102051;120.104477;10.0)","0.233982"
19,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:21.836","2025-2-21 10:9:22.328","(-2087.102051;120.104477;10.0)","(-2091.333252;97.461151;10.0)","0.230352"
20,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:22.344","2025-2-21 10:9:23.361","(-2091.333252;97.461151;10.0)","(-2084.019775;115.933136;10.0)","0.198671"
21,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:23.380","2025-2-21 10:9:25.911","(-2084.019775;115.933136;10.0)","(-2077.321777;154.943192;10.0)","0.395809"
22,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:25.931","2025-2-21 10:9:26.436","(-2077.321777;154.943192;10.0)","(-2081.212646;173.040985;10.0)","0.185113"
23,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:26.456","2025-2-21 10:9:26.944","(-2081.212646;173.040985;10.0)","(-2089.348633;187.118866;10.0)","0.162598"
24,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:26.964","2025-2-21 10:9:27.471","(-2089.348633;187.118866;10.0)","(-2086.306641;200.902313;10.0)","0.141152"
25,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:9:27.492","2025-2-21 10:10:2.529","(-2086.306641;200.902313;10.0)","(-2083.514648;190.992188;10.0)","0.102959"
26,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:2.552","2025-2-21 10:10:4.576","(-2083.514648;190.992188;10.0)","(-2079.707275;178.993668;10.0)","0.125881"
27,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:4.590","2025-2-21 10:10:6.88","(-2079.707275;178.993668;10.0)","(-2088.521729;190.269989;10.0)","0.143125"
28,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:6.103","2025-2-21 10:10:6.593","(-2088.521729;190.269989;10.0)","(-2084.963867;161.205994;10.0)","0.292809"
29,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:6.608","2025-2-21 10:10:7.112","(-2084.963867;161.205994;10.0)","(-2086.868896;142.798309;10.0)","0.18506"
30,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:7.131","2025-2-21 10:10:7.619","(-2086.868896;142.798309;10.0)","(-2095.173828;128.816086;10.0)","0.162627"
31,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:7.634","2025-2-21 10:10:8.139","(-2095.173828;128.816086;10.0)","(-2104.020752;99.27243;10.0)","0.308398"
32,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:8.155","2025-2-21 10:10:9.716","(-2104.020752;99.27243;10.0)","(-2098.02417;118.961403;10.0)","0.205819"
33,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:9.731","2025-2-21 10:10:10.224","(-2098.02417;118.961403;10.0)","(-2087.529541;147.174286;10.0)","0.301016"
34,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:10.241","2025-2-21 10:10:10.747","(-2087.529541;147.174286;10.0)","(-2095.165527;175.871841;10.0)","0.296961"
35,"FDI_AJ","","T1_BasicMechanics","real_life","2025-2-21 10:10:10.764","2025-2-21 10:10:11.252","(-2095.165527;175.871841;10.0)","(-2103.470215;199.487808;10.0)","0.250336"
