id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AJ","","T2_BasicEmergency","[0.190051;0.180642;0.181215;0.18208;0.182661;0.182785;0.182376;0.182153;0.182189;0.18222;]","[0.0;0.000042;0.000088;0.000115;0.000144;0.000173;0.000202;0.00023;0.000257;0.000284;]","[(-3040.0;12260.0);(-3145.009766;12154.726562);(-3138.898926;12148.132812);(-3129.474365;12145.679688);(-3122.888184;12153.631836);(-3121.248047;12162.849609);(-3125.72998;12161.862305);(-3128.126221;12163.265625);(-3127.699951;12164.265625);(-3127.35376;12164.400391);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AJ","","T2_BasicEmergency","[0.182231;0.182245;0.182193;0.18204;0.182003;0.182113;0.182152;0.182127;0.182428;0.182233;]","[0.000312;0.00034;0.000368;0.000398;0.000427;0.000455;0.000483;0.000511;0.00054;0.000568;]","[(-3127.242432;12164.225586);(-3127.132812;12162.916992);(-3127.743652;12161.385742);(-3129.42334;12161.341797);(-3129.803711;12161.992188);(-3128.582275;12162.679688);(-3128.16626;12162.244141);(-3128.485107;12161.012695);(-3124.976074;12167.317383);(-3127.057861;12168.734375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AJ","","T2_BasicEmergency","[0.181776;0.181878;0.181808;0.181349;0.181253;0.181311;0.181254;0.181261;0.181299;0.181379;]","[0.000596;0.000624;0.000652;0.00068;0.000708;0.000735;0.000763;0.000792;0.00082;0.000847;]","[(-3132.286865;12162.191406);(-3131.288818;12158.652344);(-3132.063232;12158.228516);(-3136.883789;12164.917969);(-3137.787598;12169.551758);(-3137.129639;12169.863281);(-3137.740723;12170.398438);(-3137.666748;12170.487305);(-3137.196289;12171.69043);(-3136.30835;12172.101562);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AJ","","T2_BasicEmergency","[0.181452;0.181468;0.181411;0.18133;0.181334;0.181313;0.181377;0.181618;0.181516;0.181552;]","[0.000875;0.000904;0.000932;0.00096;0.000988;0.001016;0.001045;0.001073;0.001101;0.001129;]","[(-3135.52124;12171.678711);(-3135.419434;12169.385742);(-3136.001953;12170.823242);(-3136.895752;12170.685547);(-3136.866699;12170.40625);(-3137.093506;12170.335938);(-3136.384766;12170.431641);(-3133.727539;12170.861328);(-3134.836914;12171.038086);(-3134.423828;12171.65918);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AJ","","T2_BasicEmergency","[0.181477;0.18143;0.181371;0.18143;0.181505;0.181595;0.181578;0.181543;0.181487;0.181406;]","[0.001157;0.001186;0.001214;0.001241;0.001269;0.001297;0.001325;0.001352;0.00138;0.001408;]","[(-3135.316895;12169.560547);(-3135.819092;12169.931641);(-3136.487793;12169.301758);(-3135.845947;12169.144531);(-3135.00708;12169.671875);(-3134.002197;12170.177734);(-3134.18042;12170.269531);(-3134.565918;12170.290039);(-3135.175293;12170.401367);(-3136.075195;12170.314453);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AJ","","T2_BasicEmergency","[0.181378;0.181327;0.181344;0.18131;0.181331;0.181304;0.18127;0.181267;0.181265;0.890243;]","[0.001436;0.001463;0.001492;0.001519;0.001548;0.001575;0.001603;0.001632;0.00166;0.001792;]","[(-3136.378418;12170.517578);(-3136.932129;12170.664062);(-3136.740479;12170.589844);(-3137.121582;12170.442383);(-3136.895508;12170.504883);(-3137.191162;12170.263672);(-3137.564941;12170.370117);(-3137.581055;12170.96875);(-3137.602051;12170.916016);(-949.453064;12089.915039);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AJ","","T2_BasicEmergency","[0.890432;0.892807;0.892788;0.891106;0.888476;0.89012;0.888631;0.888058;0.885839;0.882065;]","[0.001931;0.002071;0.00221;0.002346;0.002488;0.002624;0.002758;0.002892;0.003032;0.003175;]","[(-949.268616;12089.694336);(-947.064941;12083.550781);(-947.076416;12083.804688);(-948.711609;12085.836914);(-951.473267;12082.557617);(-949.759766;12084.155273);(-951.387695;12080.012695);(-951.985352;12079.44043);(-954.259521;12078.821289);(-958.025269;12082.152344);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AJ","","T2_BasicEmergency","[0.884319;0.895491;0.890958;0.890911;0.89056;0.89128;0.892199;0.892834;0.892528;0.892349;]","[0.003311;0.003449;0.003586;0.003725;0.003863;0.004004;0.004148;0.004292;0.004435;0.004578;]","[(-955.700195;12082.733398);(-944.409912;12082.09668);(-948.92981;12083.571289);(-948.968994;12083.844727);(-949.301147;12084.592773);(-948.552124;12085.287109);(-947.60791;12085.827148);(-946.964233;12085.960938);(-947.264404;12086.231445);(-947.426514;12086.789062);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AJ","","T2_BasicEmergency","[0.89291;0.892463;0.892477;0.892623;0.892176;0.893834;0.892218;0.892402;0.890029;0.890597;]","[0.004713;0.00485;0.004994;0.005136;0.005277;0.005415;0.00555;0.005685;0.005826;0.005969;]","[(-946.85791;12086.905273);(-947.309448;12086.861328);(-947.299072;12086.748047);(-947.153076;12086.72168);(-947.624207;12086.058594);(-945.938965;12086.56543);(-947.670166;12083.15332);(-947.428162;12085.049805);(-949.900146;12082.511719);(-949.262939;12084.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AJ","","T2_BasicEmergency","[0.892017;0.892401;0.893789;0.889117;0.883011;0.87684;0.880111;0.879919;0.879016;0.879361;]","[0.006112;0.006251;0.006393;0.006534;0.006666;0.006797;0.006933;0.007066;0.007205;0.007342;]","[(-947.75647;12086.966797);(-947.406433;12085.786133);(-945.926147;12088.375977);(-950.215881;12100.345703);(-956.827942;12089.506836);(-963.493164;12079.123047);(-959.997437;12083.362305);(-960.159546;12084.561523);(-961.1828;12081.385742);(-960.874451;12079.676758);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
