id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AK","","T2_BasicEmergency","[0.190051;0.201261;0.201255;0.201833;0.20263;0.203144;0.202651;0.20206;0.201623;0.201241;]","[0.0;0.000029;0.00006;0.000091;0.000123;0.000156;0.000187;0.000219;0.000251;0.000282;]","[(-3040.0;12260.0);(-2932.960205;12197.943359);(-2933.053955;12197.100586);(-2927.73584;12194.582031);(-2920.665283;12185.517578);(-2915.874756;12185.755859);(-2920.172363;12192.556641);(-2925.496582;12197.160156);(-2929.509277;12198.898438);(-2932.837891;12204.887695);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AK","","T2_BasicEmergency","[0.20186;0.201351;0.200688;0.199726;0.201204;0.202249;0.202194;0.20127;0.202628;0.202674;]","[0.000312;0.000342;0.000372;0.000403;0.000432;0.000464;0.000495;0.000528;0.00056;0.000591;]","[(-2927.212646;12200.5625);(-2931.611572;12208.97168);(-2937.727051;12211.814453);(-2946.577393;12217.581055);(-2932.715088;12214.678711);(-2922.586914;12221.185547);(-2921.870117;12244.027344);(-2930.439697;12245.969727);(-2917.953125;12241.583984);(-2917.515137;12241.854492);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AK","","T2_BasicEmergency","[0.202333;0.202258;0.202206;0.202249;0.202281;0.202135;0.201986;0.201817;0.201666;0.201702;]","[0.000623;0.000654;0.000687;0.000717;0.000749;0.000779;0.000812;0.000842;0.000873;0.000905;]","[(-2920.734375;12241.131836);(-2921.915771;12232.387695);(-2922.034912;12239.092773);(-2921.37793;12243.680664);(-2921.187256;12241.783203);(-2922.697266;12239.083984);(-2924.148926;12238.078125);(-2925.721436;12238.414062);(-2927.113525;12238.871094);(-2926.73999;12239.456055);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AK","","T2_BasicEmergency","[0.201842;0.201844;0.20188;0.201935;0.201771;0.201565;0.201331;0.201594;0.201669;0.20167;]","[0.000936;0.000968;0.000999;0.00103;0.001062;0.001093;0.001124;0.001155;0.001188;0.001218;]","[(-2925.26416;12242.444336);(-2924.711914;12251.594727);(-2924.224854;12254.219727);(-2924.358643;12242.976562);(-2926.472656;12232.462891);(-2928.780273;12225.416016);(-2931.143555;12222.271484);(-2928.659668;12222.527344);(-2927.94165;12222.796875);(-2927.895996;12223.337891);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AK","","T2_BasicEmergency","[0.201753;0.201737;0.201678;0.201604;0.2015;0.201474;0.20152;0.201583;0.201577;0.201522;]","[0.00125;0.001282;0.001313;0.001344;0.001376;0.001408;0.00144;0.001471;0.001503;0.001535;]","[(-2927.158447;12222.550781);(-2927.349121;12221.797852);(-2927.779053;12224.277344);(-2928.532959;12223.097656);(-2929.491211;12223.432617);(-2929.719238;12223.782227);(-2929.359863;12222.379883);(-2928.750244;12222.729492);(-2928.778076;12223.173828);(-2929.261719;12223.927734);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AK","","T2_BasicEmergency","[0.201555;0.201491;0.201469;0.201521;0.201497;0.201504;0.201535;0.201564;0.201588;0.20167;]","[0.001566;0.001599;0.001631;0.001663;0.001696;0.001727;0.001758;0.00179;0.001821;0.001852;]","[(-2928.973389;12223.462891);(-2929.53125;12224.374023);(-2929.758057;12223.894531);(-2929.262695;12224.017578);(-2929.476807;12224.300781);(-2929.401123;12224.548828);(-2929.113525;12224.426758);(-2928.857422;12224.168945);(-2928.643799;12223.799805);(-2927.905762;12223.324219);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AK","","T2_BasicEmergency","[0.201763;0.201908;0.890316;0.894738;0.896034;0.89564;0.891517;0.889792;0.886948;0.884363;]","[0.001884;0.001915;0.001966;0.002107;0.002247;0.002386;0.002526;0.002662;0.002804;0.002943;]","[(-2927.01001;12223.680664);(-2925.586914;12224.989258);(-949.346741;12090.866211);(-944.495483;12101.536133);(-942.931396;12107.880859);(-943.569885;12102.048828);(-948.218201;12088.300781);(-950.086731;12084.307617);(-953.036316;12082.161133);(-955.699158;12081.210938);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AK","","T2_BasicEmergency","[0.882614;0.882552;0.881819;0.881241;0.88068;0.880349;0.879512;0.880376;0.887725;0.893135;]","[0.003082;0.003219;0.003361;0.003495;0.003633;0.003773;0.003931;0.004067;0.004209;0.004347;]","[(-957.455566;12082.391602);(-957.506714;12082.817383);(-958.247681;12083.168945);(-958.854065;12082.722656);(-959.421204;12083.064453);(-959.748718;12083.485352);(-960.608826;12083.568359);(-959.743835;12082.732422);(-951.992554;12090.313477);(-946.126831;12101.063477);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AK","","T2_BasicEmergency","[0.895259;0.893393;0.891768;0.890732;0.890967;0.882967;0.873936;0.877488;0.884713;0.894305;]","[0.004488;0.004626;0.004763;0.0049;0.005042;0.005182;0.005315;0.005454;0.005589;0.005728;]","[(-943.798889;12105.766602);(-945.906372;12100.070312);(-947.697083;12096.033203);(-948.730225;12096.40625);(-948.506531;12096.036133);(-956.872498;12089.533203);(-966.230652;12088.425781);(-962.76062;12081.368164);(-955.444702;12077.463867);(-945.459961;12086.71582);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AK","","T2_BasicEmergency","[0.893252;0.89025;0.891825;0.860854;0.855588;0.853969;0.854445;0.855611;0.856677;0.858985;]","[0.005869;0.006003;0.006139;0.006272;0.006401;0.006531;0.006662;0.006791;0.006925;0.007059;]","[(-946.524658;12086.539062);(-949.595337;12085.217773);(-948.014954;12084.883789);(-964.047607;12278.033203);(-970.040161;12275.719727);(-972.050293;12273.831055);(-970.661865;12280.25);(-968.739685;12284.991211);(-967.426147;12286.125977);(-964.909119;12286.295898);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
