id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_AL","","T1_BasicMechanics","00001","Completed","2025-2-21 12:4:19.945"
1,"FDI_AL","","T1_BasicMechanics","T1001","Started","2025-2-21 12:4:55.276"
2,"FDI_AL","","T1_BasicMechanics","T1001","Completed","2025-2-21 12:15:6.837"
3,"FDI_AL","","T1_BasicMechanics","T1002","Started","2025-2-21 12:15:6.878"
4,"FDI_AL","","T1_BasicMechanics","T1002","Completed","2025-2-21 12:24:26.659"
5,"FDI_AL","","T1_BasicMechanics","T1003","Started","2025-2-21 12:24:26.703"
6,"FDI_AL","","T1_BasicMechanics","T1003","Completed","2025-2-21 12:27:1.679"
7,"FDI_AL","","T1_BasicMechanics","T1004","Started","2025-2-21 12:27:1.724"
8,"FDI_AL","","T1_BasicMechanics","T1004","Completed","2025-2-21 12:32:0.460"
9,"FDI_AL","","T1_BasicMechanics","T1005","Started","2025-2-21 12:32:0.506"
10,"FDI_AL","","T1_BasicMechanics","T1005","Completed","2025-2-21 12:33:20.274"
11,"FDI_AL","","T1_BasicMechanics","00002","Completed","2025-2-21 12:33:50.816"
