id,user_id,experiment_id,scenario_type,tutorial_item_id,event_type,event_datetime
0,"FDI_AL","","T1_BasicMechanics","MOV_VirtualWorld","started","2025-2-21 12:5:5.33"
1,"FDI_AL","","T1_BasicMechanics","MOV_VirtualWorld","completed","2025-2-21 12:15:6.857"
2,"FDI_AL","","T1_BasicMechanics","OI_Detection","started","2025-2-21 12:16:24.813"
3,"FDI_AL","","T1_BasicMechanics","OI_Detection","completed","2025-2-21 12:24:26.681"
4,"FDI_AL","","T1_BasicMechanics","OI_GrabRelease","started","2025-2-21 12:25:17.919"
5,"FDI_AL","","T1_BasicMechanics","OI_GrabRelease","completed","2025-2-21 12:27:1.702"
6,"FDI_AL","","T1_BasicMechanics","OI_Placement","started","2025-2-21 12:27:20.523"
7,"FDI_AL","","T1_BasicMechanics","OI_Placement","completed","2025-2-21 12:32:0.482"
8,"FDI_AL","","T1_BasicMechanics","CI_Conversation","started","2025-2-21 12:32:28.4"
9,"FDI_AL","","T1_BasicMechanics","CI_Conversation","completed","2025-2-21 12:33:20.296"
