id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_AL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(35.614174;3.573807;11.740082)","(-155.20192;-7.077482;-96.182579)","2025-2-21 12:3:59.130"
1,"FDI_AL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(34.828117;3.584564;10.703506)","(-145.4198;9.023908;-91.052193)","2025-2-21 12:3:59.250"
2,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(42.679558;7.865864;36.988876)","(-172.353287;61.471649;-113.979233)","2025-2-21 12:4:0.625"
3,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(42.775036;6.058701;36.985764)","(179.956863;69.976418;-124.098724)","2025-2-21 12:4:0.887"
4,"FDI_AL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(40.455093;5.374512;36.905869)","(-163.854721;74.065613;-112.697548)","2025-2-21 12:4:1.35"
5,"FDI_AL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(35.610752;3.593266;33.157867)","(-110.823494;78.119049;-78.039948)","2025-2-21 12:4:1.796"
6,"FDI_AL","","T1_BasicMechanics","IA_Grab_Left","started","Left","(23.633133;111.788376;34.778076)","(32.401138;-62.31604;28.014164)","2025-2-21 12:4:6.653"
7,"FDI_AL","","T1_BasicMechanics","IA_Grab_Left","completed","Left","(23.951889;112.678879;33.472717)","(42.278393;-39.669987;25.267632)","2025-2-21 12:4:6.706"
8,"FDI_AL","","T1_BasicMechanics","IA_Grab_Left","started","Left","(30.573734;28.755085;31.191818)","(17.502691;30.848238;1.904986)","2025-2-21 12:4:8.336"
9,"FDI_AL","","T1_BasicMechanics","IA_Grab_Left","completed","Left","(30.533318;30.468187;29.428726)","(24.426746;45.029945;8.260209)","2025-2-21 12:4:8.734"
10,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(25.111275;18.2159;33.968323)","(-48.439812;75.219452;-69.692833)","2025-2-21 12:5:4.637"
11,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(25.025379;18.226624;34.19931)","(-49.00613;76.760979;-69.385529)","2025-2-21 12:5:5.12"
12,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(23.386478;16.706562;33.088791)","(-51.783581;77.235855;-71.254486)","2025-2-21 12:5:24.558"
13,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(23.765507;16.143066;33.056396)","(-52.725578;76.874283;-71.358284)","2025-2-21 12:5:24.798"
14,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(3.234047;26.706795;37.505005)","(-118.542252;75.825729;152.443619)","2025-2-21 12:5:34.771"
15,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(2.46571;26.81201;37.352478)","(-124.971489;76.299171;148.896927)","2025-2-21 12:5:35.368"
16,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(3.096718;26.154827;37.214172)","(-124.5233;75.281845;147.736313)","2025-2-21 12:5:36.19"
17,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(2.980396;26.087223;37.041458)","(-121.393867;75.210342;151.156921)","2025-2-21 12:5:36.334"
18,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(2.48568;26.298447;37.060196)","(-124.366035;74.415092;147.174789)","2025-2-21 12:5:37.7"
19,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(2.289429;26.25293;36.972595)","(-117.412903;75.178337;155.992676)","2025-2-21 12:5:37.395"
20,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(23.956295;0.787292;28.075935)","(-62.218929;72.120834;-52.856815)","2025-2-21 12:5:39.813"
21,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(24.198471;0.710876;28.216858)","(-61.143135;72.823296;-54.124195)","2025-2-21 12:5:40.240"
22,"FDI_AL","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(24.192142;0.561798;28.661026)","(-64.391968;74.67009;-57.378395)","2025-2-21 12:5:40.818"
23,"FDI_AL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(24.147457;0.58242;28.591339)","(-67.048813;74.052696;-59.838116)","2025-2-21 12:5:40.844"
