id,user_id,experiment_id,scenario_type,actor_id,actor_name,place_point_name,activation_count,start_datetime,end_datetime
0,"FDI_AL","","S1_BasicMechanics","2","TrafficCone_3","BP_PlacePoint2","4","2025-2-21 12:36:26.898","2025-2-21 12:36:26.899"
1,"FDI_AL","","S1_BasicMechanics","2","TrafficCone_4","BP_PlacePoint4","6","2025-2-21 12:36:47.194","2025-2-21 12:36:47.194"
2,"FDI_AL","","S1_BasicMechanics","2","TrafficCone_1","BP_PlacePoint5","8","2025-2-21 12:37:6.856","2025-2-21 12:37:6.856"
3,"FDI_AL","","S1_BasicMechanics","2","TrafficCone_5","BP_PlacePoint3","12","2025-2-21 12:37:41.984","2025-2-21 12:37:41.985"
4,"FDI_AL","","S1_BasicMechanics","2","TrafficCone_7","BP_PlacePoint","14","2025-2-21 12:38:6.60","2025-2-21 12:38:6.61"
5,"FDI_AL","","S1_BasicMechanics","3","Dosimeter_SABG100_1","BP_PlacePoint6","4","2025-2-21 12:38:42.497","2025-2-21 12:38:42.497"
6,"FDI_AL","","S1_BasicMechanics","3","Dosimeter_SABG100_3","BP_PlacePoint8","6","2025-2-21 12:39:17.797","2025-2-21 12:39:17.797"
7,"FDI_AL","","S1_BasicMechanics","3","Dosimeter_SABG100_4","BP_PlacePoint7","8","2025-2-21 12:39:43.110","2025-2-21 12:39:43.111"
8,"FDI_AL","","S1_BasicMechanics","4","Dosimeter_EPD_2","BP_PlacePoint9","4","2025-2-21 12:40:2.326","2025-2-21 12:40:2.326"
9,"FDI_AL","","S1_BasicMechanics","4","Dosimeter_EPD_1","BP_PlacePoint10","6","2025-2-21 12:40:26.63","2025-2-21 12:40:26.64"
