id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_AL","","T2_BasicEmergency","[0.190051;0.201632;0.201436;0.201588;0.201439;0.199995;0.199722;0.199663;0.199617;0.199602;]","[0.0;0.00003;0.000061;0.000092;0.000123;0.000156;0.000186;0.000217;0.000247;0.00028;]","[(-3040.0;12260.0);(-2922.323975;12316.688477);(-2923.807861;12321.418945);(-2921.370117;12334.085938);(-2923.125488;12329.780273);(-2937.692627;12318.298828);(-2940.661621;12313.461914);(-2941.265625;12312.972656);(-2941.650879;12313.735352);(-2941.835938;12313.112305);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_AL","","T2_BasicEmergency","[0.199804;0.199866;0.199971;0.199946;0.199939;0.199938;0.199861;0.19979;0.199829;0.199904;]","[0.000312;0.000344;0.000375;0.000405;0.000436;0.000466;0.000497;0.000527;0.000557;0.000587;]","[(-2939.954834;12312.525391);(-2939.550781;12310.019531);(-2938.259033;12313.830078);(-2938.406494;12315.141602);(-2938.794434;12310.80957);(-2938.802979;12310.75);(-2939.608154;12309.775391);(-2940.256104;12310.287109);(-2939.829102;12311.035156);(-2939.021484;12312.183594);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_AL","","T2_BasicEmergency","[0.200011;0.200061;0.200042;0.199897;0.199942;0.200011;0.200069;0.200097;0.200123;0.200033;]","[0.000619;0.00065;0.000682;0.000714;0.000744;0.000774;0.000807;0.000839;0.000871;0.000902;]","[(-2937.967285;12312.698242);(-2937.47168;12312.918945);(-2937.637207;12313.196289);(-2939.249268;12310.092773);(-2938.790039;12310.450195);(-2938.152588;12310.171875);(-2937.587402;12310.325195);(-2937.364502;12309.788086);(-2937.028809;12311.022461);(-2937.794434;12312.25);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_AL","","T2_BasicEmergency","[0.199985;0.199976;0.200025;0.200046;0.200119;0.20025;0.200148;0.200005;0.200063;0.200122;]","[0.000933;0.000963;0.000994;0.001027;0.001057;0.001088;0.001118;0.001149;0.001181;0.001213;]","[(-2938.136475;12313.764648);(-2938.259277;12313.204102);(-2937.705078;12314.444336);(-2937.724854;12311.523438);(-2937.166504;12309.633789);(-2935.914062;12309.743164);(-2937.038086;12307.624023);(-2938.476074;12306.62793);(-2937.874268;12307.280273);(-2937.172607;12309.145508);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_AL","","T2_BasicEmergency","[0.200091;0.200029;0.199951;0.199972;0.200009;0.200122;0.200213;0.200203;0.200213;0.200217;]","[0.001245;0.001278;0.001309;0.001339;0.001369;0.001401;0.001433;0.001466;0.001497;0.001529;]","[(-2937.395508;12310.137695);(-2937.915771;12311.022461);(-2938.583252;12312.064453);(-2938.346924;12312.605469);(-2937.819824;12314.878906);(-2936.737061;12314.961914);(-2935.90625;12314.588867);(-2936.023682;12314.298828);(-2936.08374;12312.233398);(-2936.003174;12312.697266);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_AL","","T2_BasicEmergency","[0.889743;0.889773;0.889529;0.889895;0.886447;0.881921;0.879865;0.879681;0.878812;0.881215;]","[0.001585;0.001719;0.00186;0.001993;0.002128;0.002263;0.002404;0.002538;0.002674;0.002817;]","[(-949.954468;12090.027344);(-949.894714;12090.90918);(-950.092407;12092.370117);(-949.79425;12090.233398);(-953.36438;12088.124023);(-957.812439;12093.418945);(-960.198486;12085.094727);(-960.430725;12083.692383);(-961.376221;12081.972656);(-958.832642;12084.363281);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_AL","","T2_BasicEmergency","[0.881287;0.881817;0.881503;0.881424;0.88116;0.881175;0.88124;0.880594;0.880476;0.879247;]","[0.002953;0.003096;0.003235;0.003372;0.00351;0.003647;0.003783;0.003921;0.004063;0.004205;]","[(-958.768494;12084.037109);(-958.256226;12082.945312);(-958.574219;12083.112305);(-958.652161;12083.203125);(-958.922729;12083.245117);(-958.917236;12082.911133);(-958.857056;12082.661133);(-959.512329;12082.954102);(-959.63623;12082.875);(-960.908203;12082.668945);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_AL","","T2_BasicEmergency","[0.878945;0.879128;0.879074;0.878956;0.87957;0.879624;0.880675;0.88061;0.881058;0.881646;]","[0.004341;0.004479;0.004615;0.004753;0.004895;0.00503;0.005168;0.005305;0.005441;0.005577;]","[(-961.201355;12083.290039);(-961.059692;12081.667969);(-961.075256;12083.054688);(-961.191406;12083.238281);(-960.539307;12083.883789);(-960.518433;12082.699219);(-959.435059;12082.759766);(-959.476074;12083.639648);(-959.020996;12083.461914);(-958.416382;12083.478516);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_AL","","T2_BasicEmergency","[0.881738;0.882045;0.880047;0.880048;0.884622;0.886361;0.88884;0.8901;0.8917;0.886884;]","[0.005713;0.005845;0.005986;0.006128;0.006266;0.006408;0.006544;0.006685;0.006825;0.00696;]","[(-958.321533;12083.480469);(-958.15686;12078.130859);(-960.404175;12070.177734);(-960.189148;12078.869141);(-955.226074;12088.097656);(-953.374817;12090.480469);(-950.887939;12089.496094);(-949.622192;12089.155273);(-947.969116;12090.251953);(-952.830261;12090.831055);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_AL","","T2_BasicEmergency","[0.874658;0.871262;0.872759;0.883237;0.876632;0.886852;0.886568;0.868854;0.868021;0.867632;]","[0.007101;0.007234;0.007371;0.007502;0.007641;0.007775;0.007915;0.00805;0.008183;0.008317;]","[(-965.452209;12089.298828);(-969.236084;12081.202148);(-967.497559;12087.119141);(-956.82135;12082.25293);(-963.539185;12085.009766);(-953.169556;12080.923828);(-953.49353;12079.670898);(-971.662842;12084.489258);(-972.497742;12085.794922);(-972.906128;12085.81543);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
