id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BA","","T2_BasicEmergency","[0.190051;0.185491;0.185865;0.186871;0.188073;0.187885;0.188143;0.189158;0.189861;0.189891;]","[0.0;0.000043;0.00009;0.000118;0.000146;0.000175;0.000203;0.000232;0.000261;0.000291;]","[(-3040.0;12260.0);(-3084.226562;12312.667969);(-3080.625977;12307.417969);(-3070.075684;12306.083008);(-3057.408203;12306.897461);(-3059.43457;12306.029297);(-3056.20752;12313.394531);(-3046.455566;12302.202148);(-3039.483643;12298.185547);(-3039.588867;12292.044922);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BA","","T2_BasicEmergency","[0.191053;0.191478;0.191558;0.192048;0.192721;0.192544;0.192341;0.192342;0.19242;0.192459;]","[0.00032;0.000349;0.000378;0.000406;0.000435;0.000464;0.000493;0.000523;0.000553;0.000582;]","[(-3028.825439;12274.69043);(-3024.166992;12279.980469);(-3023.06543;12284.352539);(-3018.859375;12272.540039);(-3011.986084;12273.817383);(-3013.147949;12283.523438);(-3015.242432;12282.769531);(-3015.377197;12280.553711);(-3014.72168;12278.474609);(-3014.175781;12280.896484);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BA","","T2_BasicEmergency","[0.192397;0.19239;0.192456;0.192525;0.192501;0.192509;0.192633;0.192714;0.191867;0.191622;]","[0.000612;0.000641;0.000671;0.0007;0.00073;0.000759;0.000789;0.000818;0.000848;0.000877;]","[(-3014.873291;12279.833008);(-3014.92041;12280.209961);(-3014.306885;12279.306641);(-3013.826904;12275.90625);(-3013.939453;12278.052734);(-3013.786133;12279.150391);(-3012.728271;12276.141602);(-3011.933594;12275.743164);(-3020.784668;12271.039062);(-3023.441162;12268.181641);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BA","","T2_BasicEmergency","[0.192758;0.192897;0.192639;0.192561;0.192538;0.192568;0.192564;0.192488;0.192426;0.192481;]","[0.000906;0.000935;0.000964;0.000993;0.001023;0.001052;0.001081;0.001109;0.001138;0.001167;]","[(-3011.56958;12274.644531);(-3010.128418;12275.323242);(-3012.762939;12274.661133);(-3013.349121;12277.71875);(-3013.601562;12277.397461);(-3013.219971;12278.62207);(-3013.334473;12277.569336);(-3013.950928;12279.887695);(-3014.5271;12280.580078);(-3014.067627;12279.192383);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BA","","T2_BasicEmergency","[0.192949;0.193356;0.193497;0.193356;0.193153;0.193253;0.193217;0.192979;0.192577;0.192449;]","[0.001198;0.001226;0.001255;0.001285;0.001315;0.001344;0.001374;0.001405;0.001434;0.001464;]","[(-3009.927734;12270.098633);(-3006.536865;12258.817383);(-3004.569824;12267.974609);(-3004.98999;12283.512695);(-3007.242188;12280.233398);(-3007.161621;12265.595703);(-3007.281006;12269.456055);(-3009.419434;12273.398438);(-3013.428467;12274.06543);(-3014.80835;12272.577148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BA","","T2_BasicEmergency","[0.192589;0.192605;0.192693;0.889674;0.8894;0.886916;0.886195;0.881605;0.873751;0.870539;]","[0.001494;0.001524;0.001554;0.001601;0.001738;0.001878;0.002015;0.002154;0.002287;0.002422;]","[(-3013.329834;12273.713867);(-3013.086914;12274.94043);(-3012.25;12274.194336);(-950.024536;12090.050781);(-950.239868;12091.862305);(-952.691772;12093.899414);(-953.499207;12091.783203);(-958.171387;12092.448242);(-966.294983;12092.302734);(-969.746704;12089.287109);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BA","","T2_BasicEmergency","[0.866121;0.860554;0.866027;0.867287;0.867047;0.871733;0.879796;0.869349;0.857809;0.862736;]","[0.002551;0.002682;0.002817;0.002948;0.003079;0.003208;0.003342;0.00348;0.003612;0.003746;]","[(-974.506165;12085.503906);(-980.576477;12079.47168);(-974.757874;12080.228516);(-973.415649;12080.789062);(-973.697815;12079.735352);(-968.741211;12081.328125);(-960.321777;12083.355469);(-971.362305;12076.605469);(-983.832092;12065.381836);(-978.514587;12068.864258);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BA","","T2_BasicEmergency","[0.872547;0.874334;0.873386;0.872946;0.873845;0.873769;0.872894;0.872474;0.871939;0.871299;]","[0.003879;0.004013;0.004143;0.004276;0.004411;0.004545;0.004684;0.004817;0.004947;0.005082;]","[(-968.159363;12070.750977);(-966.316711;12069.96582);(-967.287476;12070.675781);(-967.737366;12071.03418);(-966.773865;12072.242188);(-966.85144;12072.323242);(-967.794617;12070.912109);(-968.226562;12071.166016);(-968.772034;12071.699219);(-969.421143;12072.546875);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BA","","T2_BasicEmergency","[0.871567;0.871436;0.870779;0.870058;0.870372;0.871193;0.871926;0.870772;0.871302;0.870322;]","[0.00522;0.005353;0.005486;0.005618;0.00575;0.005887;0.006018;0.006152;0.006284;0.006421;]","[(-969.143799;12072.441406);(-969.297668;12071.671875);(-969.992859;12071.308594);(-970.743591;12071.486328);(-970.412537;12071.554688);(-969.532715;12072.478516);(-968.763306;12072.688477);(-969.973145;12072.503906);(-969.414307;12072.685547);(-970.379639;12075.144531);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BA","","T2_BasicEmergency","[0.869975;0.869062;0.869182;0.870154;0.869788;0.869548;0.870171;0.870893;0.870968;0.870896;]","[0.00655;0.006678;0.006814;0.00695;0.007081;0.00721;0.007342;0.007473;0.007604;0.007734;]","[(-970.804626;12072.569336);(-971.727051;12074.032227);(-971.591309;12074.44043);(-970.601501;12073.25293);(-971.002197;12072.499023);(-971.277954;12071.469727);(-970.642822;12070.670898);(-969.882935;12070.878906);(-969.789612;12071.551758);(-969.85022;12072.193359);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
