id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BA","","S2_BasicEmergency","0","[0.000073;0.004183;0.004342;0.004403;0.004396;0.004434;0.004439;0.004428;0.004412;0.004385;]","[0.0;0.000001;0.000001;0.000002;0.000002;0.000003;0.000004;0.000004;0.000005;0.000006;]","[(0.0;0.0);(11637.742188;-17777.447266);(11673.774414;-17833.462891);(11678.945312;-17866.591797);(11664.615234;-17890.115234);(11670.489258;-17905.892578);(11671.255859;-17907.820312);(11669.660156;-17903.199219);(11665.617188;-17899.267578);(11652.205078;-17906.871094);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BA","","S2_BasicEmergency","0","[0.004379;0.004375;0.004373;0.004372;0.004382;0.004446;0.004474;0.004488;0.00451;0.004522;]","[0.000006;0.000007;0.000008;0.000008;0.000009;0.000009;0.00001;0.000011;0.000011;0.000012;]","[(11650.530273;-17903.591797);(11650.391602;-17901.365234);(11650.731445;-17899.306641);(11651.014648;-17898.201172);(11661.397461;-17886.767578);(11680.523438;-17901.414062);(11687.742188;-17902.347656);(11691.455078;-17907.431641);(11693.850586;-17921.515625);(11694.28125;-17929.916016);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BA","","S2_BasicEmergency","0","[0.004549;0.004556;0.004563;0.004563;0.004562;0.004559;0.004548;0.004538;0.004526;0.004532;]","[0.000013;0.000013;0.000014;0.000015;0.000015;0.000016;0.000017;0.000017;0.000018;0.000019;]","[(11702.981445;-17929.853516);(11702.920898;-17935.628906);(11704.09375;-17939.361328);(11702.943359;-17940.912109);(11702.933594;-17939.271484);(11701.65625;-17939.818359);(11697.305664;-17939.984375);(11694.78418;-17938.548828);(11691.499023;-17937.042969);(11693.095703;-17936.363281);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BA","","S2_BasicEmergency","0","[0.004521;0.004519;0.00452;0.00452;0.004521;0.004523;0.004525;0.004539;0.004545;0.004547;]","[0.000019;0.00002;0.000021;0.000021;0.000022;0.000023;0.000023;0.000024;0.000025;0.000025;]","[(11688.758789;-17938.480469);(11687.959961;-17938.634766);(11688.324219;-17938.546875);(11688.458008;-17938.082031);(11688.874023;-17937.974609);(11689.500977;-17938.40625);(11690.181641;-17938.558594);(11697.793945;-17933.765625);(11700.65625;-17933.132812);(11702.154297;-17930.486328);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BA","","S2_BasicEmergency","0","[0.004537;0.004525;0.004523;0.004519;0.004526;0.004523;0.004519;0.004522;0.004521;0.004523;]","[0.000026;0.000027;0.000027;0.000028;0.000029;0.000029;0.00003;0.000031;0.000031;0.000032;]","[(11700.299805;-17926.816406);(11691.317383;-17935.533203);(11690.666992;-17935.75);(11688.288086;-17936.644531);(11691.651367;-17935.472656);(11690.74707;-17935.916016);(11689.254883;-17936.132812);(11690.356445;-17935.568359);(11689.174805;-17936.769531);(11691.936523;-17935.595703);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BA","","S2_BasicEmergency","0","[0.004523;0.004521;0.004522;0.004523;0.004522;0.004528;0.004539;0.00454;0.004548;0.004552;]","[0.000033;0.000033;0.000034;0.000035;0.000035;0.000036;0.000037;0.000037;0.000038;0.000039;]","[(11689.013672;-17939.287109);(11688.188477;-17939.171875);(11688.963867;-17938.949219);(11689.097656;-17938.984375);(11690.589844;-17934.884766);(11695.265625;-17929.304688);(11700.337891;-17927.638672);(11697.170898;-17935.724609);(11695.371094;-17946.201172);(11697.164062;-17944.5);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BA","","S2_BasicEmergency","0","[0.004555;0.004553;0.004556;0.004546;0.004541;0.004534;0.004535;0.004539;0.004541;0.00456;]","[0.000039;0.00004;0.000041;0.000041;0.000042;0.000043;0.000043;0.000044;0.000045;0.000045;]","[(11700.896484;-17938.908203);(11701.791016;-17935.970703);(11702.260742;-17936.160156);(11698.84375;-17935.875);(11696.850586;-17936.308594);(11695.195312;-17935.576172);(11695.469727;-17935.609375);(11696.587891;-17936.113281);(11697.542969;-17935.251953);(11706.087891;-17933.425781);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BA","","S2_BasicEmergency","0","[0.00457;0.005855;0.005863;0.005868;0.008937;0.00893;0.008937;0.013349;0.013315;0.01331;]","[0.000046;0.000047;0.000048;0.000048;0.00005;0.000051;0.000052;0.000053;0.000056;0.000058;]","[(11709.672852;-17933.300781);(12003.477539;-18138.240234);(12006.378906;-18137.195312);(12007.09082;-18138.621094);(12518.174805;-18253.003906);(12517.789062;-18252.033203);(12517.640625;-18254.542969);(12840.693359;-18490.021484);(12840.419922;-18485.789062);(12842.547852;-18481.119141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BA","","S2_BasicEmergency","0","[0.013442;0.026757;0.026196;0.026051;0.025971;0.068077;0.068055;0.068933;0.069543;0.0694;]","[0.00006;0.000061;0.000066;0.00007;0.000074;0.00008;0.00009;0.0001;0.000111;0.000121;]","[(12850.119141;-18485.634766);(13340.299805;-18663.990234);(13325.494141;-18659.064453);(13327.125977;-18650.154297);(13321.636719;-18656.0);(13807.102539;-18801.839844);(13806.871094;-18802.052734);(13810.537109;-18809.355469);(13808.861328;-18816.033203);(13807.225586;-18815.964844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BA","","S2_BasicEmergency","0","[0.069279;0.069275;0.068787;0.068546;0.068677;0.068519;0.068536;0.069116;0.07081;0.070262;]","[0.000131;0.000141;0.000151;0.000161;0.000171;0.000181;0.000191;0.000201;0.000211;0.000221;]","[(13806.318359;-18816.402344);(13806.275391;-18816.341797);(13809.47168;-18805.878906);(13805.636719;-18808.402344);(13805.303711;-18810.384766);(13803.256836;-18811.617188);(13804.213867;-18811.847656);(13804.435547;-18816.414062);(13812.133789;-18821.289062);(13810.591797;-18818.128906);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
