id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BB","","T2_BasicEmergency","[0.190051;0.187913;0.188056;0.187364;0.186913;0.186606;0.186495;0.187185;0.187961;0.188546;]","[0.0;0.000027;0.000056;0.000084;0.000112;0.000138;0.000166;0.000195;0.000223;0.000252;]","[(-3040.0;12260.0);(-3060.167969;12292.037109);(-3058.766113;12290.145508);(-3067.325195;12269.958008);(-3073.207275;12250.536133);(-3076.57666;12248.130859);(-3077.334717;12255.392578);(-3069.421631;12266.395508);(-3060.852295;12273.499023);(-3054.473633;12277.986328);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BB","","T2_BasicEmergency","[0.188218;0.187763;0.187721;0.187585;0.187511;0.187512;0.187622;0.187719;0.187379;0.187937;]","[0.000281;0.000309;0.000337;0.000365;0.000393;0.000422;0.00045;0.000477;0.000505;0.000532;]","[(-3058.403076;12269.728516);(-3063.571533;12262.897461);(-3064.03125;12262.509766);(-3065.405762;12263.302734);(-3066.229004;12262.568359);(-3066.203125;12262.750977);(-3065.093506;12262.067383);(-3063.849609;12265.956055);(-3067.054199;12271.84082);(-3061.780273;12262.436523);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BB","","T2_BasicEmergency","[0.187827;0.187751;0.187792;0.187835;0.187905;0.187948;0.18762;0.186822;0.186603;0.187577;]","[0.000561;0.000588;0.000616;0.000644;0.000673;0.000701;0.00073;0.000759;0.000786;0.000814;]","[(-3062.899414;12262.987305);(-3063.680908;12263.241211);(-3063.238525;12263.443359);(-3062.777344;12263.524414);(-3061.989502;12264.485352);(-3061.515625;12264.9375);(-3065.315918;12258.661133);(-3073.322021;12265.076172);(-3075.313477;12270.270508);(-3065.53418;12262.608398);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BB","","T2_BasicEmergency","[0.188704;0.188675;0.188915;0.189309;0.189845;0.1905;0.190762;0.190714;0.190633;0.190677;]","[0.000841;0.00087;0.000898;0.000927;0.000955;0.000985;0.001014;0.001042;0.001071;0.0011;]","[(-3053.38208;12269.191406);(-3053.643066;12269.835938);(-3050.370117;12282.332031);(-3046.045166;12286.098633);(-3041.080078;12277.449219);(-3035.064209;12266.101562);(-3032.428711;12265.348633);(-3032.846924;12266.567383);(-3033.711426;12265.884766);(-3033.273438;12265.810547);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BB","","T2_BasicEmergency","[0.19077;0.190848;0.190698;0.190678;0.190564;0.190522;0.190366;0.190466;0.190847;0.190754;]","[0.001129;0.001157;0.001186;0.001214;0.001243;0.001272;0.001301;0.001329;0.001358;0.001387;]","[(-3032.299316;12266.095703);(-3031.478271;12266.537109);(-3032.983398;12266.954102);(-3033.170898;12267.308594);(-3034.276611;12268.147461);(-3034.729004;12267.854492);(-3036.43457;12266.020508);(-3035.683594;12261.515625);(-3031.350586;12268.769531);(-3032.30835;12268.677734);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BB","","T2_BasicEmergency","[0.190655;0.190694;0.190669;0.190702;0.190846;0.190904;0.190971;0.190971;0.191216;0.191452;]","[0.001416;0.001445;0.001473;0.001503;0.001533;0.001561;0.001589;0.001619;0.001649;0.001677;]","[(-3033.366455;12267.852539);(-3032.963379;12267.994141);(-3033.229492;12267.772461);(-3033.033447;12265.499023);(-3031.442871;12267.46582);(-3030.787109;12268.547852);(-3030.030518;12269.740234);(-3029.975098;12270.513672);(-3027.595215;12268.707031);(-3025.292236;12267.045898);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BB","","T2_BasicEmergency","[0.191566;0.19164;0.191649;0.191532;0.191151;0.191051;0.190942;0.190941;0.190925;0.19086;]","[0.001705;0.001735;0.001764;0.001793;0.001822;0.001851;0.001881;0.001911;0.001941;0.00197;]","[(-3024.033447;12268.791992);(-3023.236328;12269.523438);(-3023.168457;12269.166016);(-3024.53833;12266.109375);(-3028.247559;12268.832031);(-3029.302979;12268.206055);(-3030.325928;12269.638672);(-3030.290039;12270.382812);(-3030.54541;12268.935547);(-3031.192627;12269.110352);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BB","","T2_BasicEmergency","[0.190813;0.190757;0.190868;0.191002;0.191123;0.191196;0.191457;0.191564;0.191533;0.191413;]","[0.002;0.002028;0.002058;0.002087;0.002116;0.002145;0.002175;0.002204;0.002233;0.002262;]","[(-3031.667236;12269.263672);(-3032.137207;12270.933594);(-3030.715088;12275.603516);(-3028.654541;12286.274414);(-3027.327881;12287.693359);(-3026.970703;12281.84375);(-3024.833252;12273.74707);(-3023.912842;12271.112305);(-3024.256836;12270.639648);(-3025.504395;12270.160156);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BB","","T2_BasicEmergency","[0.191381;0.191355;0.19131;0.191312;0.191348;0.191382;0.191428;0.19142;0.191423;0.191439;]","[0.002291;0.002319;0.002348;0.002376;0.002406;0.002434;0.002464;0.002494;0.002523;0.002552;]","[(-3025.791748;12270.643555);(-3026.063232;12270.59375);(-3026.499023;12270.986328);(-3026.436279;12271.576172);(-3026.070312;12271.571289);(-3025.717285;12271.669922);(-3025.227539;12272.09082);(-3025.325439;12271.78125);(-3025.295166;12271.768555);(-3025.113525;12272.070312);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BB","","T2_BasicEmergency","[0.191496;0.19154;0.191544;0.191503;0.191468;0.191411;0.889639;0.888704;0.888497;0.88928;]","[0.002582;0.002611;0.00264;0.002669;0.002697;0.002726;0.002823;0.002958;0.003095;0.003228;]","[(-3024.449219;12273.492188);(-3024.033691;12272.970703);(-3023.998047;12272.836914);(-3024.405762;12273.086914);(-3024.731689;12273.578125);(-3025.310791;12273.570312);(-950.110901;12090.198242);(-951.006592;12091.756836);(-951.165344;12093.230469);(-950.450195;12090.919922);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
