id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_BC","","T1_BasicMechanics","00001","Completed","2025-2-18 12:5:30.776"
1,"FDI_BC","","T1_BasicMechanics","T1001","Started","2025-2-18 12:6:6.164"
2,"FDI_BC","","T1_BasicMechanics","T1001","Completed","2025-2-18 12:14:41.906"
3,"FDI_BC","","T1_BasicMechanics","T1002","Started","2025-2-18 12:14:41.941"
4,"FDI_BC","","T1_BasicMechanics","T1002","Completed","2025-2-18 12:23:31.518"
5,"FDI_BC","","T1_BasicMechanics","T1003","Started","2025-2-18 12:23:31.555"
6,"FDI_BC","","T1_BasicMechanics","T1003","Completed","2025-2-18 12:26:14.232"
7,"FDI_BC","","T1_BasicMechanics","T1004","Started","2025-2-18 12:26:14.269"
8,"FDI_BC","","T1_BasicMechanics","T1004","Completed","2025-2-18 12:29:54.416"
9,"FDI_BC","","T1_BasicMechanics","T1005","Started","2025-2-18 12:29:54.445"
10,"FDI_BC","","T1_BasicMechanics","T1005","Completed","2025-2-18 12:32:41.459"
11,"FDI_BC","","T1_BasicMechanics","00001","Completed","2025-2-18 12:32:53.559"
12,"FDI_BC","","T1_BasicMechanics","00002","Completed","2025-2-18 12:33:16.274"
