id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BC","","T2_BasicEmergency","[0.190051;0.191104;0.191203;0.191161;0.191141;0.19154;0.191734;0.192042;0.191808;0.191565;]","[0.0;0.000044;0.000095;0.000134;0.000172;0.000203;0.000232;0.000261;0.000292;0.000321;]","[(-3040.0;12260.0);(-3030.281982;12241.250977);(-3029.388916;12240.214844);(-3029.848877;12239.668945);(-3029.838135;12243.398438);(-3026.045166;12238.40918);(-3024.185059;12236.522461);(-3021.085693;12236.175781);(-3023.531982;12234.682617);(-3026.04126;12233.874023);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BC","","T2_BasicEmergency","[0.191624;0.191448;0.190948;0.191228;0.191449;0.191017;0.191166;0.191668;0.19206;0.19246;]","[0.00035;0.000379;0.000408;0.000437;0.000467;0.000495;0.000524;0.000554;0.000584;0.000612;]","[(-3025.440186;12233.800781);(-3027.163574;12235.097656);(-3031.657715;12245.913086);(-3028.410156;12252.944336);(-3026.221924;12251.973633);(-3030.760254;12249.348633);(-3030.158936;12232.584961);(-3024.795166;12237.651367);(-3020.625244;12241.304688);(-3016.724609;12238.90332);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BC","","T2_BasicEmergency","[0.192594;0.192283;0.19218;0.192295;0.192505;0.192634;0.192645;0.192586;0.192569;0.192557;]","[0.00064;0.000671;0.0007;0.000731;0.00076;0.00079;0.000818;0.000848;0.000879;0.000909;]","[(-3015.694092;12232.802734);(-3018.432861;12240.1875);(-3019.445557;12240.766602);(-3018.313965;12240.207031);(-3016.159668;12240.811523);(-3014.800781;12241.945312);(-3014.683838;12242.197266);(-3015.299316;12241.668945);(-3015.584961;12239.55957);(-3015.67749;12240.220703);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BC","","T2_BasicEmergency","[0.192546;0.192476;0.192465;0.192503;0.192599;0.192676;0.192682;0.192613;0.192644;0.192689;]","[0.00095;0.000991;0.00102;0.00105;0.001078;0.001107;0.001137;0.001165;0.001194;0.001223;]","[(-3015.742188;12240.912109);(-3016.440674;12241.052734);(-3016.574707;12240.675781);(-3016.116455;12242.047852);(-3015.137695;12242.303711);(-3014.37085;12242.040039);(-3014.39917;12240.466797);(-3015.028564;12241.761719);(-3014.728271;12241.432617);(-3014.364014;12239.936523);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BC","","T2_BasicEmergency","[0.192739;0.192751;0.192733;0.192699;0.192669;0.192638;0.192615;0.192631;0.192628;0.19264;]","[0.001254;0.001285;0.001315;0.001345;0.001375;0.001406;0.001435;0.001465;0.001494;0.001524;]","[(-3013.817871;12240.731445);(-3013.672119;12241.03125);(-3013.822998;12241.629883);(-3014.1604;12241.755859);(-3014.458984;12241.733398);(-3014.776367;12241.694336);(-3015.004639;12241.674805);(-3014.842041;12241.814453);(-3014.880615;12241.724609);(-3014.779785;12241.358398);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BC","","T2_BasicEmergency","[0.19264;0.192699;0.192684;0.192696;0.192667;0.88975;0.888947;0.888124;0.888484;0.885993;]","[0.001555;0.001585;0.001615;0.001645;0.001674;0.001732;0.001868;0.002001;0.002143;0.002278;]","[(-3014.849365;12240.042969);(-3014.237061;12240.433594);(-3014.343018;12241.236328);(-3014.205566;12241.483398);(-3014.496094;12241.410156);(-950.005127;12090.049805);(-950.816895;12090.110352);(-951.601318;12091.606445);(-951.346375;12088.289062);(-954.18927;12077.737305);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BC","","T2_BasicEmergency","[0.883218;0.883106;0.883946;0.893854;0.888662;0.88872;0.889843;0.889895;0.889521;0.889333;]","[0.002416;0.00256;0.002699;0.002906;0.003052;0.003196;0.003335;0.003472;0.003608;0.003747;]","[(-957.04718;12076.818359);(-957.219177;12074.583008);(-956.403992;12072.71582);(-945.907043;12088.714844);(-951.071838;12091.119141);(-950.860718;12095.455078);(-949.687012;12096.419922);(-949.641357;12096.224609);(-950.022583;12096.15332);(-950.212097;12096.197266);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BC","","T2_BasicEmergency","[0.888712;0.888587;0.888364;0.888305;0.888742;0.889109;0.88892;0.88959;0.89267;0.887095;]","[0.003889;0.004025;0.004162;0.004295;0.004444;0.004642;0.004787;0.004926;0.005071;0.00522;]","[(-950.824768;12096.658203);(-950.93866;12097.010742);(-951.175964;12096.698242);(-951.24939;12096.339844);(-950.815369;12096.071289);(-950.45105;12095.869141);(-950.644653;12095.802734);(-949.957581;12096.019531);(-946.769897;12098.058594);(-952.56958;12093.819336);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BC","","T2_BasicEmergency","[0.892719;0.895218;0.895696;0.895347;0.888528;0.88918;0.88749;0.884473;0.879313;0.88031;]","[0.005369;0.005506;0.005648;0.005792;0.005926;0.006061;0.006198;0.006334;0.00647;0.006613;]","[(-946.786804;12096.289062);(-944.120361;12100.298828);(-943.661743;12099.774414);(-944.070251;12098.261719);(-951.145996;12092.925781);(-950.49115;12092.723633);(-952.235596;12091.899414);(-955.348572;12090.782227);(-960.689453;12089.390625);(-959.651855;12089.713867);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BC","","T2_BasicEmergency","[0.880315;0.875349;0.875675;0.87498;0.875482;0.876574;0.877424;0.876993;0.875724;0.880305;]","[0.00676;0.006925;0.007094;0.007227;0.007362;0.007493;0.007624;0.007771;0.007904;0.008033;]","[(-959.68457;12088.563477);(-964.871216;12086.845703);(-964.494385;12088.041016);(-965.200134;12088.535156);(-964.732178;12086.875);(-963.636353;12085.705078);(-962.766541;12085.37793);(-963.22229;12085.055664);(-964.539246;12084.969727);(-959.742065;12087.092773);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_BC","","T2_BasicEmergency","[0.877101;0.873684;0.872274;0.870738;0.870021;0.870135;0.870094;0.869898;0.870233;0.869964;]","[0.008177;0.008315;0.00845;0.00858;0.008718;0.008849;0.008985;0.00912;0.009255;0.009406;]","[(-962.807129;12094.27832);(-966.546875;12088.552734);(-968.096619;12085.984375);(-969.732178;12084.961914);(-970.486084;12084.836914);(-970.394409;12083.930664);(-970.44989;12083.514648);(-970.644653;12083.863281);(-970.278931;12084.344727);(-970.597168;12083.124023);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_BC","","T2_BasicEmergency","[0.865898;0.867015;0.867443;0.869514;0.870661;0.870832;0.870332;0.869971;0.870284;0.870375;]","[0.009552;0.009735;0.00987;0.01001;0.010143;0.010273;0.010414;0.010553;0.010693;0.010828;]","[(-974.973816;12079.425781);(-973.795898;12079.487305);(-973.346619;12079.453125);(-971.135559;12080.775391);(-969.901733;12081.931641);(-969.717529;12082.121094);(-970.228271;12082.549805);(-970.606689;12082.530273);(-970.272156;12082.770508);(-970.187317;12082.418945);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_BC","","T2_BasicEmergency","[0.870263;0.870543;0.869917;0.869035;0.868303;0.868587;0.870156;0.871131;0.871331;0.871227;]","[0.010967;0.011104;0.011241;0.011374;0.011512;0.01165;0.011783;0.011923;0.012058;0.012192;]","[(-970.303955;12082.448242);(-970.002014;12082.738281);(-970.631165;12083.635742);(-971.568481;12083.209961);(-972.324341;12083.607422);(-972.036987;12083.262695);(-970.352905;12084.583008);(-969.293884;12085.875);(-969.07074;12086.330078);(-969.157166;12087.029297);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
13,"FDI_BC","","T2_BasicEmergency","[0.877811;0.876887;0.874925;0.874946;0.877558;0.875682;0.875581;0.876567;0.874495;0.87392;]","[0.012359;0.012522;0.012656;0.012798;0.012939;0.013077;0.013207;0.013339;0.013477;0.013617;]","[(-949.972473;11811.279297);(-950.80249;11810.194336);(-952.755859;11809.416992);(-952.785339;11809.839844);(-950.150574;11810.577148);(-952.314514;11812.296875);(-952.524658;11813.165039);(-951.627441;11814.259766);(-953.979614;11815.838867);(-954.581177;11815.841797);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
14,"FDI_BC","","T2_BasicEmergency","[0.874148;0.877528;0.884088;0.882528;0.873399;0.874166;0.877776;0.878023;0.880039;0.873615;]","[0.013756;0.013895;0.014037;0.014203;0.014413;0.014576;0.01471;0.014843;0.014983;0.015116;]","[(-954.102112;11813.829102);(-950.505859;11813.256836);(-944.639771;11821.041016);(-946.837097;11826.175781);(-967.051819;12081.680664);(-966.199951;12083.539062);(-962.605347;12078.307617);(-962.381165;12077.143555);(-960.298401;12077.283203);(-967.066711;12072.4375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
15,"FDI_BC","","T2_BasicEmergency","[0.872932;0.8722;0.873482;0.870871;0.874891;0.870145;0.868107;0.868798;0.869331;0.86965;]","[0.015252;0.015388;0.015523;0.015658;0.0158;0.015947;0.016089;0.016229;0.016404;0.016592;]","[(-967.808533;12071.068359);(-968.601013;12069.788086);(-967.270935;12069.522461);(-970.002441;12069.128906);(-965.711365;12073.652344);(-970.685242;12072.553711);(-972.798157;12073.59668);(-972.073853;12073.514648);(-971.448914;12076.220703);(-971.189819;12073.151367);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
16,"FDI_BC","","T2_BasicEmergency","[0.868805;0.868053;0.867748;0.860948;0.8621;0.862724;0.863039;0.863384;0.863268;0.863647;]","[0.016733;0.01687;0.017008;0.0172;0.017333;0.01746;0.017594;0.017732;0.017867;0.018008;]","[(-972.116638;12071.363281);(-972.902588;12071.536133);(-973.205322;12072.318359);(-980.491211;12067.90918);(-979.284302;12067.092773);(-978.651001;12065.644531);(-978.30957;12066.026367);(-977.937622;12066.371094);(-978.057983;12066.501953);(-977.64032;12067.28418);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
17,"FDI_BC","","T2_BasicEmergency","[0.867662;0.869168;0.839585;0.839617;0.84007;0.857241;0.855462;0.852905;0.879412;0.873405;]","[0.018145;0.018272;0.018409;0.018533;0.018671;0.018854;0.018981;0.019114;0.019262;0.019407;]","[(-973.334778;12070.580078);(-971.742188;12071.101562);(-990.935181;11810.029297);(-990.805847;11809.249023);(-990.313782;11809.338867);(-974.107239;11831.84668);(-976.620972;11837.420898);(-979.428284;11837.800781);(-958.420471;11923.376953);(-963.966003;11912.300781);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
18,"FDI_BC","","T2_BasicEmergency","[0.875183;0.869691;0.871104;0.869751;0.871494;0.872962;0.872734;0.873035;0.873287;0.874055;]","[0.019538;0.01968;0.019813;0.019946;0.020081;0.020216;0.020363;0.020504;0.020641;0.020777;]","[(-962.118591;11912.355469);(-967.614624;11908.701172);(-965.938049;11905.818359);(-967.347351;11905.677734);(-965.555481;11906.188477);(-964.038025;11906.443359);(-964.300903;11906.807617);(-964.006592;11907.09375);(-963.779846;11907.625977);(-963.000061;11907.946289);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
19,"FDI_BC","","T2_BasicEmergency","[0.872915;0.873026;0.872995;0.873198;0.873916;0.87441;0.874067;0.873814;0.873366;0.873242;]","[0.020909;0.021038;0.021175;0.021314;0.021444;0.021579;0.021714;0.02185;0.021995;0.022138;]","[(-964.19458;11908.027344);(-964.063354;11907.791016);(-964.073486;11907.462891);(-963.875854;11907.678711);(-963.147339;11907.97168);(-962.627075;11907.889648);(-962.972656;11907.716797);(-963.243958;11907.833008);(-963.722412;11908.003906);(-963.876587;11908.375977);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
20,"FDI_BC","","T2_BasicEmergency","[0.873176;0.873145;0.873092;0.873099;0.87337;0.873391;0.871369;0.870764;0.871163;0.873008;]","[0.022275;0.022413;0.022551;0.022688;0.022824;0.022962;0.023098;0.023232;0.023372;0.02351;]","[(-963.941528;11908.306641);(-963.97113;11908.272461);(-964.03479;11908.388672);(-964.009583;11908.136719);(-963.704651;11907.798828);(-963.672852;11907.645508);(-965.779297;11907.554688);(-966.435181;11907.893555);(-966.028076;11908.051758);(-964.147644;11908.764648);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
21,"FDI_BC","","T2_BasicEmergency","[0.872387;0.871;0.872357;0.872185;0.87221;0.87157;0.87249;0.872393;0.870969;0.871266;]","[0.023644;0.02377;0.023905;0.024037;0.024166;0.024292;0.024432;0.02457;0.024708;0.02484;]","[(-964.81842;11909.100586);(-966.313232;11909.773438);(-964.963684;11910.830078);(-965.122925;11910.513672);(-965.092529;11910.453125);(-965.752869;11910.318359);(-964.735657;11909.472656);(-964.815247;11909.160156);(-966.319397;11909.367188);(-965.965393;11908.722656);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
22,"FDI_BC","","T2_BasicEmergency","[0.871274;0.871357;0.871619;0.87154;0.871415;0.871386;0.871496;0.872231;0.872163;0.872159;]","[0.024974;0.02511;0.02525;0.025384;0.02552;0.02566;0.025793;0.025934;0.026075;0.026217;]","[(-965.951294;11908.635742);(-965.885803;11908.958008);(-965.629211;11909.219727);(-965.720703;11909.360352);(-965.857788;11909.451172);(-965.905151;11909.705078);(-965.792053;11909.743164);(-965.063538;11910.34375);(-965.133179;11910.320312);(-965.12738;11910.179688);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
23,"FDI_BC","","T2_BasicEmergency","[0.871673;0.871089;0.871275;0.871196;0.871187;0.871171;0.871071;0.870897;0.870758;0.868766;]","[0.026352;0.026484;0.026621;0.026751;0.026888;0.02702;0.027156;0.027296;0.027436;0.027565;]","[(-965.619141;11909.921875);(-966.241699;11910.092773);(-966.027222;11909.800781);(-966.110413;11909.802734);(-966.135559;11910.050781);(-966.155884;11910.09082);(-966.257019;11910.041992);(-966.43158;11909.924805);(-966.563965;11909.725586);(-968.622559;11909.246094);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
24,"FDI_BC","","T2_BasicEmergency","[0.868843;0.869014;0.869308;0.870828;0.870883;0.870993;0.870765;0.870722;0.87073;0.870639;]","[0.027692;0.027825;0.027963;0.028104;0.028244;0.028381;0.028516;0.028646;0.028783;0.028917;]","[(-968.548828;11909.351562);(-968.396301;11909.772461);(-968.098206;11909.922852);(-966.516174;11910.121094);(-966.457703;11910.09375);(-966.344849;11910.137695);(-966.588928;11910.213867);(-966.640991;11910.327148);(-966.639038;11910.427734);(-966.71405;11910.117188);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
25,"FDI_BC","","T2_BasicEmergency","[0.87061;0.87065;0.870447;0.86874;0.868905;0.870071;0.871209;0.870862;0.870931;0.870958;]","[0.029046;0.029188;0.029324;0.029464;0.029596;0.029728;0.029859;0.029992;0.030128;0.030271;]","[(-966.735291;11909.978516);(-966.682373;11909.804688);(-966.871521;11909.446289);(-968.632385;11908.983398);(-968.439392;11908.694336);(-967.245789;11909.147461);(-966.080566;11909.552734);(-966.455383;11909.739258);(-966.366028;11909.474609);(-966.326111;11909.306641);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
26,"FDI_BC","","T2_BasicEmergency","[0.871655;0.871122;0.870478;0.870685;0.870793;0.87057;0.870928;0.87099;0.871065;0.871185;]","[0.030411;0.030546;0.030679;0.030816;0.030949;0.031086;0.031221;0.031353;0.031491;0.031631;]","[(-965.599915;11909.345703);(-966.122131;11908.820312);(-966.784912;11908.642578);(-966.595154;11909.039062);(-966.488403;11909.140625);(-966.720581;11909.124023);(-966.33728;11908.990234);(-966.262207;11908.842773);(-966.16095;11908.50293);(-966.040649;11908.583984);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
27,"FDI_BC","","T2_BasicEmergency","[0.871393;0.871259;0.870848;0.871039;0.871167;0.871428;0.871592;0.871635;0.870311;0.873913;]","[0.031772;0.031919;0.032061;0.032197;0.032331;0.032472;0.032607;0.032745;0.032882;0.033017;]","[(-965.839417;11908.829102);(-965.987;11908.941406);(-966.417664;11908.950195);(-966.203003;11908.731445);(-966.042725;11908.330078);(-965.748108;11908.019531);(-965.586853;11908.165039);(-965.537842;11908.103516);(-966.906433;11907.838867);(-963.318176;11910.500977);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
28,"FDI_BC","","T2_BasicEmergency","[0.871662;0.873368;0.874667;0.874494;0.875211;0.875529;0.874918;0.874788;0.874888;0.87529;]","[0.033151;0.033284;0.033439;0.033605;0.033742;0.033876;0.034013;0.034148;0.034285;0.034419;]","[(-966.001465;11915.672852);(-964.459351;11919.530273);(-963.087891;11919.226562);(-963.269958;11919.270508);(-962.421997;11917.600586);(-962.191589;11919.21875);(-962.809448;11918.941406);(-962.92926;11918.691406);(-962.867188;11919.383789);(-962.178101;11915.019531);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
