id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BD","","S2_BasicEmergency","[0.005177;0.005178;0.005182;0.005189;0.005187;0.005189;0.005185;0.005155;0.005155;0.005138;]","[0.0;0.000001;0.000003;0.000004;0.000005;0.000006;0.000007;0.000007;0.000008;0.000009;]","[(11700.0;-18460.0);(11714.079102;-18417.724609);(11714.698242;-18420.417969);(11716.711914;-18420.626953);(11717.886719;-18414.503906);(11716.555664;-18420.742188);(11715.636719;-18420.291016);(11707.226562;-18419.238281);(11704.990234;-18426.736328);(11702.018555;-18419.662109);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BD","","S2_BasicEmergency","[0.005138;0.005152;0.005177;0.005171;0.00516;0.005163;0.005162;0.005172;0.005181;0.005203;]","[0.00001;0.000011;0.000011;0.000012;0.000013;0.000014;0.000015;0.000015;0.000016;0.000017;]","[(11702.607422;-18418.392578);(11706.371094;-18419.058594);(11712.482422;-18423.248047);(11708.313477;-18430.988281);(11705.02832;-18430.791016);(11707.077148;-18427.470703);(11706.725586;-18427.583984);(11709.964844;-18426.695312);(11712.209961;-18427.261719);(11711.688477;-18449.380859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BD","","S2_BasicEmergency","[0.0052;0.005185;0.005202;0.005204;0.0052;0.005207;0.005207;0.005203;0.005198;0.005195;]","[0.000018;0.000019;0.000019;0.00002;0.000021;0.000022;0.000023;0.000024;0.000024;0.000025;]","[(11712.678711;-18443.392578);(11714.130859;-18424.978516);(11720.636719;-18419.404297);(11718.361328;-18428.703125);(11719.496094;-18421.091797);(11721.125977;-18423.134766);(11721.044922;-18423.029297);(11719.554688;-18424.005859);(11718.349609;-18423.1875);(11717.929688;-18421.912109);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BD","","S2_BasicEmergency","[0.005195;0.005197;0.005201;0.005204;0.005206;0.005206;0.005205;0.005205;0.005203;0.005201;]","[0.000026;0.000027;0.000028;0.000029;0.00003;0.000031;0.000032;0.000032;0.000033;0.000034;]","[(11718.370117;-18420.611328);(11719.098633;-18420.328125);(11719.364258;-18423.185547);(11720.229492;-18422.814453);(11721.06543;-18421.683594);(11719.946289;-18425.628906);(11719.321289;-18426.636719);(11720.055664;-18424.509766);(11720.419922;-18421.335938);(11720.345703;-18419.384766);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BD","","S2_BasicEmergency","[0.005198;0.0052;0.005205;0.005203;0.005201;0.005202;0.005201;0.0052;0.005202;0.0052;]","[0.000035;0.000036;0.000037;0.000038;0.000038;0.000039;0.00004;0.000041;0.000042;0.000043;]","[(11719.499023;-18419.832031);(11719.640625;-18421.082031);(11719.864258;-18424.869141);(11719.320312;-18424.980469);(11718.970703;-18423.748047);(11718.666016;-18426.458984);(11718.450195;-18425.419922);(11719.451172;-18422.066406);(11720.143555;-18421.001953);(11719.837891;-18420.042969);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BD","","S2_BasicEmergency","[0.005199;0.005197;0.005199;0.005203;0.0052;0.005197;0.005187;0.005175;0.005186;0.005188;]","[0.000043;0.000044;0.000045;0.000046;0.000047;0.000048;0.000048;0.000049;0.00005;0.000051;]","[(11719.500977;-18420.318359);(11718.499023;-18421.564453);(11718.829102;-18423.082031);(11719.49707;-18423.880859);(11719.207031;-18422.455078);(11720.128906;-18417.191406);(11717.976562;-18414.724609);(11712.303711;-18421.400391);(11713.449219;-18428.253906);(11713.34375;-18430.494141);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BD","","S2_BasicEmergency","[0.005189;0.005188;0.005183;0.005181;0.005185;0.005186;0.005186;0.005186;0.005182;0.00518;]","[0.000052;0.000053;0.000054;0.000054;0.000055;0.000056;0.000057;0.000058;0.000059;0.00006;]","[(11713.455078;-18430.869141);(11713.697266;-18428.691406);(11713.117188;-18426.427734);(11712.748047;-18425.802734);(11713.484375;-18426.833984);(11713.623047;-18427.496094);(11714.064453;-18426.064453);(11714.474609;-18424.753906);(11713.263672;-18424.839844);(11712.770508;-18424.478516);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BD","","S2_BasicEmergency","[0.005182;0.005187;0.005187;0.005188;0.005184;0.00518;0.005181;0.00518;0.005186;0.005182;]","[0.000061;0.000062;0.000063;0.000064;0.000064;0.000065;0.000066;0.000067;0.000068;0.000069;]","[(11712.674805;-18426.470703);(11713.956055;-18426.890625);(11714.668945;-18425.388672);(11715.008789;-18424.544922);(11714.607422;-18422.074219);(11714.079102;-18419.990234);(11715.532227;-18416.816406);(11716.950195;-18411.494141);(11718.827148;-18411.056641);(11718.373047;-18408.380859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BD","","S2_BasicEmergency","[0.005174;0.005177;0.005177;0.005176;0.005177;0.005176;0.005174;0.005176;0.00518;0.005181;]","[0.00007;0.000071;0.000071;0.000072;0.000073;0.000074;0.000075;0.000076;0.000077;0.000077;]","[(11716.958984;-18405.966797);(11716.896484;-18408.789062);(11716.738281;-18409.654297);(11716.908203;-18407.902344);(11717.49707;-18407.107422);(11717.045898;-18407.037109);(11716.078125;-18408.441406);(11716.422852;-18409.212891);(11718.010742;-18408.115234);(11718.49707;-18407.607422);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BD","","S2_BasicEmergency","[0.005179;0.005177;0.005177;0.005178;0.005178;0.005177;0.005173;0.005176;0.005177;0.005177;]","[0.000078;0.000079;0.00008;0.000081;0.000082;0.000083;0.000084;0.000085;0.000086;0.000087;]","[(11718.075195;-18407.136719);(11716.896484;-18408.375);(11716.882812;-18408.376953);(11717.861328;-18406.900391);(11717.953125;-18406.628906);(11716.678711;-18409.162109);(11716.075195;-18407.654297);(11716.285156;-18410.035156);(11717.049805;-18408.0625);(11717.237305;-18407.845703);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
