id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(8.229336;4.353558;14.672401)","(3.765445;36.248611;-1.037313)","2025-2-18 14:41:45.674"
1,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(9.678162;5.060041;16.539162)","(-3.82471;54.372978;-0.644206)","2025-2-18 14:41:47.64"
2,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(6.976604;3.500497;10.721024)","(-16.822474;31.947083;-169.047318)","2025-2-18 14:42:0.69"
3,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(9.699993;11.006926;10.977188)","(-23.562212;24.375317;175.214752)","2025-2-18 14:42:0.647"
4,"FDI_BE","","S2_BasicEmergency","IA_Menu_Toggle_Right","started","Right","(9.141768;8.010172;16.627922)","(6.09543;42.502235;18.845884)","2025-2-18 14:43:20.352"
5,"FDI_BE","","S2_BasicEmergency","IA_Menu_Toggle_Right","completed","Right","(9.464504;8.050218;16.627129)","(5.694177;42.644562;19.08794)","2025-2-18 14:43:20.554"
6,"FDI_BE","","S2_BasicEmergency","IA_Menu_Toggle_Right","started","Right","(9.929905;7.766305;16.836334)","(5.661637;42.675743;16.969608)","2025-2-18 14:43:21.348"
7,"FDI_BE","","S2_BasicEmergency","IA_Menu_Toggle_Right","completed","Right","(10.045847;7.747245;16.777878)","(5.827922;42.168453;16.412872)","2025-2-18 14:43:21.639"
8,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(10.04059;7.36167;14.809242)","(6.190299;29.582085;9.663622)","2025-2-18 14:43:22.664"
9,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(11.042055;6.971211;16.339737)","(-1.699833;49.776257;6.457269)","2025-2-18 14:43:23.65"
10,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(10.991674;7.009404;16.46833)","(-0.229858;54.05394;1.453633)","2025-2-18 14:43:23.319"
11,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(11.515072;7.011259;17.062958)","(-5.433992;58.808453;0.226375)","2025-2-18 14:43:23.976"
12,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(4.482269;14.100679;16.938522)","(6.150842;41.776768;91.873932)","2025-2-18 14:43:26.816"
13,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(4.350677;14.880095;17.348114)","(7.742693;43.511955;95.617294)","2025-2-18 14:43:27.404"
14,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(1.802135;17.33773;18.400902)","(11.310499;50.287251;104.069237)","2025-2-18 14:43:28.174"
15,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(1.985832;16.529165;17.800583)","(9.706653;47.632328;104.057877)","2025-2-18 14:43:28.582"
16,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(8.02578;18.956444;22.388405)","(26.391823;70.989983;147.908005)","2025-2-18 14:43:31.81"
17,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(8.04113;18.96331;22.401756)","(26.503544;70.92836;148.167328)","2025-2-18 14:43:31.296"
18,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(8.308578;19.057259;22.366005)","(25.967175;71.265076;146.706329)","2025-2-18 14:43:32.279"
19,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(8.289249;18.967453;22.4011)","(25.541714;71.972771;146.559937)","2025-2-18 14:43:32.420"
20,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(9.848557;18.94322;21.845413)","(18.988926;64.895622;147.973831)","2025-2-18 14:43:33.946"
21,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(9.886948;18.878632;21.857567)","(16.912561;65.353424;147.286545)","2025-2-18 14:43:34.85"
22,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(14.137661;12.27122;20.773682)","(7.141747;67.079132;139.04567)","2025-2-18 14:43:36.208"
23,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(14.167839;12.47001;20.830467)","(4.454904;67.305374;135.994019)","2025-2-18 14:43:36.363"
24,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(20.754883;2.897719;18.587593)","(12.394122;47.342251;-172.924149)","2025-2-18 14:43:39.663"
25,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(19.89233;0.249754;18.328506)","(10.45409;51.859459;-171.933105)","2025-2-18 14:43:40.451"
26,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","started","Right","(18.291981;1.185618;8.198311)","(-1.208463;22.684048;176.882156)","2025-2-18 14:43:41.325"
27,"FDI_BE","","S2_BasicEmergency","IA_Move_Right","completed","Right","(16.291527;2.959476;6.28186)","(-2.810147;17.267578;-179.966446)","2025-2-18 14:43:41.694"
28,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","started","Right","(14.177582;18.105259;67.333786)","(-73.030273;-38.146709;27.999807)","2025-2-18 14:43:43.498"
29,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Right","completed","Right","(12.741844;17.678617;65.172752)","(-64.057419;-31.649464;44.840034)","2025-2-18 14:43:43.935"
30,"FDI_BE","","S2_BasicEmergency","IA_Grab_Right","started","Right","(12.957428;16.373869;66.140961)","(-65.279144;-26.539722;41.871307)","2025-2-18 14:43:44.169"
31,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(2.747782;5.066202;20.710625)","(16.514915;66.440483;2.253176)","2025-2-18 14:43:53.147"
32,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(2.697165;4.795402;20.656754)","(24.761017;65.384933;7.185098)","2025-2-18 14:43:53.377"
33,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","started","Left","(0.504715;5.212206;17.94249)","(18.071697;66.015823;19.740891)","2025-2-18 14:44:5.858"
34,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","completed","Left","(0.61945;5.182133;17.789795)","(28.005774;66.033493;24.035452)","2025-2-18 14:44:6.141"
35,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","started","Left","(0.383312;4.816207;17.650208)","(21.917192;65.55957;24.153681)","2025-2-18 14:44:6.864"
36,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","completed","Left","(1.04583;4.790787;17.482986)","(33.949821;65.535812;25.493841)","2025-2-18 14:44:7.195"
37,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","started","Left","(1.953461;4.743603;19.708282)","(25.688164;61.04353;11.69603)","2025-2-18 14:44:13.400"
38,"FDI_BE","","S2_BasicEmergency","IA_Grab_Left","completed","Left","(1.823771;4.605187;19.815903)","(27.597664;59.988346;13.860104)","2025-2-18 14:44:13.625"
39,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(1.585182;4.33181;19.916924)","(31.48724;61.200714;18.452272)","2025-2-18 14:44:14.427"
40,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(1.451557;4.022654;19.96447)","(33.447224;61.516518;19.246065)","2025-2-18 14:44:14.595"
41,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(1.094933;2.2325;18.624313)","(38.478931;53.920425;39.699497)","2025-2-18 14:44:24.328"
42,"FDI_BE","","S2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(0.807915;2.206104;18.67868)","(41.283443;53.829327;41.803059)","2025-2-18 14:44:24.642"
43,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(2.990755;5.623195;21.117027)","(-157.135895;85.496468;-176.491409)","2025-2-18 14:44:39.130"
44,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(3.015062;5.629129;20.927589)","(-109.322975;87.496758;-129.21933)","2025-2-18 14:44:40.15"
45,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(3.264786;5.421366;20.827644)","(-59.375427;88.176132;-81.239265)","2025-2-18 14:44:40.696"
46,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(2.968878;5.246312;20.64624)","(-67.274132;87.877464;-86.684143)","2025-2-18 14:44:41.314"
47,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(3.047197;5.410746;20.742134)","(-93.215836;86.650856;-112.381233)","2025-2-18 14:44:41.947"
48,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(3.008467;5.285509;20.684128)","(-111.277206;85.706841;-128.550537)","2025-2-18 14:44:42.590"
49,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(3.024914;5.272105;20.644524)","(-149.85733;86.887054;-169.615021)","2025-2-18 14:44:43.237"
50,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(2.93717;5.405735;20.709427)","(-128.693253;86.697456;-147.008194)","2025-2-18 14:44:43.801"
51,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(20.681507;4.003246;22.486717)","(-27.967707;45.374245;122.430992)","2025-2-18 14:44:46.811"
52,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(22.710175;2.362809;25.201538)","(-14.090176;65.73613;153.013519)","2025-2-18 14:44:47.493"
53,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(22.829762;2.530204;25.829521)","(-7.689705;70.158653;161.574493)","2025-2-18 14:44:48.147"
54,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(22.38192;3.51427;25.752022)","(-3.110665;71.425049;172.850098)","2025-2-18 14:44:48.642"
55,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","started","Left","(22.651512;5.088315;26.521996)","(-6.530533;72.254997;172.626602)","2025-2-18 14:44:49.319"
56,"FDI_BE","","S2_BasicEmergency","IA_Move_Left","completed","Left","(22.327698;4.937449;26.37339)","(-4.631586;72.569267;173.89679)","2025-2-18 14:44:49.976"
