id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BE","","S2_BasicEmergency","[0.005177;0.004987;0.004994;0.004997;0.004995;0.004994;0.004993;0.004986;0.004991;0.005015;]","[0.0;0.000001;0.000002;0.000003;0.000004;0.000005;0.000006;0.000007;0.000008;0.000009;]","[(11700.0;-18460.0);(11645.636719;-18457.306641);(11646.477539;-18462.708984);(11646.978516;-18463.550781);(11646.255859;-18464.53125);(11645.994141;-18464.556641);(11645.553711;-18464.556641);(11643.361328;-18464.894531);(11646.472656;-18459.328125);(11654.432617;-18457.265625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BE","","S2_BasicEmergency","[0.004994;0.005006;0.005006;0.005003;0.006116;0.006114;0.006113;0.006081;0.006082;0.00609;]","[0.000009;0.00001;0.000011;0.000012;0.000013;0.000014;0.000015;0.000016;0.000017;0.000018;]","[(11648.951172;-18453.347656);(11650.964844;-18459.726562);(11650.327148;-18461.544922);(11649.527344;-18461.289062);(11945.041016;-18445.037109);(11944.666992;-18444.728516);(11942.904297;-18449.316406);(11938.288086;-18441.458984);(11941.107422;-18433.619141);(11943.081055;-18433.076172);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BE","","S2_BasicEmergency","[0.00611;0.006125;0.006128;0.006149;0.006141;0.00612;0.006091;0.006073;0.006074;0.006087;]","[0.000019;0.00002;0.000021;0.000022;0.000023;0.000024;0.000025;0.000026;0.000027;0.000028;]","[(11946.626953;-18436.345703);(11949.239258;-18438.234375);(11949.697266;-18438.996094);(11954.451172;-18438.828125);(11951.794922;-18441.441406);(11947.039062;-18441.677734);(11941.313477;-18438.916016);(11938.496094;-18435.107422);(11938.615234;-18435.878906);(11940.084961;-18439.990234);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BE","","S2_BasicEmergency","[0.006153;0.006138;0.006123;0.006122;0.006136;0.006162;0.006137;0.006118;0.006092;0.006058;]","[0.000029;0.00003;0.000032;0.000033;0.000034;0.000035;0.000036;0.000037;0.000038;0.000039;]","[(11953.628906;-18444.539062);(11951.59668;-18440.072266);(11947.664062;-18441.697266);(11947.113281;-18442.578125);(11950.21582;-18443.361328);(11953.365234;-18450.886719);(11947.891602;-18450.898438);(11943.985352;-18449.556641);(11941.451172;-18439.193359);(11936.662109;-18430.859375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BE","","S2_BasicEmergency","[0.005633;0.005681;0.005672;0.005674;0.005667;0.005665;0.005664;0.005661;0.005657;0.005656;]","[0.00004;0.00004;0.000041;0.000042;0.000043;0.000044;0.000045;0.000046;0.000047;0.000048;]","[(11814.109375;-18494.339844);(11826.130859;-18494.519531);(11822.955078;-18497.355469);(11822.285156;-18501.603516);(11819.349609;-18505.90625);(11817.958008;-18508.957031);(11817.575195;-18509.169922);(11817.192383;-18507.908203);(11816.764648;-18505.916016);(11816.117188;-18506.939453);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BE","","S2_BasicEmergency","[0.005658;0.005652;0.005651;0.005648;0.005647;0.00565;0.005651;0.005651;0.005647;0.005645;]","[0.000049;0.00005;0.000051;0.000052;0.000053;0.000054;0.000054;0.000055;0.000056;0.000057;]","[(11816.240234;-18508.191406);(11815.152344;-18507.037109);(11815.094727;-18505.929688);(11814.745117;-18505.230469);(11814.405273;-18505.148438);(11814.991211;-18505.404297);(11815.606445;-18504.689453);(11815.702148;-18504.052734);(11815.015625;-18503.349609);(11814.595703;-18502.755859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BE","","S2_BasicEmergency","[0.005648;0.005649;0.00565;0.005648;0.005647;0.00565;0.005655;0.00566;0.005674;0.005684;]","[0.000058;0.000059;0.000061;0.000062;0.000063;0.000064;0.000065;0.000066;0.000067;0.000068;]","[(11815.402344;-18502.980469);(11815.46875;-18503.285156);(11815.668945;-18503.791016);(11815.162109;-18503.595703);(11815.110352;-18503.115234);(11815.575195;-18504.025391);(11816.255859;-18505.351562);(11817.285156;-18506.642578);(11821.476562;-18504.105469);(11826.588867;-18495.154297);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BE","","S2_BasicEmergency","[0.00569;0.005695;0.005693;0.005693;0.005695;0.005697;0.005699;0.005699;0.005696;0.005692;]","[0.000068;0.000069;0.00007;0.000071;0.000072;0.000073;0.000074;0.000075;0.000077;0.000078;]","[(11828.858398;-18493.123047);(11828.771484;-18497.09375);(11827.841797;-18499.085938);(11827.869141;-18498.580078);(11828.027344;-18499.517578);(11828.388672;-18500.205078);(11828.745117;-18500.800781);(11828.901367;-18499.896484);(11828.202148;-18499.691406);(11827.375;-18499.523438);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BE","","S2_BasicEmergency","[0.00569;0.005691;0.005692;0.005691;0.005689;0.005688;0.005689;0.00569;0.005691;0.005692;]","[0.000078;0.000079;0.000081;0.000082;0.000083;0.000084;0.000085;0.000086;0.000087;0.000088;]","[(11827.006836;-18499.050781);(11827.210938;-18499.203125);(11827.450195;-18499.498047);(11827.016602;-18499.53125);(11826.666016;-18498.939453);(11826.620117;-18499.009766);(11826.583984;-18499.347656);(11826.837891;-18499.591797);(11826.894531;-18500.064453);(11827.277344;-18499.949219);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BE","","S2_BasicEmergency","[0.00569;0.005688;0.005686;0.005685;0.005686;0.005686;0.005687;0.005688;0.005689;0.00569;]","[0.000088;0.000089;0.00009;0.000091;0.000092;0.000093;0.000094;0.000096;0.000097;0.000098;]","[(11826.84375;-18499.384766);(11826.361328;-18499.101562);(11825.81543;-18499.277344);(11825.744141;-18499.220703);(11825.824219;-18499.328125);(11825.748047;-18499.673828);(11826.119141;-18499.628906);(11826.123047;-18499.935547);(11826.413086;-18500.578125);(11826.712891;-18500.298828);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
