id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BF","","S2_BasicEmergency","[0.005177;0.005172;0.00517;0.005161;0.005166;0.005141;0.00511;0.005172;0.00517;0.005167;]","[0.0;0.000001;0.000003;0.000004;0.000005;0.000006;0.000007;0.000008;0.000009;0.00001;]","[(11700.0;-18460.0);(11702.339844;-18447.839844);(11701.442383;-18448.085938);(11696.573242;-18456.519531);(11698.523438;-18454.257812);(11695.238281;-18440.753906);(11686.830078;-18438.927734);(11702.524414;-18447.132812);(11700.329102;-18451.751953);(11699.889648;-18450.755859);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BF","","S2_BasicEmergency","[0.005167;0.005164;0.005162;0.005166;0.005168;0.005169;0.005168;0.005167;0.005168;0.005169;]","[0.000011;0.000012;0.000013;0.000014;0.000015;0.000016;0.000017;0.000018;0.000019;0.00002;]","[(11699.858398;-18450.560547);(11699.223633;-18450.408203);(11698.710938;-18450.103516);(11699.686523;-18450.099609);(11700.070312;-18451.095703);(11700.341797;-18451.511719);(11700.005859;-18451.078125);(11699.672852;-18451.074219);(11700.484375;-18450.25);(11700.765625;-18449.820312);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BF","","S2_BasicEmergency","[0.005168;0.005167;0.005168;0.005167;0.005165;0.005162;0.005162;0.005162;0.005164;0.005161;]","[0.000021;0.000021;0.000022;0.000023;0.000024;0.000025;0.000026;0.000027;0.000028;0.000028;]","[(11700.261719;-18450.136719);(11699.944336;-18450.341797);(11699.818359;-18451.832031);(11699.929688;-18451.050781);(11699.299805;-18450.763672);(11698.508789;-18450.587891);(11698.5;-18451.041016);(11698.313477;-18451.519531);(11698.737305;-18451.40625);(11698.056641;-18451.1875);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BF","","S2_BasicEmergency","[0.00516;0.005159;0.005161;0.00516;0.005158;0.005155;0.005128;0.005151;0.005156;0.005161;]","[0.000029;0.00003;0.000031;0.000032;0.000032;0.000033;0.000034;0.000035;0.000036;0.000036;]","[(11697.788086;-18450.648438);(11697.902344;-18449.658203);(11698.384766;-18449.974609);(11697.512695;-18451.951172);(11697.103516;-18451.548828);(11696.578125;-18450.273438);(11691.947266;-18440.009766);(11696.870117;-18445.076172);(11696.34668;-18452.292969);(11697.732422;-18451.75);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BF","","S2_BasicEmergency","[0.005161;0.005161;0.005156;0.00516;0.005161;0.005173;0.005177;0.005179;0.005179;0.005172;]","[0.000037;0.000038;0.000039;0.00004;0.00004;0.000041;0.000042;0.000043;0.000044;0.000044;]","[(11698.341797;-18450.634766);(11696.706055;-18455.291016);(11695.464844;-18455.306641);(11697.955078;-18450.333984);(11697.292969;-18453.964844);(11698.848633;-18459.863281);(11699.335938;-18462.427734);(11699.083008;-18464.988281);(11701.991211;-18455.384766);(11699.400391;-18456.988281);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BF","","S2_BasicEmergency","[0.00517;0.005167;0.005162;0.005171;0.005172;0.005169;0.005174;0.005176;0.005173;0.005169;]","[0.000045;0.000046;0.000047;0.000048;0.000048;0.000049;0.00005;0.000051;0.000052;0.000052;]","[(11697.930664;-18460.791016);(11699.489258;-18452.601562);(11699.663086;-18446.761719);(11700.673828;-18451.699219);(11700.400391;-18453.53125);(11699.814453;-18452.675781);(11701.089844;-18453.818359);(11701.858398;-18453.199219);(11701.103516;-18452.369141);(11699.834961;-18452.439453);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BF","","S2_BasicEmergency","[0.005169;0.005175;0.005168;0.005166;0.005165;0.005164;0.005167;0.005167;0.005166;0.005167;]","[0.000053;0.000054;0.000055;0.000056;0.000056;0.000057;0.000059;0.000059;0.00006;0.000061;]","[(11699.708008;-18453.191406);(11701.31543;-18453.349609);(11699.779297;-18452.166016);(11699.12793;-18452.576172);(11698.730469;-18452.679688);(11698.635742;-18452.564453);(11699.09375;-18453.367188);(11699.143555;-18453.402344);(11699.108398;-18452.478516);(11699.203125;-18452.802734);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BF","","S2_BasicEmergency","[0.005169;0.005169;0.005169;0.005167;0.005166;0.005162;0.005161;0.005161;0.005162;0.005162;]","[0.000062;0.000062;0.000063;0.000064;0.000065;0.000066;0.000067;0.000067;0.000068;0.000069;]","[(11699.761719;-18453.261719);(11699.796875;-18453.414062);(11699.794922;-18453.521484);(11699.322266;-18453.044922);(11699.049805;-18452.519531);(11698.082031;-18452.025391);(11697.696289;-18452.34375);(11697.693359;-18452.566406);(11697.761719;-18452.914062);(11697.702148;-18453.203125);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BF","","S2_BasicEmergency","[0.005162;0.005166;0.005168;0.005167;0.005164;0.005166;0.005172;0.005172;0.00517;0.00517;]","[0.00007;0.000071;0.000072;0.000072;0.000074;0.000075;0.000075;0.000076;0.000077;0.000078;]","[(11698.185547;-18452.082031);(11699.551758;-18450.976562);(11699.751953;-18451.980469);(11699.429688;-18452.197266);(11698.711914;-18451.857422);(11699.584961;-18450.699219);(11700.849609;-18452.527344);(11700.861328;-18452.185547);(11700.344727;-18452.583984);(11700.519531;-18452.029297);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BF","","S2_BasicEmergency","[0.005171;0.005171;0.005162;0.005165;0.005166;0.005167;0.005171;0.005173;0.00517;0.005167;]","[0.000079;0.000079;0.00008;0.000081;0.000082;0.000083;0.000083;0.000084;0.000085;0.000086;]","[(11700.871094;-18451.482422);(11700.417969;-18453.300781);(11698.087891;-18452.087891);(11698.460938;-18453.347656);(11698.758789;-18453.283203);(11699.361328;-18452.75);(11700.574219;-18452.228516);(11701.203125;-18451.880859);(11700.353516;-18451.712891);(11699.250977;-18452.460938);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
