id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BG","","S2_BasicEmergency","[0.005177;0.0049;0.0049;0.004901;0.004901;0.0049;0.004899;0.004896;0.004894;0.004892;]","[0.0;0.000001;0.000002;0.000003;0.000004;0.000005;0.000006;0.000007;0.000008;0.000008;]","[(11700.0;-18460.0);(11612.634766;-18479.671875);(11612.606445;-18480.318359);(11612.803711;-18480.378906);(11612.672852;-18480.324219);(11612.458984;-18480.316406);(11612.350586;-18480.054688);(11611.700195;-18479.195312);(11611.113281;-18478.585938);(11610.575195;-18478.412109);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BG","","S2_BasicEmergency","[0.004898;0.004896;0.00489;0.004889;0.004891;0.004898;0.004896;0.004895;0.004892;0.004894;]","[0.000009;0.00001;0.000011;0.000011;0.000012;0.000013;0.000014;0.000014;0.000015;0.000016;]","[(11611.671875;-18481.267578);(11611.250977;-18480.751953);(11609.445312;-18480.21875);(11609.381836;-18479.419922);(11609.841797;-18479.652344);(11612.097656;-18480.109375);(11611.527344;-18479.103516);(11611.513672;-18478.359375);(11611.015625;-18477.207031);(11611.296875;-18477.597656);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BG","","S2_BasicEmergency","[0.004894;0.004896;0.004896;0.004896;0.004897;0.004897;0.004897;0.004896;0.004896;0.004897;]","[0.000017;0.000018;0.000018;0.000019;0.00002;0.000021;0.000021;0.000022;0.000023;0.000024;]","[(11611.407227;-18478.005859);(11611.524414;-18479.414062);(11611.665039;-18479.015625);(11611.949219;-18478.382812);(11611.995117;-18478.833984);(11612.053711;-18479.068359);(11611.832031;-18479.097656);(11611.724609;-18479.177734);(11611.876953;-18478.541016);(11612.071289;-18478.277344);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BG","","S2_BasicEmergency","[0.004897;0.004897;0.004895;0.004896;0.004898;0.004901;0.004905;0.004907;0.004908;0.004909;]","[0.000024;0.000025;0.000026;0.000027;0.000027;0.000028;0.000029;0.00003;0.00003;0.000031;]","[(11612.455078;-18477.208984);(11612.644531;-18476.232422);(11612.433594;-18475.404297);(11612.405273;-18476.294922);(11612.696289;-18476.990234);(11613.304688;-18478.408203);(11614.101562;-18479.994141);(11614.294922;-18481.417969);(11614.268555;-18483.421875);(11614.144531;-18484.986328);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BG","","S2_BasicEmergency","[0.004907;0.004902;0.004899;0.004896;0.004896;0.004897;0.004898;0.004899;0.0049;0.0049;]","[0.000032;0.000033;0.000033;0.000034;0.000035;0.000036;0.000037;0.000038;0.000038;0.000039;]","[(11613.576172;-18484.134766);(11612.869141;-18481.085938);(11612.600586;-18478.578125);(11612.257812;-18476.828125);(11612.431641;-18476.046875);(11612.46875;-18477.029297);(11612.577148;-18478.103516);(11612.6875;-18478.910156);(11612.833984;-18479.511719);(11612.84375;-18478.964844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BG","","S2_BasicEmergency","[0.004899;0.0049;0.0049;0.0049;0.004901;0.004902;0.004902;0.004902;0.004901;0.004898;]","[0.00004;0.000041;0.000042;0.000042;0.000043;0.000044;0.000045;0.000045;0.000046;0.000047;]","[(11613.003906;-18477.767578);(11613.394531;-18476.972656);(11613.570312;-18476.296875);(11613.386719;-18476.705078);(11613.357422;-18477.863281);(11613.313477;-18479.125);(11613.173828;-18480.347656);(11613.032227;-18480.732422);(11612.775391;-18479.933594);(11612.459961;-18478.765625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BG","","S2_BasicEmergency","[0.004896;0.004895;0.004895;0.004896;0.004899;0.004902;0.004905;0.004907;0.004906;0.004903;]","[0.000048;0.000048;0.000049;0.00005;0.000051;0.000051;0.000052;0.000053;0.000054;0.000055;]","[(11612.087891;-18477.814453);(11612.073242;-18476.0625);(11612.506836;-18474.306641);(11612.885742;-18474.236328);(11613.328125;-18476.074219);(11613.592773;-18478.701172);(11613.567383;-18481.546875);(11613.667969;-18483.628906);(11613.22168;-18484.388672);(11612.708984;-18482.833984);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BG","","S2_BasicEmergency","[0.004899;0.004896;0.004893;0.004891;0.004891;0.004895;0.004898;0.0049;0.004901;0.004898;]","[0.000055;0.000056;0.000057;0.000058;0.000059;0.00006;0.00006;0.000061;0.000062;0.000063;]","[(11612.300781;-18480.414062);(11611.597656;-18478.751953);(11611.335938;-18476.8125);(11611.226562;-18475.060547);(11611.624023;-18473.765625);(11612.428711;-18474.794922);(11612.983398;-18476.650391);(11613.253906;-18478.136719);(11613.27832;-18478.599609);(11612.563477;-18478.193359);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BG","","S2_BasicEmergency","[0.004896;0.004897;0.004899;0.0049;0.004901;0.004899;0.0049;0.004901;0.0049;0.004899;]","[0.000064;0.000065;0.000065;0.000066;0.000067;0.000068;0.000068;0.000069;0.00007;0.000071;]","[(11612.004883;-18478.0);(11612.28125;-18477.810547);(11612.751953;-18477.804688);(11613.402344;-18477.509766);(11613.52832;-18477.453125);(11613.104492;-18477.517578);(11612.770508;-18479.816406);(11612.739258;-18480.291016);(11612.725586;-18479.318359);(11612.855469;-18478.101562);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BG","","S2_BasicEmergency","[0.004898;0.004898;0.004901;0.004903;0.004902;0.004901;0.0049;0.0049;0.004901;0.0049;]","[0.000072;0.000072;0.000073;0.000074;0.000075;0.000075;0.000076;0.000077;0.000078;0.000078;]","[(11612.689453;-18477.398438);(11612.705078;-18477.414062);(11613.137695;-18479.533203);(11613.500977;-18479.732422);(11613.436523;-18479.183594);(11613.186523;-18478.496094);(11613.117188;-18478.40625);(11613.166016;-18478.351562);(11612.974609;-18479.410156);(11612.800781;-18479.583984);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_BG","","S2_BasicEmergency","[0.004899;0.004899;0.0049;0.004901;0.004902;0.004902;0.004903;0.004904;0.004904;0.004905;]","[0.000079;0.00008;0.000081;0.000081;0.000082;0.000083;0.000084;0.000085;0.000085;0.000086;]","[(11612.483398;-18479.373047);(11612.243164;-18479.662109);(11612.576172;-18480.242188);(11612.813477;-18480.798828);(11612.883789;-18481.064453);(11612.993164;-18481.349609);(11613.249023;-18481.503906);(11613.520508;-18481.115234);(11613.742188;-18480.345703);(11614.208984;-18479.353516);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_BG","","S2_BasicEmergency","[0.004905;0.004904;0.004903;0.004899;0.004893;0.004889;0.004887;0.004888;0.00489;0.00489;]","[0.000087;0.000088;0.000088;0.000089;0.00009;0.000091;0.000092;0.000093;0.000093;0.000094;]","[(11614.65625;-18478.720703);(11614.167969;-18478.958984);(11613.418945;-18480.232422);(11612.132812;-18480.349609);(11610.365234;-18479.914062);(11609.402344;-18478.994141);(11608.898438;-18478.697266);(11609.385742;-18478.265625);(11610.173828;-18477.960938);(11610.370117;-18476.910156);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_BG","","S2_BasicEmergency","[0.004891;0.004891;0.004891;0.005925;0.005926;0.005926;0.00593;0.005925;0.005915;0.005914;]","[0.000095;0.000096;0.000096;0.000097;0.000098;0.000099;0.0001;0.000101;0.000102;0.000103;]","[(11610.227539;-18478.410156);(11610.274414;-18478.078125);(11610.307617;-18478.029297);(11923.542969;-18378.160156);(11923.432617;-18379.246094);(11922.822266;-18380.953125);(11922.571289;-18384.25);(11921.055664;-18385.042969);(11918.573242;-18385.417969);(11918.93457;-18384.138672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
