id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BH","","T2_BasicEmergency","2","[0.0;2.084779;2.084838;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.0;0.00028;0.000503;0.000922;0.001214;0.001508;0.001807;0.002096;0.002385;0.002675;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BH","","T2_BasicEmergency","2","[0.0;1.871232;1.871282;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.0;0.000251;0.000452;0.000828;0.00109;0.001353;0.001622;0.001881;0.002141;0.002401;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BH","","T2_BasicEmergency","2","[0.0;1.995225;1.995279;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.0;0.000268;0.000482;0.000883;0.001162;0.001443;0.00173;0.002006;0.002283;0.00256;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BH","","T2_BasicEmergency","2","[2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.002982;0.003277;0.003562;0.003852;0.004156;0.00446;0.004759;0.005057;0.005357;0.005651;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BH","","T2_BasicEmergency","2","[1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.002676;0.002942;0.003197;0.003458;0.00373;0.004003;0.004271;0.004539;0.004808;0.005072;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BH","","T2_BasicEmergency","2","[1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.002854;0.003136;0.003409;0.003687;0.003977;0.004269;0.004554;0.00484;0.005126;0.005408;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BH","","T2_BasicEmergency","2","[2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.005938;0.00623;0.006529;0.006827;0.007116;0.007416;0.007708;0.008002;0.008291;0.008592;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BH","","T2_BasicEmergency","2","[1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.00533;0.005592;0.00586;0.006127;0.006387;0.006657;0.006919;0.007182;0.007442;0.007712;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BH","","T2_BasicEmergency","2","[1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.005683;0.005962;0.006248;0.006533;0.00681;0.007098;0.007377;0.007658;0.007935;0.008223;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BH","","T2_BasicEmergency","2","[2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.008887;0.00919;0.00948;0.009772;0.010076;0.010381;0.010684;0.010976;0.011281;0.011571;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_BH","","T2_BasicEmergency","2","[1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.007977;0.008249;0.008509;0.008771;0.009044;0.009318;0.00959;0.009852;0.010126;0.010386;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_BH","","T2_BasicEmergency","2","[1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.008506;0.008795;0.009073;0.009353;0.009643;0.009935;0.010225;0.010505;0.010797;0.011074;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_BH","","T2_BasicEmergency","2","[2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.011876;0.012166;0.012455;0.012754;0.013051;0.013343;0.013641;0.013936;0.014228;0.014527;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
13,"FDI_BH","","T2_BasicEmergency","2","[1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.010659;0.010919;0.01118;0.011447;0.011714;0.011976;0.012243;0.012509;0.01277;0.013039;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
14,"FDI_BH","","T2_BasicEmergency","2","[1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.011365;0.011643;0.01192;0.012206;0.01249;0.01277;0.013055;0.013338;0.013616;0.013903;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
15,"FDI_BH","","T2_BasicEmergency","2","[2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;2.084796;]","[0.014821;0.015127;0.015422;0.015722;0.016026;0.016318;0.016623;0.016913;0.017216;0.017508;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
16,"FDI_BH","","T2_BasicEmergency","2","[1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;1.871246;]","[0.013303;0.013577;0.013843;0.014111;0.014385;0.014646;0.01492;0.015181;0.015453;0.015715;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
17,"FDI_BH","","T2_BasicEmergency","2","[1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;1.99524;]","[0.014184;0.014477;0.01476;0.015046;0.015338;0.015617;0.015909;0.016187;0.016477;0.016756;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
