id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BH","","T2_BasicEmergency","[0.190051;0.184973;0.185062;0.185276;0.185637;0.185974;0.186446;0.186361;0.18672;0.186468;]","[0.0;0.000026;0.000058;0.000097;0.000125;0.000152;0.00018;0.000207;0.000234;0.000262;]","[(-3040.0;12260.0);(-3092.63501;12270.379883);(-3091.140381;12279.183594);(-3089.043945;12276.046875);(-3085.777344;12266.631836);(-3081.592285;12276.481445);(-3076.457275;12278.713867);(-3077.859131;12270.524414);(-3074.127197;12269.564453);(-3076.316406;12277.214844);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BH","","T2_BasicEmergency","[0.186157;0.186096;0.186176;0.18617;0.186163;0.186241;0.186241;0.186203;0.186218;0.186199;]","[0.00029;0.000317;0.000344;0.000371;0.0004;0.000428;0.000456;0.000485;0.000512;0.00054;]","[(-3079.44873;12279.694336);(-3080.092529;12279.693359);(-3079.186523;12280.573242);(-3079.097168;12283.033203);(-3079.216309;12282.28125);(-3078.554199;12279.801758);(-3078.522217;12280.336914);(-3078.914062;12280.426758);(-3078.781494;12280.082031);(-3078.989502;12279.886719);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BH","","T2_BasicEmergency","[0.186218;0.186229;0.186248;0.186298;0.186258;0.186196;0.186155;0.186178;0.186178;0.186177;]","[0.000567;0.000594;0.000622;0.00065;0.000677;0.000704;0.000732;0.00076;0.000787;0.000815;]","[(-3078.830078;12279.34082);(-3078.681396;12279.839844);(-3078.443359;12280.37793);(-3077.87793;12280.987305);(-3078.294922;12280.948242);(-3078.989746;12280.370117);(-3079.4104;12280.560547);(-3079.150391;12280.900391);(-3079.17749;12280.517578);(-3079.209717;12280.073242);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BH","","T2_BasicEmergency","[0.186183;0.186211;0.186194;0.186142;0.186093;0.186015;0.186203;0.186342;0.186838;0.18693;]","[0.000843;0.000872;0.000899;0.000926;0.000955;0.000984;0.001012;0.00104;0.001068;0.001096;]","[(-3079.189697;12279.410156);(-3078.854736;12280.108398);(-3079.006348;12280.5);(-3079.540771;12280.820312);(-3080.070312;12280.581055);(-3080.958496;12279.671875);(-3079.081543;12277.849609);(-3077.911621;12273.033203);(-3073.170654;12264.790039);(-3072.291748;12263.242188);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BH","","T2_BasicEmergency","[0.187179;0.187281;0.187009;0.186884;0.186868;0.186865;0.186883;0.186886;0.186908;0.186917;]","[0.001125;0.001152;0.00118;0.001208;0.001236;0.001264;0.001291;0.001319;0.001346;0.001374;]","[(-3069.57666;12264.890625);(-3068.543945;12264.293945);(-3071.453613;12263.464844);(-3072.723633;12264.236328);(-3072.94165;12263.295898);(-3072.957275;12263.69043);(-3072.730713;12264.245117);(-3072.621094;12265.498047);(-3072.396973;12265.34375);(-3072.309326;12265.267578);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BH","","T2_BasicEmergency","[0.186968;0.187023;0.187014;0.889079;0.887354;0.887635;0.886821;0.886472;0.884827;0.880387;]","[0.001402;0.001431;0.001459;0.001553;0.00169;0.001821;0.001957;0.002087;0.002223;0.002354;]","[(-3071.76416;12265.509766);(-3071.203369;12265.179688);(-3071.305908;12265.016602);(-950.676636;12090.367188);(-952.385803;12091.637695);(-952.04303;12093.276367);(-953.072815;12087.226562);(-953.306824;12090.925781);(-954.775635;12096.833008);(-959.300537;12097.532227);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BH","","T2_BasicEmergency","[0.878255;0.884236;0.887633;0.891925;0.894046;0.893527;0.892119;0.89163;0.892261;0.893496;]","[0.002489;0.002625;0.002757;0.002889;0.003017;0.003151;0.003281;0.003414;0.003553;0.003684;]","[(-961.665466;12092.915039);(-955.487366;12093.856445);(-952.005676;12094.390625);(-947.578003;12096.611328);(-945.312134;12100.014648);(-945.848267;12099.663086);(-947.278015;12099.375977);(-947.761108;12099.644531);(-947.116699;12099.833984);(-945.87384;12099.808594);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BH","","T2_BasicEmergency","[0.894007;0.893975;0.894184;0.894079;0.893917;0.893668;0.893655;0.893637;0.893911;0.894442;]","[0.003816;0.003947;0.004082;0.004214;0.004346;0.004476;0.00461;0.004741;0.004872;0.005007;]","[(-945.367493;12099.588867);(-945.41217;12099.268555);(-945.196533;12099.411133);(-945.299438;12099.476562);(-945.452087;12099.753906);(-945.67981;12100.34082);(-945.679443;12100.666992);(-945.712036;12100.308594);(-945.462341;12099.649414);(-944.95282;12099.004883);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BH","","T2_BasicEmergency","[0.894026;0.893956;0.893838;0.893984;0.89446;0.8945;0.894048;0.893495;0.893029;0.89314;]","[0.00514;0.00527;0.005404;0.005536;0.005669;0.005802;0.005935;0.006068;0.006201;0.006332;]","[(-945.357544;12099.350586);(-945.42865;12099.351562);(-945.53418;12099.693359);(-945.387146;12099.6875);(-944.905212;12099.776367);(-944.865662;12099.768555);(-945.302307;12100.209961);(-945.844482;12100.572266);(-946.288025;12101.227539);(-946.186584;12100.974609);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BH","","T2_BasicEmergency","[0.893331;0.893595;0.893677;0.899476;0.8988;0.892536;0.893701;0.894387;0.894029;0.893679;]","[0.006464;0.006597;0.006734;0.006865;0.006998;0.00713;0.007262;0.007394;0.007531;0.007663;]","[(-945.996155;12100.912109);(-945.754456;12100.313477);(-945.671753;12100.31543);(-939.699524;12104.412109);(-940.394775;12103.881836);(-946.811707;12100.550781);(-945.641418;12100.472656);(-944.950378;12100.493164);(-945.316223;12100.338867);(-945.656067;12100.645508);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
