id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(12.449093;19.686554;26.389198)","(11.102244;55.314308;130.897919)","2025-2-20 13:31:21.623"
1,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(15.042658;20.035492;29.681923)","(18.875937;74.45932;128.807373)","2025-2-20 13:31:21.897"
2,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(4.203835;8.211838;68.744705)","(-107.350311;25.117149;-167.849136)","2025-2-20 13:31:29.182"
3,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(4.098866;7.851471;67.539261)","(-106.654732;26.242626;-166.217911)","2025-2-20 13:31:29.350"
4,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(16.088375;8.6679;32.162262)","(-2.394313;54.979042;-31.233494)","2025-2-20 13:31:34.962"
5,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(13.405468;7.224129;32.895592)","(-4.338424;57.864471;-30.562132)","2025-2-20 13:31:35.105"
6,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(13.860157;10.534096;31.132919)","(4.995543;57.432034;-31.173)","2025-2-20 13:31:39.584"
7,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(13.756931;10.558968;31.095154)","(6.250201;59.730778;-28.588629)","2025-2-20 13:31:39.640"
8,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(14.270927;10.088959;31.525032)","(3.567214;62.659737;-31.310326)","2025-2-20 13:31:39.967"
9,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(14.377392;9.996346;31.462486)","(6.347465;63.098923;-29.449837)","2025-2-20 13:31:39.995"
10,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(1.890852;29.509281;40.499878)","(5.527247;80.172241;-93.370926)","2025-2-20 13:31:55.319"
11,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(0.380367;29.25346;40.426743)","(-1.381109;80.322571;-91.87236)","2025-2-20 13:31:55.568"
12,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(0.314709;28.8144;40.445312)","(20.288359;83.685097;-73.785126)","2025-2-20 13:31:56.261"
13,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(0.341167;28.793785;40.421753)","(20.046247;83.341759;-73.571274)","2025-2-20 13:31:56.316"
14,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(0.414715;28.353363;40.425339)","(4.42414;84.116966;-87.941521)","2025-2-20 13:31:56.840"
15,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(0.430096;28.649441;40.661346)","(25.121073;86.221161;-68.081207)","2025-2-20 13:31:57.87"
16,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(0.336563;28.470924;40.569901)","(25.595045;88.739594;-65.498726)","2025-2-20 13:31:57.466"
17,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(0.603172;28.478062;40.705811)","(30.148792;87.317329;-61.279148)","2025-2-20 13:31:57.626"
18,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(1.034901;28.733536;40.2742)","(3.861045;85.276505;-87.616005)","2025-2-20 13:31:58.337"
19,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(1.156918;28.620251;40.093948)","(18.359838;84.96563;-72.210045)","2025-2-20 13:31:58.559"
20,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(31.8283;5.832131;39.465775)","(3.588161;61.888569;-10.685901)","2025-2-20 13:32:48.340"
21,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(31.612789;4.573524;41.765915)","(5.110013;77.805763;-8.384542)","2025-2-20 13:32:48.723"
22,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(31.383251;5.275817;42.189133)","(1.533019;77.980927;-7.41406)","2025-2-20 13:32:49.1"
23,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(30.469204;4.42237;42.233231)","(15.022729;80.004524;5.061678)","2025-2-20 13:32:49.308"
24,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(30.636311;4.134027;41.983459)","(7.358817;76.044861;-3.247627)","2025-2-20 13:32:49.835"
25,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(30.787483;4.727357;41.891953)","(3.825264;77.203522;-8.113698)","2025-2-20 13:32:49.919"
26,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(30.922943;4.818617;42.22171)","(6.529556;81.436714;-5.666547)","2025-2-20 13:32:50.224"
27,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(30.908379;4.770772;42.065491)","(11.467706;81.125618;0.262071)","2025-2-20 13:32:50.279"
28,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(23.520496;22.824043;38.553879)","(0.962079;69.002434;142.973282)","2025-2-20 13:32:53.786"
29,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(28.881466;19.5769;39.504364)","(-7.818206;71.020271;127.721016)","2025-2-20 13:32:54.115"
30,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(31.153013;22.995049;37.385605)","(3.108122;60.105217;133.305145)","2025-2-20 13:32:54.425"
31,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(30.51379;22.239601;38.180771)","(0.013921;64.025841;130.98703)","2025-2-20 13:32:54.672"
32,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(30.160099;22.205021;38.624603)","(-2.410506;64.677917;123.820587)","2025-2-20 13:32:54.752"
33,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(29.934185;22.167503;38.587341)","(-3.344218;64.007179;124.910957)","2025-2-20 13:32:54.807"
34,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(27.66651;20.399387;39.253067)","(-7.581621;68.542961;130.568024)","2025-2-20 13:32:55.172"
35,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(27.803339;18.259825;38.212784)","(-2.443051;68.552513;144.921707)","2025-2-20 13:32:55.454"
36,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(28.695885;17.684395;38.086975)","(4.147995;66.674156;148.831711)","2025-2-20 13:32:55.568"
37,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(27.609434;16.298695;38.873596)","(-3.264275;73.589005;142.513947)","2025-2-20 13:32:55.820"
38,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(27.748581;14.439279;34.388763)","(17.738785;51.99028;-12.549013)","2025-2-20 13:32:57.644"
39,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","started","Left","(27.748581;14.439279;34.388763)","(17.738785;51.99028;-12.549013)","2025-2-20 13:32:57.666"
40,"FDI_BI","","T2_BasicEmergency","IA_Move_Left","completed","Left","(25.663742;13.268569;34.759644)","(14.721006;59.911934;-21.305513)","2025-2-20 13:32:58.187"
41,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(25.663742;13.268569;34.759644)","(14.721006;59.911934;-21.305513)","2025-2-20 13:32:58.223"
42,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","started","Left","(20.438705;25.207773;43.420456)","(110.881584;78.790482;-19.711651)","2025-2-20 13:33:6.319"
43,"FDI_BI","","T2_BasicEmergency","IA_Grab_Left","completed","Left","(20.655289;25.155289;43.499268)","(118.516991;79.095932;-13.337662)","2025-2-20 13:33:6.595"
44,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(20.626163;25.124632;43.488617)","(117.759827;78.958313;-13.970923)","2025-2-20 13:33:6.637"
45,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(20.434216;25.083122;43.311554)","(114.669289;78.405197;-16.914301)","2025-2-20 13:33:6.747"
46,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","started","Left","(19.96188;24.98407;43.436478)","(115.6959;78.526917;-14.383061)","2025-2-20 13:33:7.342"
47,"FDI_BI","","T2_BasicEmergency","IA_Menu_Interact_Left","completed","Left","(19.886215;24.967087;43.398331)","(111.08828;79.275703;-20.092365)","2025-2-20 13:33:7.462"
