id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BI","","S2_BasicEmergency","[0.005177;0.005191;0.005187;0.005186;0.005187;0.005184;0.005178;0.005174;0.005171;0.005171;]","[0.0;0.000001;0.000003;0.000004;0.000004;0.000005;0.000006;0.000007;0.000008;0.000008;]","[(11700.0;-18460.0);(11715.865234;-18420.742188);(11714.275391;-18422.107422);(11715.90918;-18416.408203);(11716.764648;-18414.505859);(11714.086914;-18420.699219);(11712.587891;-18419.148438);(11712.058594;-18417.208984);(11711.302734;-18417.212891);(11711.259766;-18417.667969);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BI","","S2_BasicEmergency","[0.005167;0.005166;0.00517;0.005172;0.005175;0.005171;0.005169;0.00516;0.005158;0.005148;]","[0.000009;0.00001;0.000011;0.000012;0.000013;0.000013;0.000014;0.000015;0.000016;0.000017;]","[(11710.257812;-18417.326172);(11709.794922;-18417.685547);(11710.583984;-18418.849609);(11710.93457;-18419.248047);(11711.642578;-18419.570312);(11710.648438;-18419.28125);(11710.015625;-18419.654297);(11708.035156;-18417.75);(11707.630859;-18416.851562);(11705.55957;-18414.609375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BI","","S2_BasicEmergency","[0.005162;0.005169;0.00517;0.005168;0.005163;0.005166;0.005165;0.005164;0.005162;0.005162;]","[0.000017;0.000018;0.000019;0.00002;0.000021;0.000022;0.000022;0.000023;0.000024;0.000025;]","[(11707.986328;-18419.554688);(11710.447266;-18417.785156);(11711.515625;-18416.074219);(11710.628906;-18416.484375);(11709.705078;-18415.402344);(11709.864258;-18417.429688);(11709.348633;-18418.318359);(11709.053711;-18417.771484);(11708.933594;-18416.626953);(11709.222656;-18416.003906);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BI","","S2_BasicEmergency","[0.005163;0.005168;0.00517;0.005167;0.005168;0.005167;0.005169;0.00517;0.00517;0.005171;]","[0.000026;0.000027;0.000028;0.000029;0.000029;0.00003;0.000031;0.000032;0.000033;0.000033;]","[(11709.201172;-18416.433594);(11709.955078;-18418.576172);(11710.81543;-18418.226562);(11709.87793;-18417.761719);(11710.30957;-18417.605469);(11710.0625;-18417.955078);(11710.394531;-18418.515625);(11711.058594;-18417.509766);(11711.208984;-18416.958984);(11711.507812;-18416.859375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BI","","S2_BasicEmergency","[0.005173;0.005174;0.005174;0.005172;0.00516;0.005165;0.005155;0.005151;0.005146;0.005152;]","[0.000034;0.000035;0.000036;0.000037;0.000037;0.000038;0.000039;0.00004;0.000041;0.000041;]","[(11712.027344;-18417.164062);(11711.458984;-18419.382812);(11711.088867;-18420.902344);(11710.326172;-18421.599609);(11706.374023;-18422.582031);(11706.597656;-18426.449219);(11703.729492;-18426.589844);(11704.533203;-18420.484375);(11703.459961;-18418.691406);(11705.331055;-18418.53125);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BI","","S2_BasicEmergency","[0.005157;0.00516;0.005164;0.005162;0.005159;0.005157;0.005157;0.005159;0.00516;0.005156;]","[0.000042;0.000043;0.000044;0.000045;0.000046;0.000047;0.000048;0.000048;0.000049;0.00005;]","[(11706.857422;-18418.433594);(11708.166992;-18416.919922);(11709.131836;-18417.820312);(11708.570312;-18417.414062);(11707.769531;-18417.044922);(11707.578125;-18416.261719);(11707.46875;-18416.421875);(11707.933594;-18416.693359);(11708.342773;-18416.779297);(11707.386719;-18415.914062);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BI","","S2_BasicEmergency","[0.00515;0.005149;0.00515;0.005157;0.005161;0.005158;0.00516;0.00516;0.005157;0.005156;]","[0.000051;0.000052;0.000053;0.000054;0.000054;0.000055;0.000056;0.000057;0.000058;0.000058;]","[(11705.713867;-18415.96875);(11705.200195;-18416.355469);(11705.563477;-18415.935547);(11706.865234;-18418.898438);(11707.867188;-18418.882812);(11707.194336;-18418.443359);(11707.999023;-18417.320312);(11708.078125;-18417.414062);(11707.272461;-18417.535156);(11706.875;-18417.275391);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BI","","S2_BasicEmergency","[0.005156;0.005157;0.005156;0.005157;0.005156;0.005156;0.005153;0.005144;0.005129;0.005132;]","[0.000059;0.00006;0.000061;0.000062;0.000062;0.000063;0.000064;0.000065;0.000066;0.000066;]","[(11706.904297;-18417.345703);(11707.108398;-18417.357422);(11707.115234;-18416.712891);(11707.615234;-18415.796875);(11707.271484;-18415.900391);(11707.413086;-18416.048828);(11706.816406;-18414.951172);(11705.642578;-18410.255859);(11702.527344;-18405.871094);(11702.574219;-18408.634766);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BI","","S2_BasicEmergency","[0.005143;0.005151;0.005151;0.005148;0.00515;0.005151;0.005145;0.005146;0.00515;0.005152;]","[0.000067;0.000068;0.000069;0.00007;0.00007;0.000071;0.000072;0.000073;0.000074;0.000074;]","[(11704.172852;-18413.658203);(11705.000977;-18418.744141);(11705.707031;-18417.023438);(11704.84375;-18416.576172);(11704.719727;-18418.736328);(11705.108398;-18418.201172);(11704.010742;-18416.177734);(11703.673828;-18418.583984);(11704.749023;-18418.589844);(11705.275391;-18419.263672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BI","","S2_BasicEmergency","[0.005152;0.005151;0.00515;0.005148;0.005146;0.005147;0.005147;0.005145;0.005148;0.005153;]","[0.000075;0.000076;0.000077;0.000078;0.000078;0.000079;0.00008;0.000081;0.000082;0.000082;]","[(11705.436523;-18417.916016);(11705.490234;-18417.285156);(11704.908203;-18417.892578);(11704.535156;-18417.5625);(11704.001953;-18417.148438);(11704.369141;-18417.195312);(11704.337891;-18417.375);(11703.578125;-18418.095703);(11704.729492;-18417.136719);(11706.243164;-18416.587891);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_BI","","S2_BasicEmergency","[0.005152;0.005148;0.005149;0.005152;0.005149;0.005145;0.005147;0.005148;0.005148;0.005151;]","[0.000083;0.000084;0.000085;0.000086;0.000086;0.000087;0.000088;0.000089;0.00009;0.000091;]","[(11706.172852;-18415.634766);(11705.099609;-18415.472656);(11705.238281;-18416.064453);(11705.536133;-18417.914062);(11704.898438;-18417.480469);(11704.164062;-18416.111328);(11704.319336;-18417.46875);(11704.738281;-18417.324219);(11704.673828;-18417.503906);(11705.469727;-18417.09375);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_BI","","S2_BasicEmergency","[0.005154;0.005157;0.005155;0.00515;0.005148;0.005148;0.005145;0.005147;0.005155;0.00516;]","[0.000092;0.000093;0.000093;0.000094;0.000095;0.000096;0.000097;0.000097;0.000098;0.000099;]","[(11706.483398;-18417.126953);(11707.196289;-18417.574219);(11706.757812;-18417.359375);(11705.450195;-18416.90625);(11704.963867;-18416.060547);(11704.855469;-18416.134766);(11704.354492;-18415.546875);(11705.202148;-18414.660156);(11707.270508;-18415.335938);(11708.460938;-18416.560547);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_BI","","S2_BasicEmergency","[0.005159;0.005158;0.005158;0.005158;0.005159;0.005153;0.005144;0.005143;0.005146;0.005151;]","[0.0001;0.000101;0.000101;0.000102;0.000103;0.000104;0.000105;0.000105;0.000106;0.000107;]","[(11707.826172;-18417.455078);(11707.332031;-18417.886719);(11707.496094;-18417.697266);(11707.55957;-18417.007812);(11707.749023;-18417.345703);(11706.526367;-18416.169922);(11704.265625;-18414.947266);(11704.183594;-18413.853516);(11704.421875;-18415.994141);(11705.516602;-18416.730469);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
13,"FDI_BI","","S2_BasicEmergency","[0.005152;0.005154;0.005154;0.005155;0.005155;0.005153;0.005149;0.005146;0.005138;0.005139;]","[0.000108;0.000109;0.000109;0.00011;0.000111;0.000112;0.000113;0.000113;0.000114;0.000115;]","[(11705.975586;-18416.964844);(11706.411133;-18417.113281);(11706.430664;-18417.333984);(11706.611328;-18417.306641);(11706.532227;-18417.230469);(11706.182617;-18417.085938);(11705.339844;-18415.785156);(11704.816406;-18415.080078);(11702.576172;-18414.582031);(11703.116211;-18413.763672);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
