id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_BJ","","T1_BasicMechanics","00001","Completed","2025-2-20 14:6:48.803"
1,"FDI_BJ","","T1_BasicMechanics","T1001","Started","2025-2-20 14:7:24.72"
2,"FDI_BJ","","T1_BasicMechanics","T1001","Completed","2025-2-20 14:13:50.814"
3,"FDI_BJ","","T1_BasicMechanics","T1002","Started","2025-2-20 14:13:50.838"
4,"FDI_BJ","","T1_BasicMechanics","T1002","Completed","2025-2-20 14:16:25.409"
5,"FDI_BJ","","T1_BasicMechanics","T1003","Started","2025-2-20 14:16:25.439"
6,"FDI_BJ","","T1_BasicMechanics","T1003","Completed","2025-2-20 14:18:6.982"
7,"FDI_BJ","","T1_BasicMechanics","T1004","Started","2025-2-20 14:18:7.11"
8,"FDI_BJ","","T1_BasicMechanics","T1004","Completed","2025-2-20 14:19:50.625"
9,"FDI_BJ","","T1_BasicMechanics","T1005","Started","2025-2-20 14:19:50.652"
10,"FDI_BJ","","T1_BasicMechanics","T1005","Completed","2025-2-20 14:21:35.713"
11,"FDI_BJ","","T1_BasicMechanics","00002","Completed","2025-2-20 14:21:54.447"
