id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BJ","","T2_BasicEmergency","2","[0.0;2.084984;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;]","[0.0;0.000286;0.00059;0.000885;0.001184;0.001475;0.001765;0.002054;0.002341;0.002644;]","[(2026.446777;12040.62207);(2026.446655;12040.62207);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BJ","","T2_BasicEmergency","2","[0.0;1.871405;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;]","[0.0;0.000257;0.00053;0.000794;0.001063;0.001324;0.001584;0.001843;0.002101;0.002374;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BJ","","T2_BasicEmergency","2","[0.0;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;]","[0.0;0.000274;0.000565;0.000847;0.001133;0.001411;0.001689;0.001966;0.00224;0.002531;]","[(2050.0;12109.202148);(2050.000244;12109.202148);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BJ","","T2_BasicEmergency","2","[2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;]","[0.00294;0.003244;0.003542;0.003831;0.004133;0.004439;0.004731;0.005022;0.005327;0.005619;]","[(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BJ","","T2_BasicEmergency","2","[1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;]","[0.002639;0.002912;0.003179;0.003439;0.00371;0.003984;0.004246;0.004507;0.004781;0.005044;]","[(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BJ","","T2_BasicEmergency","2","[1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;]","[0.002814;0.003105;0.003389;0.003667;0.003956;0.004248;0.004527;0.004806;0.005098;0.005378;]","[(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BJ","","T2_BasicEmergency","2","[2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;]","[0.00592;0.006209;0.006499;0.006788;0.007081;0.007372;0.007676;0.007964;0.008257;0.008546;]","[(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BJ","","T2_BasicEmergency","2","[1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;1.871406;]","[0.005314;0.005573;0.005834;0.006093;0.006356;0.006617;0.00689;0.007149;0.007411;0.00767;]","[(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);(2091.174072;12069.996094);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BJ","","T2_BasicEmergency","2","[1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;1.995397;]","[0.005666;0.005942;0.00622;0.006497;0.006777;0.007055;0.007346;0.007622;0.007902;0.008179;]","[(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);(2050.004395;12109.201172);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BJ","","T2_BasicEmergency","2","[2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;2.084983;]","[0.008849;0.009155;0.009454;0.009751;0.010056;0.010352;0.010651;0.01094;0.01123;0.01152;]","[(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);(2026.445801;12040.623047);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
