id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BJ","","S2_BasicEmergency","[0.005177;0.005036;0.005034;0.005033;0.005035;0.005041;0.005041;0.00504;0.005039;0.005038;]","[0.0;0.000001;0.000002;0.000003;0.000004;0.000005;0.000006;0.000007;0.000008;0.000009;]","[(11700.0;-18460.0);(11661.901367;-18448.515625);(11661.391602;-18448.291016);(11660.356445;-18450.927734);(11661.004883;-18451.273438);(11662.441406;-18451.804688);(11662.90918;-18450.707031);(11662.662109;-18450.308594);(11662.50293;-18450.251953);(11662.054688;-18450.675781);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BJ","","S2_BasicEmergency","[0.005035;0.005031;0.005031;0.005029;0.005033;0.005039;0.005041;0.005038;0.005034;0.005034;]","[0.000009;0.00001;0.000011;0.000012;0.000012;0.000013;0.000014;0.000015;0.000016;0.000016;]","[(11661.208984;-18450.138672);(11660.250977;-18449.855469);(11660.382812;-18449.03125);(11660.141602;-18448.214844);(11660.824219;-18450.095703);(11661.970703;-18451.802734);(11662.503906;-18452.451172);(11661.828125;-18451.125);(11661.066406;-18449.529297);(11661.299805;-18449.152344);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BJ","","S2_BasicEmergency","[0.005034;0.005034;0.005036;0.005038;0.005038;0.005039;0.005043;0.005044;0.005043;0.005038;]","[0.000017;0.000018;0.000019;0.00002;0.00002;0.000021;0.000022;0.000023;0.000024;0.000025;]","[(11661.246094;-18449.474609);(11661.238281;-18449.503906);(11661.835938;-18449.337891);(11662.308594;-18449.767578);(11662.249023;-18450.164062);(11662.072266;-18451.390625);(11663.0625;-18452.052734);(11663.361328;-18452.511719);(11663.209961;-18451.767578);(11662.359375;-18449.765625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BJ","","S2_BasicEmergency","[0.005034;0.005033;0.005033;0.00503;0.005027;0.005029;0.005034;0.005038;0.005037;0.005034;]","[0.000026;0.000026;0.000027;0.000028;0.000029;0.00003;0.000031;0.000031;0.000032;0.000033;]","[(11661.480469;-18448.544922);(11661.198242;-18448.744141);(11660.993164;-18448.550781);(11660.230469;-18448.478516);(11659.320312;-18448.400391);(11659.820312;-18449.166016);(11661.191406;-18449.509766);(11662.24707;-18449.398438);(11662.157227;-18449.027344);(11661.550781;-18448.636719);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BJ","","S2_BasicEmergency","[0.005033;0.005033;0.005035;0.005037;0.005037;0.00504;0.005046;0.005049;0.005049;0.005051;]","[0.000034;0.000034;0.000035;0.000036;0.000037;0.000038;0.000038;0.000039;0.00004;0.000041;]","[(11661.47168;-18447.898438);(11661.186523;-18448.044922);(11661.864258;-18447.787109);(11662.591797;-18447.341797);(11662.579102;-18447.875);(11663.194336;-18449.050781);(11664.772461;-18449.585938);(11665.564453;-18449.884766);(11665.626953;-18449.855469);(11666.344727;-18449.226562);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BJ","","S2_BasicEmergency","[0.005056;0.005058;0.005059;0.005057;0.005051;0.005048;0.005044;0.005039;0.005037;0.005038;]","[0.000042;0.000043;0.000043;0.000044;0.000045;0.000046;0.000046;0.000047;0.000048;0.000049;]","[(11667.899414;-18448.625);(11668.453125;-18449.265625);(11668.149414;-18450.855469);(11667.482422;-18451.248047);(11665.735352;-18451.085938);(11665.397461;-18449.601562);(11664.536133;-18448.1875);(11662.929688;-18448.121094);(11662.410156;-18448.566406);(11662.43457;-18449.431641);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BJ","","S2_BasicEmergency","[0.005033;0.005029;0.005028;0.005026;0.005028;0.005032;0.005033;0.005028;0.005024;0.005021;]","[0.00005;0.00005;0.000051;0.000052;0.000053;0.000053;0.000054;0.000055;0.000056;0.000056;]","[(11661.024414;-18448.546875);(11660.148438;-18447.515625);(11659.887695;-18447.273438);(11659.438477;-18447.158203);(11659.932617;-18447.822266);(11660.935547;-18448.566406);(11661.225586;-18448.248047);(11660.077148;-18447.146484);(11659.303711;-18445.740234);(11658.669922;-18444.886719);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BJ","","S2_BasicEmergency","[0.00502;0.00502;0.005021;0.00502;0.00502;0.005023;0.005022;0.005022;0.005022;0.005023;]","[0.000057;0.000058;0.000059;0.00006;0.000061;0.000062;0.000062;0.000063;0.000064;0.000065;]","[(11658.30957;-18444.667969);(11658.273438;-18444.78125);(11658.443359;-18445.078125);(11658.154297;-18444.972656);(11658.138672;-18445.119141);(11658.660156;-18446.376953);(11658.504883;-18446.142578);(11658.636719;-18445.974609);(11658.69043;-18445.482422);(11659.189453;-18444.916016);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BJ","","S2_BasicEmergency","[0.005025;0.005029;0.005031;0.005032;0.005029;0.005026;0.005026;0.00503;0.005031;0.005032;]","[0.000066;0.000066;0.000067;0.000068;0.000069;0.00007;0.00007;0.000071;0.000072;0.000073;]","[(11659.793945;-18445.216797);(11660.662109;-18445.6875);(11661.204102;-18446.576172);(11661.419922;-18446.498047);(11661.082031;-18445.027344);(11660.492188;-18443.910156);(11660.4375;-18443.908203);(11661.548828;-18444.210938);(11661.811523;-18444.054688);(11661.956055;-18444.271484);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BJ","","S2_BasicEmergency","[0.00503;0.005027;0.005027;0.005032;0.005037;0.005038;0.005036;0.005037;0.005039;0.005039;]","[0.000074;0.000074;0.000075;0.000076;0.000077;0.000078;0.000078;0.00008;0.000081;0.000081;]","[(11661.429688;-18444.533203);(11660.65918;-18444.072266);(11660.579102;-18444.349609);(11661.744141;-18445.091797);(11663.047852;-18446.072266);(11663.137695;-18447.246094);(11662.172852;-18448.287109);(11662.344727;-18448.673828);(11663.306641;-18446.839844);(11663.614258;-18446.580078);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
