id,user_id,experiment_id,scenario_type,epd_id,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BK","","T2_BasicEmergency","2","[0.0;2.084957;2.084851;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;]","[0.0;0.000248;0.000761;0.001064;0.001363;0.001643;0.002042;0.002341;0.002639;0.002942;]","[(2026.446777;12040.62207);(2026.449829;12040.621094);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BK","","T2_BasicEmergency","2","[0.0;1.871383;1.871293;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;]","[0.0;0.000223;0.000683;0.000955;0.001223;0.001475;0.001833;0.002101;0.002369;0.00264;]","[(2091.175049;12070.0);(2091.173828;12070.00293);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BK","","T2_BasicEmergency","2","[0.0;1.99539;1.995292;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;]","[0.0;0.000238;0.000728;0.001018;0.001304;0.001573;0.001955;0.00224;0.002526;0.002815;]","[(2050.0;12109.202148);(2049.99707;12109.201172);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BK","","T2_BasicEmergency","2","[2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;]","[0.003225;0.003522;0.003809;0.004106;0.004388;0.004678;0.004982;0.005274;0.005579;0.005884;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BK","","T2_BasicEmergency","2","[1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;]","[0.002894;0.003162;0.003419;0.003686;0.003938;0.004198;0.004472;0.004734;0.005007;0.005281;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BK","","T2_BasicEmergency","2","[1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;]","[0.003086;0.003371;0.003645;0.00393;0.004199;0.004477;0.004768;0.005048;0.005339;0.005631;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BK","","T2_BasicEmergency","2","[2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;]","[0.006189;0.00649;0.006783;0.007074;0.007376;0.00767;0.007962;0.008268;0.008573;0.008863;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BK","","T2_BasicEmergency","2","[1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;]","[0.005555;0.005825;0.006088;0.00635;0.00662;0.006884;0.007146;0.007421;0.007695;0.007955;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BK","","T2_BasicEmergency","2","[1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;]","[0.005923;0.006211;0.006491;0.00677;0.007059;0.007341;0.00762;0.007913;0.008205;0.008482;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BK","","T2_BasicEmergency","2","[2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;]","[0.009167;0.009472;0.009777;0.010075;0.010375;0.010665;0.010958;0.011253;0.011547;0.011838;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
10,"FDI_BK","","T2_BasicEmergency","2","[1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;]","[0.008228;0.008502;0.008776;0.009043;0.009313;0.009572;0.009835;0.0101;0.010364;0.010626;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
11,"FDI_BK","","T2_BasicEmergency","2","[1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;1.995289;]","[0.008773;0.009066;0.009357;0.009642;0.00993;0.010207;0.010487;0.010769;0.011051;0.01133;]","[(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);(2050.0;12109.202148);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
12,"FDI_BK","","T2_BasicEmergency","2","[2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;2.084849;]","[0.012141;0.012434;0.012738;0.013028;0.013319;0.013609;0.013901;0.014206;0.014495;0.014782;]","[(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);(2026.446777;12040.62207);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
13,"FDI_BK","","T2_BasicEmergency","2","[1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;1.871291;]","[0.010897;0.011161;0.011433;0.011693;0.011955;0.012215;0.012477;0.012751;0.01301;0.013268;]","[(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);(2091.175049;12070.0);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
