id,user_id,experiment_id,scenario_type,event_type,event_state,event_datetime
0,"FDI_BL","","T1_BasicMechanics","00001","Completed","2025-2-21 11:17:8.402"
1,"FDI_BL","","T1_BasicMechanics","T1001","Started","2025-2-21 11:17:43.822"
2,"FDI_BL","","T1_BasicMechanics","T1001","Completed","2025-2-21 11:21:18.538"
3,"FDI_BL","","T1_BasicMechanics","T1002","Started","2025-2-21 11:21:18.561"
4,"FDI_BL","","T1_BasicMechanics","T1002","Completed","2025-2-21 11:23:55.868"
5,"FDI_BL","","T1_BasicMechanics","T1003","Started","2025-2-21 11:23:55.894"
6,"FDI_BL","","T1_BasicMechanics","T1003","Completed","2025-2-21 11:25:52.845"
7,"FDI_BL","","T1_BasicMechanics","T1004","Started","2025-2-21 11:25:52.873"
8,"FDI_BL","","T1_BasicMechanics","T1004","Completed","2025-2-21 11:27:24.338"
9,"FDI_BL","","T1_BasicMechanics","T1005","Started","2025-2-21 11:27:24.366"
10,"FDI_BL","","T1_BasicMechanics","T1005","Completed","2025-2-21 11:29:0.106"
11,"FDI_BL","","T1_BasicMechanics","00002","Completed","2025-2-21 11:29:48.380"
