id,user_id,experiment_id,scenario_type,input_type,input_state,hand,hand_location,hand_rotation,event_datetime
0,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","started","Left","(138.216431;56.344128;38.787502)","(71.888718;26.351173;-161.785965)","2025-2-21 11:16:32.683"
1,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","completed","Left","(138.350449;56.633003;38.787502)","(71.888718;26.351173;-161.785965)","2025-2-21 11:16:32.794"
2,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(17.450111;39.572655;12.344315)","(-56.270943;-63.940533;-127.341774)","2025-2-21 11:17:4.45"
3,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(26.454136;18.496696;16.918892)","(-85.039703;9.848439;-69.837112)","2025-2-21 11:17:4.527"
4,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(6.381577;45.519321;18.182541)","(-80.836365;71.804771;-82.421043)","2025-2-21 11:17:5.12"
5,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(27.672546;19.052292;19.190331)","(-60.765472;66.028221;-49.521339)","2025-2-21 11:17:5.513"
6,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(2.013672;16.102406;38.607986)","(-140.988708;53.982494;-77.564445)","2025-2-21 11:17:39.694"
7,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(2.821236;14.968565;40.203964)","(-150.016525;59.430241;-86.229416)","2025-2-21 11:17:39.832"
8,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Left","started","Left","(4.19416;29.839989;46.357056)","(-39.287022;81.889511;-126.166328)","2025-2-21 11:18:13.734"
9,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(6.482033;27.806606;46.161972)","(-45.972958;83.126465;-131.112183)","2025-2-21 11:18:13.762"
10,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Left","completed","Left","(3.828987;29.6635;46.165176)","(-30.557489;81.572754;-119.332535)","2025-2-21 11:18:13.968"
11,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(6.397057;27.825378;45.837646)","(-41.246391;83.026726;-126.404198)","2025-2-21 11:18:13.991"
12,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Right","started","Right","(15.039505;4.404087;35.885468)","(42.259457;75.458275;24.018602)","2025-2-21 11:18:56.199"
13,"FDI_BL","","T1_BasicMechanics","IA_Menu_Interact_Right","completed","Right","(14.957985;4.22205;35.808701)","(39.104652;76.09359;19.79277)","2025-2-21 11:18:56.393"
14,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(7.18914;36.686924;0.184998)","(-21.659298;16.965508;83.564659)","2025-2-21 11:19:49.828"
15,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(3.409279;41.879482;4.197823)","(-16.04166;12.891066;85.246422)","2025-2-21 11:19:50.160"
16,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(4.709343;45.372314;7.039429)","(-10.096274;25.690306;103.40963)","2025-2-21 11:19:52.51"
17,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(2.933571;43.232857;5.064156)","(-10.103256;1.937938;89.778648)","2025-2-21 11:19:52.398"
18,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(11.351532;43.978489;8.110596)","(14.558959;-15.444297;-173.820755)","2025-2-21 11:19:52.814"
19,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(10.258369;43.079292;9.133179)","(19.928888;-18.782013;-179.325943)","2025-2-21 11:19:53.66"
20,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(0.918884;43.839718;10.182266)","(21.600863;-3.226699;109.395744)","2025-2-21 11:19:53.201"
21,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(4.450546;46.429203;5.988411)","(-3.312879;-8.819362;131.706665)","2025-2-21 11:19:53.381"
22,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(5.518906;46.953903;7.575394)","(0.696969;-1.205582;124.49334)","2025-2-21 11:19:53.520"
23,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(6.104286;48.929996;5.910637)","(-7.982718;1.521373;128.271851)","2025-2-21 11:19:53.658"
24,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(0.955437;48.701672;12.390472)","(-1.729627;11.344483;131.158173)","2025-2-21 11:20:2.717"
25,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(1.023598;48.809662;12.343552)","(-2.233135;11.581441;134.475479)","2025-2-21 11:20:2.759"
26,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(0.331169;47.823883;13.197296)","(10.824975;10.617906;120.748116)","2025-2-21 11:20:2.814"
27,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","started","Left","(19.361069;17.838894;23.689774)","(-51.174175;19.309685;28.237938)","2025-2-21 11:20:2.924"
28,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","completed","Left","(17.635399;20.902237;21.770317)","(-40.554756;23.799505;38.391422)","2025-2-21 11:20:3.146"
29,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(1.822845;50.224995;14.161949)","(-5.609751;15.628088;115.087685)","2025-2-21 11:20:3.214"
30,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(2.234131;49.16481;14.494232)","(-1.05843;11.277756;106.652634)","2025-2-21 11:20:3.255"
31,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","started","Left","(14.902077;26.865845;17.344719)","(-25.635025;25.710804;49.56852)","2025-2-21 11:20:3.284"
32,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(2.197067;48.654907;15.200523)","(-1.700624;16.775347;92.896484)","2025-2-21 11:20:3.381"
33,"FDI_BL","","T1_BasicMechanics","IA_Grab_Left","completed","Left","(14.246407;29.774185;14.070572)","(-7.53337;33.484497;56.273094)","2025-2-21 11:20:3.422"
34,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(6.166077;50.655315;15.052528)","(-11.384033;17.009365;114.279549)","2025-2-21 11:20:3.491"
35,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","completed","Right","(4.545471;48.969746;14.715271)","(-12.582932;19.555647;96.450203)","2025-2-21 11:20:3.670"
36,"FDI_BL","","T1_BasicMechanics","IA_Grab_Right","started","Right","(15.218498;44.744465;2.135872)","(-23.403364;5.929024;119.617996)","2025-2-21 11:20:5.142"
