id,user_id,experiment_id,scenario_type,dose_rate,dose_absortion,event_position,event_datetime
0,"FDI_BL","","T2_BasicEmergency","[0.190051;0.183984;0.184058;0.183965;0.184207;0.184039;0.184929;0.184841;0.184878;0.185092;]","[0.0;0.000026;0.000054;0.000085;0.000122;0.000149;0.000178;0.000205;0.000234;0.000261;]","[(-3040.0;12260.0);(-3101.085449;12303.038086);(-3100.305664;12302.782227);(-3101.5;12300.063477);(-3099.585693;12289.704102);(-3100.607178;12301.354492);(-3091.231201;12298.576172);(-3092.383789;12295.493164);(-3092.154541;12292.99707);(-3089.77417;12294.341797);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
1,"FDI_BL","","T2_BasicEmergency","[0.185262;0.185229;0.185194;0.185111;0.185141;0.185116;0.184914;0.184924;0.185077;0.185149;]","[0.000289;0.000316;0.000344;0.000372;0.000398;0.000425;0.000453;0.00048;0.000509;0.000537;]","[(-3088.013428;12293.639648);(-3088.352051;12293.744141);(-3088.745117;12293.415039);(-3089.677246;12292.878906);(-3089.369141;12292.660156);(-3089.692627;12291.830078);(-3091.821045;12292.194336);(-3091.51709;12295.160156);(-3089.944336;12294.226562);(-3089.256348;12293.03418);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
2,"FDI_BL","","T2_BasicEmergency","[0.185183;0.185139;0.18511;0.185182;0.185212;0.185201;0.185163;0.185152;0.1851;0.185117;]","[0.000565;0.000593;0.000621;0.00065;0.000677;0.000705;0.000733;0.000762;0.000789;0.000817;]","[(-3088.872803;12293.376953);(-3089.282959;12294.258789);(-3089.592041;12294.191406);(-3088.884521;12293.249023);(-3088.581299;12293.123047);(-3088.717773;12292.702148);(-3089.229492;12291.157227);(-3089.32251;12291.477539);(-3089.61377;12295.540039);(-3089.568115;12293.515625);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
3,"FDI_BL","","T2_BasicEmergency","[0.185075;0.185145;0.185164;0.185111;0.185064;0.185034;0.185059;0.185085;0.18516;0.185145;]","[0.000845;0.000873;0.000901;0.000928;0.000956;0.000983;0.001011;0.001039;0.001068;0.001097;]","[(-3090.075928;12292.621094);(-3089.217529;12294.180664);(-3088.958252;12295.121094);(-3089.590576;12294.152344);(-3090.153564;12293.202148);(-3090.519043;12292.547852);(-3090.266846;12292.373047);(-3089.914307;12293.476562);(-3089.192139;12292.18457);(-3089.370361;12291.924805);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
4,"FDI_BL","","T2_BasicEmergency","[0.185084;0.185105;0.18517;0.185149;0.185038;0.185051;0.185101;0.184954;0.18499;0.185026;]","[0.001125;0.001152;0.00118;0.001208;0.001236;0.001263;0.001298;0.001334;0.001361;0.00139;]","[(-3090.001465;12292.334961);(-3089.751465;12292.641602);(-3088.996582;12293.630859);(-3089.181885;12294.150391);(-3090.344727;12294.469727);(-3090.208252;12294.470703);(-3089.803711;12292.572266);(-3091.586426;12289.370117);(-3091.184082;12289.56543);(-3090.811035;12289.333008);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
5,"FDI_BL","","T2_BasicEmergency","[0.185078;0.185136;0.18516;0.185164;0.185079;0.184972;0.184921;0.184968;0.184945;0.184982;]","[0.001417;0.001445;0.001472;0.001499;0.001526;0.001553;0.001581;0.001609;0.001636;0.001665;]","[(-3090.297607;12288.68457);(-3089.66626;12288.949219);(-3089.400146;12289.114258);(-3089.354736;12289.194336);(-3090.229248;12289.688477);(-3091.304199;12290.625977);(-3091.876953;12290.362305);(-3091.347656;12290.754883);(-3091.583496;12290.866211);(-3091.205811;12290.626953);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
6,"FDI_BL","","T2_BasicEmergency","[0.184952;0.18485;0.184984;0.887382;0.889989;0.889928;0.888223;0.885475;0.879868;0.876554;]","[0.001692;0.001718;0.001745;0.001826;0.001957;0.002092;0.002225;0.002357;0.002487;0.002617;]","[(-3091.334229;12293.467773);(-3092.480469;12292.680664);(-3091.031006;12292.921875);(-952.195801;12094.806641);(-949.651001;12091.950195);(-949.766602;12090.37207);(-951.676331;12084.6875);(-954.493042;12084.03125);(-960.13739;12087.333008);(-963.545288;12087.762695);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
7,"FDI_BL","","T2_BasicEmergency","[0.874557;0.877422;0.877326;0.877635;0.877846;0.877951;0.877891;0.877768;0.877729;0.877668;]","[0.00275;0.002879;0.003008;0.003137;0.003272;0.003402;0.00353;0.00366;0.003792;0.00392;]","[(-965.638794;12087.068359);(-962.637207;12088.09082);(-962.790649;12086.369141);(-962.512878;12084.990234);(-962.318237;12084.229492);(-962.204651;12084.401367);(-962.264954;12084.453125);(-962.388;12084.600586);(-962.434326;12084.402344);(-962.4823;12084.897461);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
8,"FDI_BL","","T2_BasicEmergency","[0.877582;0.877169;0.878211;0.878254;0.878402;0.878407;0.878175;0.877974;0.878164;0.878411;]","[0.004055;0.004184;0.004314;0.004443;0.004577;0.004709;0.004838;0.004966;0.005095;0.005224;]","[(-962.554688;12085.418945);(-962.985962;12085.304688);(-961.920288;12084.9375);(-961.871094;12085.081055);(-961.702332;12085.587891);(-961.709839;12085.178711);(-961.958557;12084.87207);(-962.181335;12084.392578);(-961.996338;12084.018555);(-961.752197;12083.634766);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
9,"FDI_BL","","T2_BasicEmergency","[0.878314;0.878166;0.877669;0.877255;0.87763;0.878087;0.878199;0.878947;0.875559;0.874574;]","[0.005355;0.005482;0.005608;0.00574;0.005871;0.006005;0.006137;0.006269;0.006398;0.00653;]","[(-961.859985;12083.37793);(-961.989197;12084.173828);(-962.490845;12084.561523);(-962.911621;12084.810547);(-962.523254;12084.838867);(-962.069946;12084.193359);(-961.96167;12083.942383);(-961.159424;12084.954102);(-964.63501;12085.914062);(-965.65448;12085.99707);]","[1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;1-1-1 0:0:0.0;]"
