id,user_id,experiment_id,scenario_type,move_type,start_datetime,end_datetime,start_position,end_position,distance
0,"FDI_BL","","S2_BasicEmergency","real_life","1-1-1 0:0:0.0","2025-2-21 11:44:9.35","(0.0;0.0;0.0)","(42.945915;-64.163414;0.0)","0.772094"
1,"FDI_BL","","S2_BasicEmergency","virtual_reality","2025-2-21 11:44:34.939","2025-2-21 11:44:35.634","(11658.731445;-18399.041016;5.0)","(11820.105469;-18416.716797;5.0)","1.623398"
2,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:44:9.50","2025-2-21 11:44:55.420","(0.0;0.0;0.0)","(8.423306;16.453545;0.0)","0.184844"
3,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:44:55.438","2025-2-21 11:44:57.494","(8.423306;16.453545;0.0)","(3.461166;5.738361;0.0)","0.118084"
4,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:44:57.514","2025-2-21 11:45:27.700","(3.461166;5.738361;0.0)","(5.354393;-6.047176;0.0)","0.119366"
5,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:27.716","2025-2-21 11:45:29.755","(5.354393;-6.047176;0.0)","(3.100159;4.85667;0.0)","0.111344"
6,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:29.773","2025-2-21 11:45:30.249","(3.100159;4.85667;0.0)","(13.218178;0.072838;0.0)","0.111919"
7,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:30.268","2025-2-21 11:45:33.31","(13.218178;0.072838;0.0)","(-0.824097;0.051029;0.0)","0.140423"
8,"FDI_BL","","S2_BasicEmergency","virtual_reality","2025-2-21 11:45:33.783","2025-2-21 11:45:34.801","(11816.985352;-18410.162109;5.0)","(11923.083008;-18065.429688;5.0)","3.606911"
9,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:33.50","2025-2-21 11:45:36.663","(0.0;0.0;0.0)","(-3.687389;9.788116;0.0)","0.104596"
10,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:36.678","2025-2-21 11:45:38.278","(-3.687389;9.788116;0.0)","(7.419525;13.22736;0.0)","0.116272"
11,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:38.294","2025-2-21 11:45:39.841","(7.419525;13.22736;0.0)","(-4.276398;7.891514;0.0)","0.128556"
12,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:39.857","2025-2-21 11:45:46.262","(-4.276398;7.891514;0.0)","(6.286179;12.592571;0.0)","0.115615"
13,"FDI_BL","","S2_BasicEmergency","real_life","2025-2-21 11:45:46.281","2025-2-21 11:45:50.925","(6.286179;12.592571;0.0)","(-5.275578;11.049656;0.0)","0.116643"
14,"FDI_BL","","S2_BasicEmergency","virtual_reality","2025-2-21 11:45:50.761","2025-2-21 11:45:51.408","(11927.701172;-18077.242188;5.0)","(12327.851562;-18129.496094;5.0)","4.035478"
15,"FDI_BL","","S2_BasicEmergency","virtual_reality","2025-2-21 11:45:51.990","2025-2-21 11:45:52.280","(12329.348633;-18127.953125;5.0)","(12634.676758;-18071.279297;5.0)","3.105437"
16,"FDI_BL","","S2_BasicEmergency","virtual_reality","2025-2-21 11:45:52.937","2025-2-21 11:45:53.369","(12634.582031;-18065.275391;5.0)","(12914.972656;-17729.984375;5.0)","4.370806"
